时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 14:42:49.086361,2426,126.62264620,45.80076220,-3.072,0.000,10.919,-0.237,15.310,-0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.258,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:49.195810,2216,126.62264600,45.80076210,-2.744,1.491,10.908,-0.216,15.295,-0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.254,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:49.305841,1996,126.62264580,45.80076190,-2.510,1.703,10.886,-0.239,15.279,-0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.260,-3.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:49.415950,1776,126.62264560,45.80076170,-2.290,1.777,10.864,-0.202,15.264,-0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.250,-3.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:49.526108,1556,126.62264540,45.80076150,-2.080,1.800,10.842,-0.201,15.248,-0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.242,-3.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:49.636203,1336,126.62264520,45.80076130,-1.748,2.003,10.819,-0.156,15.233,-0.141,0.000,0.000,0.000,0.000,0.000,0.000,0.221,-3.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:49.746269,1216,126.62264510,45.80076110,-1.400,2.169,10.797,-0.157,15.225,-0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.218,-3.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:49.856423,996,126.62264490,45.80076090,-1.033,2.315,10.775,-0.170,15.209,-0.178,0.000,0.000,0.000,0.000,0.000,0.000,0.225,-3.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:49.966498,676,126.62264460,45.80076070,-0.796,2.297,10.753,-0.197,15.186,-0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.231,-3.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:50.076586,456,126.62264440,45.80076050,-0.659,2.192,10.730,-0.215,15.171,-0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.238,-3.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:50.186709,126,126.62264410,45.80076020,-0.467,2.366,10.697,-0.160,15.147,-0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.218,-3.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:50.296837,9993,126.62264400,45.80076000,-0.246,2.269,10.675,-0.151,15.140,-0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.199,-3.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:50.406943,9783,126.62264380,45.80075980,0.044,2.320,10.652,-0.171,15.124,-0.171,0.000,0.000,0.000,0.000,0.000,0.000,0.199,-3.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:50.517018,9566,126.62264360,45.80075960,0.294,2.347,10.630,-0.182,15.109,-0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.226,-3.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:50.627138,9236,126.62264330,45.80075940,0.547,2.386,10.608,-0.213,15.085,-0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.252,-3.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:50.737232,9026,126.62264310,45.80075920,0.737,2.257,10.586,-0.228,15.070,-0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.258,-3.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:50.847321,8696,126.62264280,45.80075890,1.132,2.300,10.552,-0.229,15.047,-0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.256,-2.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:50.957510,8576,126.62264270,45.80075870,1.255,2.078,10.530,-0.135,15.039,-0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.237,-2.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:51.067534,8376,126.62264250,45.80075870,1.381,1.977,10.530,-0.136,15.023,-0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.216,-2.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:51.177634,8266,126.62264240,45.80075860,1.540,1.997,10.519,-0.174,15.016,-0.146,0.000,0.000,0.000,0.000,0.000,0.000,0.206,-2.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:51.287754,8056,126.62264220,45.80075850,1.754,2.017,10.508,-0.184,15.000,-0.151,0.000,0.000,0.000,0.000,0.000,0.000,0.221,-2.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:51.397839,7946,126.62264210,45.80075840,1.898,1.947,10.497,-0.179,14.992,-0.141,0.000,0.000,0.000,0.000,0.000,0.000,0.231,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:51.507955,7736,126.62264190,45.80075830,1.982,1.760,10.486,-0.176,14.977,-0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.230,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:51.618082,7526,126.62264170,45.80075820,1.999,1.548,10.475,-0.154,14.961,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.225,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:51.728181,7306,126.62264150,45.80075800,2.037,1.354,10.452,-0.177,14.946,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.228,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:51.838258,7096,126.62264130,45.80075790,2.138,1.273,10.441,-0.199,14.930,-0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.241,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:51.948378,6876,126.62264110,45.80075770,2.330,1.089,10.419,-0.155,14.915,-0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.248,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:52.058495,6566,126.62264080,45.80075760,2.523,1.152,10.408,-0.136,14.892,-0.181,0.000,0.000,0.000,0.000,0.000,0.000,0.244,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:52.178616,6366,126.62264060,45.80075760,2.599,1.101,10.408,-0.204,14.876,-0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.237,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:52.288811,6056,126.62264030,45.80075750,2.515,0.880,10.397,-0.199,14.853,-0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.233,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:52.398812,5746,126.62264000,45.80075740,2.335,0.522,10.386,-0.150,14.830,-0.146,0.000,0.000,0.000,0.000,0.000,0.000,0.227,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:52.508910,5536,126.62263980,45.80075730,2.257,0.320,10.374,-0.184,14.814,-0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.224,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:52.619029,5316,126.62263960,45.80075710,2.369,0.346,10.352,-0.165,14.799,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.224,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:52.729143,5106,126.62263940,45.80075700,2.542,0.486,10.341,-0.161,14.783,-0.187,0.000,0.000,0.000,0.000,0.000,0.000,0.237,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:52.839234,4786,126.62263910,45.80075680,2.429,0.349,10.319,-0.135,14.760,-0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.241,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:52.959334,4576,126.62263890,45.80075670,2.330,0.175,10.308,-0.198,14.744,-0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.248,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:53.079451,4356,126.62263870,45.80075650,2.086,-0.203,10.286,-0.180,14.729,-0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.233,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:53.199560,4236,126.62263860,45.80075630,1.926,-0.512,10.263,-0.099,14.721,-0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.202,-1.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:53.319660,4013,126.62263840,45.80075610,1.853,-0.636,10.241,-0.115,14.706,-0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.173,-1.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:53.439873,3893,126.62263830,45.80075590,1.820,-0.587,10.219,-0.146,14.698,-0.183,0.000,0.000,0.000,0.000,0.000,0.000,0.184,-1.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:53.559910,3666,126.62263810,45.80075560,1.789,-0.449,10.185,-0.152,14.682,-0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.218,-1.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:53.680034,3346,126.62263780,45.80075540,1.755,-0.407,10.163,-0.165,14.659,-0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.236,-1.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:53.800133,3126,126.62263760,45.80075520,1.665,-0.583,10.141,-0.162,14.644,-0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.230,-1.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:53.920234,2806,126.62263730,45.80075500,1.443,-0.924,10.119,-0.156,14.620,-0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.217,-1.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:54.030353,2706,126.62263720,45.80075500,1.146,-1.091,10.119,-0.124,14.613,-0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.200,-1.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:42:54.140464,2493,126.62263700,45.80075490,0.934,-1.201,10.108,-0.148,14.597,-0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.191,-1.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
