时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-07 10:56:38.099066,9743,126.62226940,45.80090340,-178.102,0.000,26.620,0.026,-13.899,-0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.127,0.000,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:38.218349,9633,126.62226930,45.80090330,-178.141,-0.325,26.609,0.039,-13.907,-0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.129,0.000,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:38.328455,9423,126.62226910,45.80090320,-178.169,-0.255,26.598,0.008,-13.923,-0.106,0.000,0.000,0.000,0.000,0.000,0.000,0.106,0.000,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:38.438549,9323,126.62226900,45.80090320,-178.223,-0.491,26.598,0.005,-13.930,-0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.114,0.889,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:38.548697,9113,126.62226880,45.80090310,-178.290,-0.609,26.587,-0.004,-13.946,-0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.123,0.889,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:38.658770,8913,126.62226860,45.80090310,-178.350,-0.545,26.587,0.011,-13.961,-0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.132,0.889,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:38.768879,8713,126.62226840,45.80090310,-178.375,-0.227,26.587,0.044,-13.977,-0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.139,0.889,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:38.879007,8523,126.62226820,45.80090320,-178.387,-0.109,26.598,0.063,-13.992,-0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.147,1.277,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:38.989071,8323,126.62226800,45.80090320,-178.422,-0.318,26.598,0.035,-14.008,-0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.116,1.277,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:39.099188,8133,126.62226780,45.80090330,-178.470,-0.432,26.609,0.020,-14.023,-0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.104,1.277,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:39.209294,7943,126.62226760,45.80090340,-178.494,-0.218,26.620,0.033,-14.039,-0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.113,1.277,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:39.329460,7743,126.62226740,45.80090350,-178.492,0.017,26.631,0.068,-14.054,-0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.148,1.277,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:39.449514,7563,126.62226720,45.80090360,-178.479,0.108,26.642,0.077,-14.070,-0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.152,1.277,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:39.569648,7273,126.62226690,45.80090370,-178.477,0.017,26.653,0.085,-14.093,-0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.156,1.277,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:39.689754,7073,126.62226670,45.80090370,-178.999,-4.350,26.653,0.006,-14.109,-0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.110,1.277,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:39.809919,6863,126.62226650,45.80090360,-179.038,-0.325,26.642,-0.013,-14.124,-0.141,0.000,0.000,0.000,0.000,0.000,0.000,0.142,1.277,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:39.929962,6673,126.62226630,45.80090370,-179.033,0.042,26.653,0.030,-14.140,-0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.115,8.500,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:40.050098,6273,126.62226590,45.80090370,-179.013,0.165,26.653,0.049,-14.171,-0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.121,8.500,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:40.170318,5973,126.62226560,45.80090370,-179.061,-0.400,26.653,-0.059,-14.194,-0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.113,8.500,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:40.290335,5483,126.62226510,45.80090380,-179.156,-0.792,26.665,-0.024,-14.233,-0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.110,8.500,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 10:56:40.400422,5193,126.62226480,45.80090390,-179.230,-0.673,26.676,0.002,-14.256,-0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.133,2.666,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
