时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-07 11:07:08.098135,6763,126.62247290,45.80073860,159.476,0.000,8.295,0.039,1.876,-0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.122,0.000,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:07:08.207535,6663,126.62247280,45.80073870,159.848,3.382,8.306,0.038,1.868,-0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.117,0.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:07:08.317738,6466,126.62247260,45.80073870,160.113,2.409,8.306,0.146,1.853,-0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.202,0.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:07:08.427723,6383,126.62247250,45.80073880,160.395,2.564,8.317,0.027,1.845,-0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.133,0.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:07:08.537821,6163,126.62247230,45.80073860,160.709,2.855,8.295,0.035,1.829,-0.141,0.000,0.000,0.000,0.000,0.000,0.000,0.145,0.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:07:08.647977,5843,126.62247200,45.80073840,161.122,3.755,8.273,0.065,1.806,-0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.134,0.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:07:08.758036,5763,126.62247190,45.80073860,161.485,3.300,8.295,0.059,1.798,-0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.131,0.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:07:08.868148,5563,126.62247170,45.80073870,161.723,2.144,8.306,0.060,1.783,-0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.129,0.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:07:08.978263,5383,126.62247150,45.80073880,161.967,2.218,8.317,0.064,1.767,-0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.134,0.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:07:09.088359,5290,126.62247140,45.80073890,162.204,2.155,8.329,0.017,1.760,-0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.098,0.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
