时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-07 11:24:13.046571,5916,126.62267680,45.80089110,-41.566,-0.073,25.252,0.048,17.682,-0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.233,-2.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:13.156586,5526,126.62267640,45.80089120,-41.630,-0.582,25.263,0.032,17.651,-0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.229,-2.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:13.266686,5236,126.62267610,45.80089130,-41.627,0.027,25.275,0.015,17.628,-0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.225,-2.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:13.376780,4846,126.62267570,45.80089140,-41.574,0.482,25.286,0.053,17.597,-0.226,0.000,0.000,0.000,0.000,0.000,0.000,0.232,-2.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:13.486899,4566,126.62267540,45.80089160,-41.557,0.155,25.308,0.065,17.574,-0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.234,-2.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:13.596994,4186,126.62267500,45.80089180,-41.573,-0.145,25.330,0.012,17.543,-0.209,0.000,0.000,0.000,0.000,0.000,0.000,0.209,-2.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:13.707122,3896,126.62267470,45.80089190,-41.582,-0.081,25.341,0.012,17.520,-0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.204,-2.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:13.817296,3616,126.62267440,45.80089210,-41.602,-0.182,25.364,0.001,17.496,-0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.204,-2.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:13.927333,3226,126.62267400,45.80089220,-41.651,-0.445,25.375,0.063,17.465,-0.222,-90.000,0.700,0.000,0.000,0.000,0.000,0.231,-2.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:14.037414,2936,126.62267370,45.80089230,-41.688,-0.336,25.386,0.051,17.442,-0.216,-90.000,0.700,0.000,-30.000,3.050,-0.024,0.222,-2.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:14.147536,2556,126.62267330,45.80089250,-41.672,0.145,25.408,0.007,17.411,-0.222,-90.000,0.700,0.000,-30.000,0.851,-0.051,0.222,-2.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:14.257642,2266,126.62267300,45.80089260,-41.662,0.091,25.419,0.020,17.388,-0.232,-90.000,0.700,0.000,-30.000,0.915,-0.077,0.233,-2.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:14.367752,1886,126.62267260,45.80089280,-41.726,-0.582,25.441,-0.001,17.357,-0.229,-90.000,0.700,0.000,-30.000,0.956,-0.104,0.229,-2.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:14.477855,1596,126.62267230,45.80089290,-41.765,-0.355,25.453,-0.012,17.334,-0.227,-90.000,0.700,0.000,-30.000,1.131,-0.131,0.227,-2.611,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:14.587957,1206,126.62267190,45.80089300,-41.871,-0.964,25.464,0.045,17.303,-0.228,-90.000,0.700,0.000,-30.000,1.228,-0.157,0.232,-32.334,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:14.698056,906,126.62267160,45.80089300,-42.031,-1.455,25.464,0.044,17.279,-0.232,-90.000,0.700,0.000,-30.000,1.293,-0.184,0.236,-32.334,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:24:14.808172,606,126.62267130,45.80089300,-42.088,-0.514,25.464,0.047,17.256,-0.224,-90.000,0.700,0.000,-30.000,1.397,-0.210,0.229,-32.334,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
