时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-07 11:29:02.095046,6339,126.62303530,45.80091030,164.292,0.000,27.387,-0.280,45.473,-0.271,0.000,0.000,0.000,0.000,0.000,0.000,0.390,0.000,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:02.204421,6109,126.62303510,45.80091000,164.189,-0.936,27.354,-0.271,45.458,-0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.330,0.000,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:02.314477,5889,126.62303490,45.80090980,164.138,-0.464,27.332,-0.256,45.442,-0.186,0.000,0.000,0.000,0.000,0.000,0.000,0.316,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:02.424634,5556,126.62303460,45.80090950,164.071,-0.609,27.298,-0.229,45.419,-0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.270,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:02.534694,5336,126.62303440,45.80090930,163.991,-0.727,27.276,-0.205,45.404,-0.141,0.000,0.000,0.000,0.000,0.000,0.000,0.249,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:02.644807,5116,126.62303420,45.80090910,164.238,2.245,27.254,-0.187,45.388,-0.155,0.000,0.000,0.000,0.000,0.000,0.000,0.243,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:02.754904,4799,126.62303390,45.80090890,164.235,-0.027,27.232,-0.248,45.365,-0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.313,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:02.865024,4469,126.62303360,45.80090860,164.236,0.009,27.198,-0.253,45.342,-0.198,0.000,0.000,0.000,0.000,0.000,0.000,0.321,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:02.975199,4136,126.62303330,45.80090830,164.153,-0.748,27.165,-0.206,45.318,-0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.275,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:03.085236,3806,126.62303300,45.80090800,163.928,-2.045,27.132,-0.198,45.295,-0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.267,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:03.195344,3579,126.62303280,45.80090770,163.713,-1.955,27.098,-0.252,45.280,-0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.315,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:03.305431,3259,126.62303250,45.80090750,163.575,-1.255,27.076,-0.232,45.256,-0.209,0.000,0.000,0.000,0.000,0.000,0.000,0.312,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:03.415548,2939,126.62303220,45.80090730,163.585,0.091,27.054,-0.249,45.233,-0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.305,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:03.525648,2509,126.62303180,45.80090700,163.688,0.936,27.020,-0.234,45.202,-0.195,0.000,0.000,0.000,0.000,0.000,0.000,0.305,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:03.635741,2089,126.62303140,45.80090680,163.802,1.036,26.998,-0.225,45.171,-0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.308,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:03.745854,1766,126.62303110,45.80090660,163.860,0.527,26.976,-0.179,45.148,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.239,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:03.855943,1646,126.62303100,45.80090640,163.751,-0.991,26.954,-0.182,45.140,-0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.226,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:03.966062,1419,126.62303080,45.80090610,163.464,-2.609,26.920,-0.264,45.125,-0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.319,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:04.076186,1189,126.62303060,45.80090590,163.236,-2.054,26.898,-0.235,45.109,-0.187,0.000,0.000,0.000,0.000,0.000,0.000,0.300,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:04.186345,979,126.62303040,45.80090570,163.218,-0.164,26.876,-0.232,45.094,-0.242,0.000,0.000,0.000,0.000,0.000,0.000,0.335,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:04.296398,659,126.62303010,45.80090550,163.379,1.464,26.854,-0.233,45.070,-0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.380,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:04.406489,326,126.62302980,45.80090530,163.496,1.064,26.831,-0.180,45.047,-0.197,0.000,0.000,0.000,0.000,0.000,0.000,0.267,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:04.516613,9916,126.62302940,45.80090510,163.422,-0.673,26.809,-0.188,45.016,-0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.255,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:04.626715,9686,126.62302920,45.80090480,162.852,-5.182,26.776,-0.175,45.001,-0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.224,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:04.736814,9469,126.62302900,45.80090460,162.628,-2.036,26.753,-0.254,44.985,-0.196,0.000,0.000,0.000,0.000,0.000,0.000,0.321,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:04.846929,9359,126.62302890,45.80090450,162.632,0.036,26.742,-0.217,44.977,-0.212,0.000,0.000,0.000,0.000,0.000,0.000,0.303,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:04.957028,9139,126.62302870,45.80090430,162.817,1.682,26.720,-0.192,44.962,-0.240,0.000,0.000,0.000,0.000,0.000,0.000,0.307,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:05.067590,8829,126.62302840,45.80090420,162.974,1.414,26.709,-0.210,44.939,-0.267,0.000,0.000,0.000,0.000,0.000,0.000,0.340,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:05.187238,8509,126.62302810,45.80090400,163.015,0.342,26.687,-0.237,44.915,-0.202,0.000,0.000,0.000,0.000,0.000,0.000,0.311,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:05.297349,8186,126.62302780,45.80090380,162.908,-0.973,26.665,-0.229,44.892,-0.192,0.000,0.000,0.000,0.000,0.000,0.000,0.299,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:05.407541,7866,126.62302750,45.80090360,162.761,-1.336,26.642,-0.165,44.869,-0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.218,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:05.517563,7646,126.62302730,45.80090350,162.655,-0.964,26.631,-0.150,44.853,-0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.209,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:05.627675,7336,126.62302700,45.80090330,162.582,-0.664,26.609,-0.143,44.830,-0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.221,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:05.737781,7106,126.62302680,45.80090300,162.584,0.018,26.576,-0.229,44.814,-0.146,0.000,0.000,0.000,0.000,0.000,0.000,0.272,-2.778,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:05.847878,6666,126.62302640,45.80090260,162.677,0.845,26.531,-0.211,44.783,-0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.264,-3.223,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 11:29:05.957983,6436,126.62302620,45.80090230,162.796,1.082,26.498,-0.202,44.768,-0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.268,-3.223,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
