时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-07 15:01:41.009240,4516,126.62286980,45.80114710,-10.495,-1.126,53.718,0.065,32.644,-0.213,0.000,0.000,0.000,0.000,0.000,0.000,0.223,-5.167,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:01:41.125819,4116,126.62286940,45.80114710,-10.635,-0.385,53.718,0.049,32.613,-0.259,0.000,0.000,0.000,0.000,0.000,0.000,0.264,-6.111,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:01:41.235912,3716,126.62286900,45.80114710,-10.715,-0.727,53.718,0.020,32.582,-0.274,0.000,0.000,0.000,0.000,0.000,0.000,0.275,-6.111,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:01:41.346021,3306,126.62286860,45.80114700,-10.549,1.509,53.707,0.014,32.551,-0.269,0.000,0.000,0.000,0.000,0.000,0.000,0.269,-6.111,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:01:41.456126,3116,126.62286840,45.80114710,-10.548,0.009,53.718,0.046,32.535,-0.267,0.000,0.000,0.000,0.000,0.000,0.000,0.271,-6.111,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:01:41.566227,2826,126.62286810,45.80114720,-10.655,-0.973,53.729,0.051,32.512,-0.290,0.000,0.000,0.000,0.000,0.000,0.000,0.294,-6.000,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:01:41.676407,2426,126.62286770,45.80114730,-10.908,-2.300,53.741,0.050,32.481,-0.209,0.000,0.000,0.000,0.000,0.000,0.000,0.215,-6.000,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:01:41.786446,2146,126.62286740,45.80114740,-11.175,-2.427,53.752,0.028,32.458,-0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.207,-6.000,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:01:41.896550,1846,126.62286710,45.80114740,-11.308,-1.209,53.752,0.041,32.434,-0.213,0.000,0.000,0.000,0.000,0.000,0.000,0.217,-6.000,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:01:42.006658,1446,126.62286670,45.80114740,-11.313,-0.045,53.752,0.026,32.403,-0.257,0.000,0.000,0.000,0.000,0.000,0.000,0.258,-6.000,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:01:42.116761,1146,126.62286640,45.80114740,-11.250,0.573,53.752,0.021,32.380,-0.273,0.000,0.000,0.000,0.000,0.000,0.000,0.274,-5.889,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:01:42.226867,756,126.62286600,45.80114750,-11.227,0.209,53.763,0.027,32.349,-0.298,0.000,0.000,0.000,0.000,0.000,0.000,0.299,-5.889,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:01:42.336969,456,126.62286570,45.80114750,-11.311,-0.764,53.763,-0.003,32.326,-0.273,0.000,0.000,0.000,0.000,0.000,0.000,0.273,-5.889,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:01:42.447081,156,126.62286540,45.80114750,-11.521,-1.909,53.763,0.040,32.303,-0.238,0.000,0.000,0.000,0.000,0.000,0.000,0.241,-5.889,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:01:42.557219,9866,126.62286510,45.80114760,-11.741,-1.982,53.774,0.027,32.279,-0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.251,-5.834,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
