时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-07 15:40:57.006638,3243,126.62243570,45.80147540,13.537,-1.409,90.224,0.044,-1.008,-0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.139,-7.167,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:40:57.116474,3043,126.62243550,45.80147540,13.400,0.000,90.224,0.054,-1.023,-0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.147,-7.167,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:40:57.226570,2743,126.62243520,45.80147540,13.168,-2.109,90.224,0.061,-1.047,-0.183,0.000,0.000,0.000,0.000,0.000,0.000,0.193,-7.000,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:40:57.336680,2553,126.62243500,45.80147550,13.008,-1.455,90.235,0.049,-1.062,-0.193,0.000,0.000,0.000,0.000,0.000,0.000,0.199,-7.000,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:40:57.446784,2253,126.62243470,45.80147550,12.827,-1.645,90.235,0.017,-1.085,-0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.153,-7.000,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:40:57.556978,2053,126.62243450,45.80147550,12.688,-1.264,90.235,-0.006,-1.101,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.161,-7.000,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:40:57.667005,1753,126.62243420,45.80147550,12.447,-2.191,90.235,-0.017,-1.124,-0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.161,-7.000,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:40:57.777106,1666,126.62243410,45.80147560,12.374,-0.658,90.246,0.064,-1.132,-0.202,0.000,0.000,0.000,0.000,0.000,0.000,0.212,-6.834,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:40:57.887224,1476,126.62243390,45.80147570,12.252,-1.109,90.257,0.080,-1.147,-0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.232,-6.834,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:40:57.997328,1283,126.62243370,45.80147580,12.082,-1.545,90.268,0.053,-1.163,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.169,-6.834,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:40:58.107418,1093,126.62243350,45.80147590,11.841,-2.191,90.279,0.044,-1.178,-0.195,0.000,0.000,0.000,0.000,0.000,0.000,0.200,-6.834,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:40:58.217516,800,126.62243320,45.80147600,11.644,-1.791,90.290,0.034,-1.202,-0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.081,-6.834,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:40:58.327634,610,126.62243300,45.80147610,11.531,-1.027,90.301,0.003,-1.217,-0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.053,-6.834,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:40:58.437741,413,126.62243280,45.80147610,11.520,-0.100,90.301,0.053,-1.233,-0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.138,-6.834,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:40:58.547851,213,126.62243260,45.80147610,11.499,-0.191,90.301,0.067,-1.248,-0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.139,-6.834,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
