时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-07 15:59:39.018563,1713,126.62292310,45.80118620,13.908,-4.618,58.066,-0.044,36.776,-0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.127,-5.167,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:39.128650,1613,126.62292300,45.80118620,13.385,-4.755,58.066,-0.038,36.768,-0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.134,-5.167,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:39.238748,1413,126.62292280,45.80118610,12.768,-5.609,58.055,-0.037,36.752,-0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.150,-5.167,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:39.348838,1213,126.62292260,45.80118610,12.003,-6.955,58.055,-0.081,36.737,-0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.188,-2.834,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:39.458952,1003,126.62292240,45.80118600,11.370,-5.755,58.044,-0.109,36.721,-0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.168,-2.834,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:39.569114,903,126.62292230,45.80118600,10.838,-4.793,58.044,-0.119,36.714,-0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.187,-2.834,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:39.679159,693,126.62292210,45.80118590,10.284,-5.036,58.033,-0.045,36.698,-0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.156,-2.834,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:39.789245,483,126.62292190,45.80118580,9.809,-4.318,58.022,-0.073,36.683,-0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.169,-2.278,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:39.909372,173,126.62292160,45.80118570,9.202,-5.058,58.010,-0.062,36.659,-0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.180,-2.278,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:40.029498,9873,126.62292130,45.80118570,8.530,-5.600,58.010,-0.080,36.636,-0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.142,-2.278,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:40.149692,9553,126.62292100,45.80118560,7.895,-5.292,57.999,-0.102,36.613,-0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.171,-2.278,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:40.269734,9253,126.62292070,45.80118550,7.327,-4.733,57.988,-0.114,36.590,-0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.190,-1.500,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:40.389819,9043,126.62292050,45.80118540,6.679,-5.400,57.977,-0.051,36.574,-0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.175,-1.500,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:40.509954,9043,126.62292050,45.80118540,6.051,-5.233,57.977,-0.049,36.574,-0.173,0.000,0.000,0.000,0.000,0.000,0.000,0.180,-1.500,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:40.630056,8943,126.62292040,45.80118540,5.445,-5.050,57.977,-0.047,36.566,-0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.150,-1.500,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:40.750180,8833,126.62292030,45.80118530,4.875,-4.711,57.966,-0.054,36.559,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.170,-1.500,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:40.870299,8633,126.62292010,45.80118530,4.210,-5.542,57.966,-0.050,36.543,-0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.189,-1.723,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:40.980420,8333,126.62291980,45.80118530,3.577,-5.755,57.966,-0.042,36.520,-0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.106,-1.723,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:41.090603,8133,126.62291960,45.80118530,3.055,-4.745,57.966,-0.054,36.504,-0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.110,-1.723,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:41.200620,7923,126.62291940,45.80118520,2.532,-4.755,57.955,-0.067,36.489,-0.085,0.000,0.000,0.000,0.000,0.000,0.000,0.108,-1.723,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 15:59:41.310710,7713,126.62291920,45.80118510,2.325,-1.882,57.944,-0.072,36.473,-0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.157,-1.667,0.000,0.000,0.050,0.000,0.000,1.000,0.000,0.000,1.000,0.000
