时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-07 16:28:31.081487,8613,126.62288450,45.80124110,14.629,0.000,64.171,-0.068,33.783,-0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.178,0.000,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:28:31.190938,8613,126.62288450,45.80124110,14.107,-4.789,64.171,-0.045,33.783,-0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.136,0.000,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:28:31.301003,8513,126.62288440,45.80124110,13.527,-5.273,64.171,-0.042,33.776,-0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.144,0.000,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:28:31.411100,8403,126.62288430,45.80124100,12.876,-5.865,64.159,-0.060,33.768,-0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.149,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:28:31.521203,8303,126.62288420,45.80124100,12.360,-4.691,64.159,-0.069,33.760,-0.163,0.000,0.000,0.000,0.000,0.000,0.000,0.177,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:28:31.631341,8203,126.62288410,45.80124100,11.809,-5.009,64.159,-0.052,33.752,-0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.175,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:28:31.741416,7993,126.62288390,45.80124090,11.362,-4.064,64.148,-0.059,33.737,-0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.182,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:28:31.851512,7783,126.62288370,45.80124080,10.875,-4.427,64.137,-0.040,33.721,-0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.124,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:28:31.961623,7583,126.62288350,45.80124080,10.436,-3.991,64.137,-0.037,33.706,-0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.134,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:28:32.071723,7383,126.62288330,45.80124080,9.621,-7.409,64.137,-0.030,33.690,-0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.165,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
