时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-07 16:35:17.099620,5616,126.62305610,45.80129510,12.661,0.000,70.175,0.038,47.086,-0.199,0.000,0.000,0.000,0.000,0.000,0.000,0.203,0.000,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:17.219061,5426,126.62305590,45.80129520,12.726,0.546,70.186,0.074,47.070,-0.208,0.000,0.000,0.000,0.000,0.000,0.000,0.221,0.000,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:17.329141,5126,126.62305560,45.80129520,12.725,-0.009,70.186,0.077,47.047,-0.201,0.000,0.000,0.000,0.000,0.000,0.000,0.215,-4.278,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:17.439261,4836,126.62305530,45.80129530,12.676,-0.445,70.197,0.070,47.024,-0.220,0.000,0.000,0.000,0.000,0.000,0.000,0.231,-4.278,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:17.559373,4636,126.62305510,45.80129530,12.632,-0.367,70.197,0.055,47.008,-0.232,0.000,0.000,0.000,0.000,0.000,0.000,0.238,-4.278,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:17.679543,4343,126.62305480,45.80129540,12.628,-0.033,70.208,0.046,46.985,-0.153,0.000,0.000,0.000,0.000,0.000,0.000,0.160,-4.278,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:17.799620,4153,126.62305460,45.80129550,12.723,0.792,70.220,0.038,46.970,-0.155,0.000,0.000,0.000,0.000,0.000,0.000,0.160,-4.278,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:17.919702,4053,126.62305450,45.80129550,12.858,1.125,70.220,0.040,46.962,-0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.148,-4.334,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:18.039830,3863,126.62305430,45.80129560,12.921,0.525,70.231,0.061,46.946,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.172,-4.334,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:18.159985,3776,126.62305420,45.80129570,12.861,-0.500,70.242,0.101,46.939,-0.241,0.000,0.000,0.000,0.000,0.000,0.000,0.261,-4.334,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:18.280067,3489,126.62305390,45.80129580,12.729,-1.100,70.253,0.083,46.915,-0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.313,-4.334,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:18.400172,3193,126.62305360,45.80129590,12.651,-0.645,70.264,0.047,46.892,-0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.169,-4.278,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:18.520289,2793,126.62305320,45.80129590,12.659,0.067,70.264,0.036,46.861,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.165,-4.278,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:18.630392,2503,126.62305290,45.80129600,12.770,1.009,70.275,0.028,46.838,-0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.138,-4.278,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:18.740503,2413,126.62305280,45.80129610,12.835,0.591,70.286,0.020,46.830,-0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.129,-4.278,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:18.850579,2323,126.62305270,45.80129620,12.851,0.145,70.297,0.016,46.822,-0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.121,-4.445,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:18.960713,2336,126.62305270,45.80129630,12.829,-0.200,70.309,0.055,46.822,-0.248,0.000,0.000,0.000,0.000,0.000,0.000,0.254,-4.445,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:35:19.070915,2146,126.62305250,45.80129640,12.766,-0.573,70.320,0.058,46.807,-0.281,0.000,0.000,0.000,0.000,0.000,0.000,0.287,-4.445,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
