时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-07 16:46:14.095270,4946,126.62304710,45.80087840,-23.919,0.000,23.840,0.022,46.388,-0.241,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.000,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:46:14.203779,4646,126.62304680,45.80087840,-23.734,1.682,23.840,0.038,46.365,-0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.233,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:46:14.313850,4246,126.62304640,45.80087840,-23.522,1.927,23.840,0.040,46.334,-0.220,0.000,0.000,0.000,0.000,0.000,0.000,0.224,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:46:14.423958,3946,126.62304610,45.80087840,-23.390,1.200,23.840,0.029,46.311,-0.231,0.000,0.000,0.000,0.000,0.000,0.000,0.233,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:46:14.534061,3546,126.62304570,45.80087840,-23.340,0.455,23.840,0.006,46.280,-0.253,0.000,0.000,0.000,0.000,0.000,0.000,0.253,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:46:14.644222,3146,126.62304530,45.80087840,-23.339,0.009,23.840,-0.017,46.249,-0.272,0.000,0.000,0.000,0.000,0.000,0.000,0.273,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:46:14.754235,2746,126.62304490,45.80087840,-23.277,0.564,23.840,0.034,46.218,-0.232,0.000,0.000,0.000,0.000,0.000,0.000,0.234,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:46:14.864379,2346,126.62304450,45.80087840,-23.098,1.627,23.840,0.035,46.187,-0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.218,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:46:14.974480,2043,126.62304420,45.80087840,-22.769,2.991,23.840,0.014,46.163,-0.193,0.000,0.000,0.000,0.000,0.000,0.000,0.194,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:46:15.084590,1646,126.62304380,45.80087840,-22.464,2.773,23.840,-0.024,46.132,-0.248,0.000,0.000,0.000,0.000,0.000,0.000,0.249,-4.500,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
