时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-07 16:53:04.094443,6383,126.62299900,45.80117380,166.344,0.000,56.687,-0.067,42.659,-0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.126,-5.834,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:53:04.203951,6283,126.62299890,45.80117380,166.428,0.771,56.687,-0.060,42.652,-0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.141,-5.834,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:53:04.314096,6083,126.62299870,45.80117380,166.579,1.373,56.687,-0.048,42.636,-0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.150,-5.834,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:53:04.424153,5783,126.62299840,45.80117380,166.700,1.090,56.687,-0.058,42.613,-0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.151,-5.834,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:53:04.534270,5473,126.62299810,45.80117370,166.750,0.455,56.676,-0.053,42.590,-0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.126,-5.834,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:53:04.644349,5263,126.62299790,45.80117360,166.700,-0.455,56.665,-0.058,42.574,-0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.184,-5.556,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:53:04.754493,5063,126.62299770,45.80117360,166.618,-0.745,56.665,-0.062,42.559,-0.181,0.000,0.000,0.000,0.000,0.000,0.000,0.191,-5.556,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:53:04.864592,4753,126.62299740,45.80117350,166.625,0.064,56.654,-0.093,42.535,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.184,-5.556,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:53:04.974683,4443,126.62299710,45.80117340,166.776,1.373,56.643,-0.069,42.512,-0.171,0.000,0.000,0.000,0.000,0.000,0.000,0.184,-5.556,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-07 16:53:05.084776,4243,126.62299690,45.80117340,166.951,1.591,56.643,-0.021,42.497,-0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.104,-6.111,0.000,0.000,0.100,0.000,0.000,1.000,0.000,0.000,1.000,0.000
