时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 12:29:44.083561,2159,126.62291040,45.80081750,-96.726,0.000,17.068,-0.330,35.791,-1.336,0.000,0.000,0.000,0.000,0.000,0.000,1.376,0.000,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 12:29:44.192953,332,126.62290860,45.80081720,-96.371,3.257,17.035,-0.341,35.652,-1.371,0.000,0.000,0.000,0.000,0.000,0.000,1.413,0.000,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 12:29:44.303056,8212,126.62290650,45.80081700,-96.033,3.073,17.013,-0.283,35.489,-1.385,0.000,0.000,0.000,0.000,0.000,0.000,1.414,2.555,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 12:29:44.413205,6402,126.62290470,45.80081690,-95.792,2.171,17.002,-0.308,35.349,-1.444,0.000,0.000,0.000,0.000,0.000,0.000,1.476,2.555,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 12:29:44.523279,4079,126.62290240,45.80081670,-95.510,2.564,16.979,-0.251,35.171,-1.335,0.000,0.000,0.000,0.000,0.000,0.000,1.358,2.555,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 12:29:44.633502,2062,126.62290040,45.80081650,-95.233,2.518,16.957,-0.260,35.016,-1.385,0.000,0.000,0.000,0.000,0.000,0.000,1.409,2.555,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 12:29:44.743482,9723,126.62289810,45.80081620,-94.906,2.973,16.924,-0.195,34.838,-1.172,0.000,0.000,0.000,0.000,0.000,0.000,1.188,2.555,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 12:29:44.853594,7706,126.62289610,45.80081600,-94.594,2.836,16.902,-0.199,34.683,-1.208,0.000,0.000,0.000,0.000,0.000,0.000,1.224,-0.222,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 12:29:44.963692,5383,126.62289380,45.80081580,-94.266,2.982,16.879,-0.167,34.504,-1.129,0.000,0.000,0.000,0.000,0.000,0.000,1.141,-0.222,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 12:29:45.073810,3363,126.62289180,45.80081560,-93.969,2.700,16.857,-0.168,34.349,-1.147,0.000,0.000,0.000,0.000,0.000,0.000,1.159,-0.222,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 12:29:45.183894,943,126.62288940,45.80081540,-93.651,2.891,16.835,-0.178,34.163,-1.173,0.000,0.000,0.000,0.000,0.000,0.000,1.186,-0.222,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 12:29:45.293991,9820,126.62288830,45.80081530,-93.246,3.682,16.824,-0.188,34.078,-1.053,0.000,0.000,0.000,0.000,0.000,0.000,1.070,-0.167,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 12:29:45.404191,8720,126.62288720,45.80081520,-92.759,4.387,16.813,-0.195,33.993,-1.080,0.000,0.000,0.000,0.000,0.000,0.000,1.097,-0.167,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 12:29:45.514228,7420,126.62288590,45.80081520,-92.282,4.336,16.813,-0.148,33.892,-1.019,0.000,0.000,0.000,0.000,0.000,0.000,1.030,-0.167,0.000,0.000,0.600,0.000,0.000,1.000,0.000,0.000,1.000,0.000
