时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 13:15:17.098063,416,126.62341610,45.80104310,-31.660,0.000,42.154,-0.000,74.993,-0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.285,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:17.217148,9906,126.62341560,45.80104300,-31.500,1.325,42.143,-0.046,74.954,-0.279,0.000,0.000,0.000,0.000,0.000,0.000,0.283,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:17.323366,9586,126.62341530,45.80104280,-31.193,2.787,42.121,-0.015,74.931,-0.295,0.000,0.000,0.000,0.000,0.000,0.000,0.295,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:17.433622,9269,126.62341500,45.80104260,-30.867,2.945,42.098,-0.018,74.908,-0.314,0.000,0.000,0.000,0.000,0.000,0.000,0.315,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:17.543775,8806,126.62341460,45.80104210,-30.593,2.511,42.043,0.039,74.877,-0.292,0.000,0.000,0.000,0.000,0.000,0.000,0.295,-0.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:17.652911,8319,126.62341420,45.80104110,-30.493,0.904,41.932,0.064,74.846,-0.308,0.000,0.000,0.000,0.000,0.000,0.000,0.315,-0.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:17.763019,7719,126.62341370,45.80104010,-30.449,0.401,41.820,0.061,74.807,-0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.308,-0.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:17.873122,7226,126.62341330,45.80103920,-30.368,0.732,41.720,0.004,74.776,-0.289,0.000,0.000,0.000,0.000,0.000,0.000,0.289,-0.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:17.983215,6769,126.62341290,45.80103860,-30.225,1.298,41.654,-0.017,74.745,-0.327,0.000,0.000,0.000,0.000,0.000,0.000,0.327,-0.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:18.093336,6309,126.62341250,45.80103800,-30.032,1.756,41.587,0.009,74.714,-0.309,0.000,0.000,0.000,0.000,0.000,0.000,0.309,-0.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:18.203400,5859,126.62341210,45.80103750,-29.875,1.432,41.531,-0.000,74.683,-0.324,0.000,0.000,0.000,0.000,0.000,0.000,0.324,-0.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:18.313547,5296,126.62341160,45.80103690,-29.709,1.502,41.465,0.031,74.644,-0.273,0.000,0.000,0.000,0.000,0.000,0.000,0.275,-0.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:18.423646,4766,126.62341110,45.80103660,-29.555,1.406,41.431,0.027,74.606,-0.274,0.000,0.000,0.000,0.000,0.000,0.000,0.275,-0.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:18.533764,4226,126.62341060,45.80103620,-29.345,1.903,41.387,-0.003,74.567,-0.270,0.000,0.000,0.000,0.000,0.000,0.000,0.270,-1.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:18.644061,3786,126.62341020,45.80103580,-29.138,1.890,41.342,-0.007,74.536,-0.264,0.000,0.000,0.000,0.000,0.000,0.000,0.264,-1.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:18.753975,3356,126.62340980,45.80103550,-28.906,2.100,41.309,-0.014,74.505,-0.273,0.000,0.000,0.000,0.000,0.000,0.000,0.273,-1.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:18.864074,2926,126.62340940,45.80103520,-28.724,1.661,41.276,-0.028,74.474,-0.293,0.000,0.000,0.000,0.000,0.000,0.000,0.294,-1.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:18.974177,2409,126.62340890,45.80103500,-28.537,1.684,41.253,-0.028,74.435,-0.321,0.000,0.000,0.000,0.000,0.000,0.000,0.322,-1.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:19.084283,1979,126.62340850,45.80103480,-28.404,1.209,41.231,-0.038,74.404,-0.338,0.000,0.000,0.000,0.000,0.000,0.000,0.340,-0.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:19.194387,1569,126.62340810,45.80103460,-28.290,1.037,41.209,0.023,74.373,-0.319,0.000,0.000,0.000,0.000,0.000,0.000,0.320,-0.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:19.304500,1056,126.62340760,45.80103450,-28.216,0.675,41.198,0.036,74.334,-0.255,0.000,0.000,0.000,0.000,0.000,0.000,0.258,-0.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:19.414601,536,126.62340710,45.80103430,-28.105,1.005,41.175,0.020,74.295,-0.254,0.000,0.000,0.000,0.000,0.000,0.000,0.255,-0.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:19.524709,116,126.62340670,45.80103420,-27.934,1.559,41.164,0.005,74.264,-0.260,0.000,0.000,0.000,0.000,0.000,0.000,0.260,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:19.634800,9606,126.62340620,45.80103400,-27.657,2.514,41.142,-0.001,74.226,-0.242,0.000,0.000,0.000,0.000,0.000,0.000,0.242,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:19.744971,9196,126.62340580,45.80103390,-27.416,2.189,41.131,0.010,74.195,-0.247,0.000,0.000,0.000,0.000,0.000,0.000,0.247,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:19.855023,8789,126.62340540,45.80103380,-27.105,2.832,41.120,-0.006,74.164,-0.324,0.000,0.000,0.000,0.000,0.000,0.000,0.324,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:19.965136,8389,126.62340500,45.80103380,-27.013,0.826,41.120,-0.058,74.133,-0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.338,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:20.075232,7879,126.62340450,45.80103370,-26.980,0.299,41.109,-0.074,74.094,-0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.348,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:20.195354,7479,126.62340410,45.80103370,-26.935,0.373,41.109,-0.008,74.063,-0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.301,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:20.305455,6979,126.62340360,45.80103370,-26.832,0.935,41.109,0.046,74.024,-0.317,0.000,0.000,0.000,0.000,0.000,0.000,0.320,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:20.415541,6559,126.62340320,45.80103360,-26.699,1.209,41.098,0.032,73.993,-0.323,0.000,0.000,0.000,0.000,0.000,0.000,0.325,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:20.525669,6056,126.62340270,45.80103350,-26.536,1.483,41.087,-0.003,73.954,-0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.282,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:20.635773,5656,126.62340230,45.80103350,-26.397,1.266,41.087,0.008,73.923,-0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.284,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:20.745926,5146,126.62340180,45.80103340,-26.249,1.349,41.075,0.017,73.885,-0.283,0.000,0.000,0.000,0.000,0.000,0.000,0.284,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:20.855973,4749,126.62340140,45.80103340,-26.127,1.107,41.075,-0.006,73.854,-0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.301,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:20.966077,4359,126.62340100,45.80103350,-25.997,1.177,41.087,-0.059,73.823,-0.307,0.000,0.000,0.000,0.000,0.000,0.000,0.313,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:21.076167,3959,126.62340060,45.80103350,-25.906,0.826,41.087,-0.076,73.792,-0.323,0.000,0.000,0.000,0.000,0.000,0.000,0.332,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:21.186287,3559,126.62340020,45.80103350,-25.836,0.636,41.087,0.017,73.761,-0.318,0.000,0.000,0.000,0.000,0.000,0.000,0.318,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 13:15:21.296409,3056,126.62339970,45.80103350,-25.800,0.325,41.087,0.018,73.722,-0.266,0.000,0.000,0.000,0.000,0.000,0.000,0.267,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
