时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 14:37:21.082678,3862,126.62248330,45.80080560,94.482,0.000,15.745,-0.268,2.682,-0.349,0.000,0.000,0.000,0.000,0.000,0.000,0.440,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:21.192011,3562,126.62248300,45.80080550,94.533,0.468,15.734,-0.286,2.659,-0.382,0.000,0.000,0.000,0.000,0.000,0.000,0.459,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:21.302232,3042,126.62248250,45.80080530,94.526,-0.059,15.712,-0.173,2.620,-0.251,0.000,0.000,0.000,0.000,0.000,0.000,0.407,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:21.412262,2719,126.62248220,45.80080510,94.433,-0.845,15.690,-0.197,2.597,-0.245,0.000,0.000,0.000,0.000,0.000,0.000,0.384,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:21.522339,2299,126.62248180,45.80080490,94.291,-1.298,15.667,-0.153,2.566,-0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.361,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:21.632471,1879,126.62248140,45.80080470,94.216,-0.676,15.645,-0.113,2.535,-0.221,0.000,0.000,0.000,0.000,0.000,0.000,0.323,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:21.742543,1466,126.62248100,45.80080460,94.226,0.093,15.634,-0.103,2.504,-0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.273,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:21.852633,1156,126.62248070,45.80080450,94.259,0.295,15.623,-0.089,2.481,-0.183,0.000,0.000,0.000,0.000,0.000,0.000,0.253,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:21.962772,836,126.62248040,45.80080440,94.360,0.916,15.612,-0.126,2.457,-0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.255,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:22.073291,536,126.62248010,45.80080430,94.234,-1.130,15.601,-0.234,2.434,-0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.273,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:22.183317,19,126.62247960,45.80080410,94.067,-1.522,15.578,-0.256,2.395,-0.307,0.000,0.000,0.000,0.000,0.000,0.000,0.303,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:22.293431,9599,126.62247920,45.80080390,93.968,-0.900,15.556,-0.126,2.364,-0.314,0.000,0.000,0.000,0.000,0.000,0.000,0.325,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:22.403561,9079,126.62247870,45.80080370,93.948,-0.180,15.534,-0.102,2.326,-0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.354,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:22.513644,8569,126.62247820,45.80080360,93.982,0.311,15.523,-0.163,2.287,-0.193,0.000,0.000,0.000,0.000,0.000,0.000,0.339,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:22.623752,8059,126.62247770,45.80080350,94.012,0.273,15.512,-0.151,2.248,-0.174,0.000,0.000,0.000,0.000,0.000,0.000,0.314,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:22.733841,7736,126.62247740,45.80080330,93.998,-0.131,15.489,-0.178,2.225,-0.271,0.000,0.000,0.000,0.000,0.000,0.000,0.299,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:22.844079,7226,126.62247690,45.80080320,93.929,-0.627,15.478,-0.188,2.186,-0.269,0.000,0.000,0.000,0.000,0.000,0.000,0.297,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:22.954057,6816,126.62247650,45.80080310,93.788,-1.276,15.467,-0.193,2.155,-0.258,0.000,0.000,0.000,0.000,0.000,0.000,0.292,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:23.064148,6586,126.62247630,45.80080280,93.641,-1.324,15.434,-0.137,2.140,-0.260,0.000,0.000,0.000,0.000,0.000,0.000,0.300,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:23.174264,6269,126.62247600,45.80080260,93.521,-1.096,15.412,-0.120,2.116,-0.269,0.000,0.000,0.000,0.000,0.000,0.000,0.313,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:37:23.284352,5949,126.62247570,45.80080240,93.492,-0.262,15.389,-0.231,2.093,-0.337,0.000,0.000,0.000,0.000,0.000,0.000,0.329,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
