时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 14:40:06.084087,4136,126.62261150,45.80072630,-15.898,0.000,6.927,-0.034,12.620,-0.275,0.000,0.000,0.000,0.000,0.000,0.000,0.277,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:40:06.193442,3636,126.62261100,45.80072630,-15.846,0.469,6.927,-0.064,12.582,-0.279,0.000,0.000,0.000,0.000,0.000,0.000,0.282,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:40:06.303549,3236,126.62261060,45.80072630,-15.860,-0.131,6.927,-0.067,12.551,-0.288,0.000,0.000,0.000,0.000,0.000,0.000,0.286,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:40:06.413672,2729,126.62261010,45.80072620,-15.959,-0.895,6.916,-0.056,12.512,-0.337,0.000,0.000,0.000,0.000,0.000,0.000,0.300,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:40:06.523749,2229,126.62260960,45.80072620,-16.087,-1.162,6.916,-0.067,12.473,-0.347,0.000,0.000,0.000,0.000,0.000,0.000,0.311,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:40:06.633851,1729,126.62260910,45.80072620,-16.244,-1.429,6.916,-0.076,12.434,-0.358,0.000,0.000,0.000,0.000,0.000,0.000,0.329,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:40:06.744049,1319,126.62260870,45.80072610,-16.330,-0.780,6.905,-0.041,12.403,-0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.336,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:40:06.854088,819,126.62260820,45.80072610,-16.309,0.185,6.905,-0.011,12.364,-0.309,0.000,0.000,0.000,0.000,0.000,0.000,0.339,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:40:06.964168,409,126.62260780,45.80072600,-16.208,0.914,6.894,-0.081,12.333,-0.303,0.000,0.000,0.000,0.000,0.000,0.000,0.333,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 14:40:07.074281,9899,126.62260730,45.80072590,-16.058,1.364,6.883,-0.085,12.295,-0.294,0.000,0.000,0.000,0.000,0.000,0.000,0.323,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
