时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 15:02:54.040719,3706,126.62225810,45.80145600,-10.291,0.121,88.066,-0.055,-14.775,-0.271,0.000,0.000,0.000,0.000,0.000,0.000,0.248,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:02:54.150800,3396,126.62225780,45.80145590,-10.221,0.638,88.055,-0.051,-14.799,-0.277,0.000,0.000,0.000,0.000,0.000,0.000,0.273,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:02:54.260931,3096,126.62225750,45.80145590,-10.219,0.016,88.055,-0.037,-14.822,-0.202,0.000,0.000,0.000,0.000,0.000,0.000,0.255,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:02:54.371018,2896,126.62225730,45.80145590,-10.244,-0.224,88.055,-0.033,-14.837,-0.192,0.000,0.000,0.000,0.000,0.000,0.000,0.227,-0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:02:54.481124,2696,126.62225710,45.80145590,-10.281,-0.335,88.055,-0.077,-14.853,-0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.216,-0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:02:54.591234,2396,126.62225680,45.80145590,-10.314,-0.300,88.055,-0.083,-14.876,-0.261,0.000,0.000,0.000,0.000,0.000,0.000,0.239,-0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:02:54.701344,2096,126.62225650,45.80145590,-10.359,-0.409,88.055,-0.037,-14.899,-0.252,0.000,0.000,0.000,0.000,0.000,0.000,0.259,-0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:02:54.811435,1686,126.62225610,45.80145580,-10.403,-0.398,88.044,-0.037,-14.930,-0.263,90.000,1.300,0.000,0.000,0.000,0.000,0.265,-0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:02:54.921538,1386,126.62225580,45.80145580,-17.400,-0.398,88.044,-0.037,-14.954,-0.200,90.000,1.300,0.000,30.000,0.155,0.000,0.241,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:02:55.031646,1086,126.62225550,45.80145580,-17.404,-0.036,88.044,-0.048,-14.977,-0.185,90.000,1.300,0.000,30.000,0.314,0.000,0.220,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:02:55.141757,673,126.62225510,45.80145570,-17.285,1.082,88.033,-0.057,-15.008,-0.168,90.000,1.300,0.000,30.000,0.476,0.000,0.191,-0.500,0.000,0.000,0.526,-0.474,0.000,1.000,0.000,0.000,0.999,-0.000
2025-07-08 15:02:55.251933,463,126.62225490,45.80145560,-17.210,0.682,88.022,-0.037,-15.023,-0.219,90.000,1.300,0.000,30.000,0.642,0.000,0.197,-0.500,0.000,0.000,0.503,-0.497,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-08 15:02:55.361968,166,126.62225460,45.80145560,-17.157,0.482,88.022,-0.044,-15.047,-0.245,90.000,1.300,0.000,30.000,0.808,0.000,0.216,27.667,0.000,0.000,0.501,-0.499,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-08 15:02:55.472082,9866,126.62225430,45.80145560,-17.081,0.691,88.022,-0.046,-15.070,-0.227,90.000,1.300,0.000,30.000,0.970,0.000,0.234,27.667,0.000,0.000,0.501,-0.499,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-08 15:02:55.582173,9556,126.62225400,45.80145550,-17.070,0.099,88.011,-0.039,-15.093,-0.243,90.000,1.300,0.000,30.000,1.130,0.000,0.242,27.667,0.000,0.000,0.501,-0.499,0.000,1.000,0.000,0.000,0.998,-0.001
2025-07-08 15:02:55.692272,9256,126.62225370,45.80145550,-17.159,-0.809,88.011,-0.018,-15.116,-0.243,90.000,1.300,0.000,30.000,1.289,0.000,0.240,27.667,0.000,0.000,0.500,-0.500,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-08 15:02:55.802361,8846,126.62225330,45.80145540,-17.350,-1.736,88.000,-0.028,-15.147,-0.262,90.000,1.300,0.000,30.000,1.448,0.000,0.251,27.667,0.000,0.000,0.499,-0.501,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-08 15:02:55.912472,8446,126.62225290,45.80145540,-17.473,-1.118,88.000,-0.033,-15.178,-0.239,90.000,1.300,0.000,30.000,1.605,0.000,0.249,28.500,0.000,0.000,0.497,-0.503,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-08 15:02:56.022584,8036,126.62225250,45.80145530,-17.442,0.282,87.989,-0.061,-15.209,-0.213,90.000,1.300,0.000,30.000,1.762,0.000,0.242,28.500,0.000,0.000,0.498,-0.502,0.000,1.000,0.000,0.000,0.997,-0.002
2025-07-08 15:02:56.132730,7726,126.62225220,45.80145520,-17.251,1.736,87.977,-0.077,-15.233,-0.186,90.000,1.300,0.000,30.000,1.921,0.000,0.221,28.500,0.000,0.000,0.500,-0.500,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-08 15:02:56.242798,7416,126.62225190,45.80145510,-17.076,1.591,87.966,-0.060,-15.256,-0.196,90.000,1.300,0.000,30.000,2.082,0.000,0.209,28.500,0.000,0.000,0.503,-0.497,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-08 15:02:56.352908,7216,126.62225170,45.80145510,-16.915,1.464,87.966,-0.046,-15.271,-0.277,90.000,1.300,0.000,30.000,2.246,0.000,0.229,28.500,0.000,0.000,0.503,-0.497,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-08 15:02:56.462995,6906,126.62225140,45.80145500,-16.912,0.027,87.955,-0.033,-15.295,-0.287,90.000,1.300,0.000,30.000,2.406,0.000,0.258,28.555,0.000,0.000,0.503,-0.497,0.000,1.000,0.000,0.000,0.996,-0.003
2025-07-08 15:02:56.573127,6596,126.62225110,45.80145490,-17.016,-0.937,87.944,-0.065,-15.318,-0.300,90.000,1.300,0.000,30.000,2.562,0.000,0.292,28.555,0.000,0.000,0.500,-0.500,0.000,1.000,0.000,0.000,0.996,-0.004
