时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 15:26:23.100043,6389,126.62305490,45.80091480,-24.753,0.084,27.888,-0.031,46.993,-0.310,0.000,0.000,0.000,0.000,0.000,0.000,0.328,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:26:23.220141,5879,126.62305440,45.80091470,-24.781,-0.233,27.877,-0.036,46.954,-0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.305,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:26:23.340269,5379,126.62305390,45.80091470,-24.861,-0.665,27.877,-0.022,46.915,-0.309,0.000,0.000,0.000,0.000,0.000,0.000,0.308,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:26:23.450370,4879,126.62305340,45.80091470,-24.757,0.944,27.877,-0.009,46.877,-0.308,0.000,0.000,0.000,0.000,0.000,0.000,0.307,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:26:23.560469,4479,126.62305300,45.80091470,-24.611,1.325,27.877,-0.009,46.846,-0.309,0.000,0.000,0.000,0.000,0.000,0.000,0.309,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:26:23.670573,4069,126.62305260,45.80091460,-24.475,1.244,27.865,-0.053,46.815,-0.312,0.000,0.000,0.000,0.000,0.000,0.000,0.311,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:26:23.780669,3669,126.62305220,45.80091460,-24.410,0.589,27.865,-0.042,46.784,-0.298,0.000,0.000,0.000,0.000,0.000,0.000,0.309,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:26:23.890752,3169,126.62305170,45.80091460,-24.389,0.191,27.865,-0.031,46.745,-0.299,0.000,0.000,0.000,0.000,0.000,0.000,0.306,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:26:24.000880,2769,126.62305130,45.80091460,-24.373,0.147,27.865,-0.006,46.714,-0.339,0.000,0.000,0.000,0.000,0.000,0.000,0.314,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:26:24.111101,2269,126.62305080,45.80091460,-24.321,0.469,27.865,-0.027,46.675,-0.339,0.000,0.000,0.000,0.000,0.000,0.000,0.327,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:26:24.221093,1869,126.62305040,45.80091460,-24.259,0.562,27.865,-0.040,46.644,-0.334,0.000,0.000,0.000,0.000,0.000,0.000,0.339,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:26:24.331254,1459,126.62305000,45.80091450,-24.217,0.382,27.854,-0.006,46.613,-0.279,0.000,0.000,0.000,0.000,0.000,0.000,0.319,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
