时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 15:35:27.016337,2876,126.62251690,45.80075970,-14.706,0.231,10.641,0.111,5.287,-0.326,0.000,0.000,0.000,0.000,0.000,0.000,0.300,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:27.123961,2389,126.62251640,45.80075980,-14.688,0.150,10.652,0.059,5.248,-0.401,0.000,0.000,0.000,0.000,0.000,0.000,0.356,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:27.234059,1702,126.62251570,45.80076000,-14.851,-1.478,10.675,0.079,5.194,-0.452,0.000,0.000,0.000,0.000,0.000,0.000,0.403,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:27.344153,1022,126.62251500,45.80076010,-15.018,-1.508,10.686,0.108,5.140,-0.338,0.000,0.000,0.000,0.000,0.000,0.000,0.406,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:27.454252,339,126.62251430,45.80076030,-15.093,-0.682,10.708,0.057,5.085,-0.314,0.000,0.000,0.000,0.000,0.000,0.000,0.378,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:27.564371,9739,126.62251370,45.80076030,-15.022,0.649,10.708,0.079,5.039,-0.287,0.000,0.000,0.000,0.000,0.000,0.000,0.324,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:27.674485,9149,126.62251310,45.80076040,-14.853,1.533,10.719,0.079,4.992,-0.298,0.000,0.000,0.000,0.000,0.000,0.000,0.308,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:27.784659,8459,126.62251240,45.80076050,-14.867,-0.131,10.730,0.110,4.938,-0.321,0.000,0.000,0.000,0.000,0.000,0.000,0.315,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:27.894665,7059,126.62251100,45.80076050,-14.878,-0.098,10.730,0.111,4.830,-0.335,0.000,0.000,0.000,0.000,0.000,0.000,0.334,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:28.004784,5859,126.62250980,45.80076060,-14.987,-0.993,10.741,0.131,4.736,-0.318,0.000,0.000,0.000,0.000,0.000,0.000,0.345,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:28.114886,4579,126.62250850,45.80076070,-15.121,-1.211,10.753,0.076,4.636,-0.345,0.000,0.000,0.000,0.000,0.000,0.000,0.350,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:28.224992,3579,126.62250750,45.80076070,-15.162,-0.376,10.753,0.044,4.558,-0.367,0.000,0.000,0.000,0.000,0.000,0.000,0.356,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:28.335086,2379,126.62250630,45.80076070,-15.121,0.373,10.753,0.050,4.465,-0.390,0.000,0.000,0.000,0.000,0.000,0.000,0.372,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:28.445192,1279,126.62250520,45.80076070,-15.060,0.551,10.753,0.039,4.380,-0.423,0.000,0.000,0.000,0.000,0.000,0.000,0.396,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:28.555309,185,126.62250410,45.80076070,-15.044,0.142,10.753,0.061,4.295,-0.293,311.670,1.200,0.000,0.000,0.000,0.000,0.372,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:28.665425,9286,126.62250320,45.80076070,-25.157,0.142,10.753,0.073,4.225,-0.261,311.740,1.200,0.000,-19.971,0.124,0.000,0.332,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:28.775514,8284,126.62250220,45.80076070,-25.213,-0.509,10.753,0.081,4.147,-0.224,311.800,1.200,0.000,-18.812,0.254,0.000,0.269,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:28.885616,7594,126.62250150,45.80076080,-25.195,0.164,10.764,0.013,4.093,-0.375,311.850,1.200,0.000,-25.132,0.394,0.000,0.295,-14.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:28.995727,6998,126.62250090,45.80076080,-25.123,0.655,10.764,0.013,4.047,-0.397,311.900,1.200,0.000,-30.000,0.530,0.000,0.337,-14.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:29.105851,6198,126.62250010,45.80076080,-25.161,-0.345,10.764,0.054,3.985,-0.361,311.900,1.200,0.000,-30.000,0.659,0.000,0.379,-14.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:29.215950,5508,126.62249940,45.80076090,-25.405,-2.218,10.775,0.051,3.930,-0.379,311.910,1.200,0.000,-30.000,0.782,0.000,0.382,-14.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:29.326045,4808,126.62249870,45.80076090,-25.703,-2.709,10.775,0.090,3.876,-0.284,311.900,1.200,0.000,-30.000,0.905,0.000,0.348,-14.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:29.436136,4207,126.62249810,45.80076090,-25.887,-1.658,10.775,0.077,3.830,-0.287,311.860,1.200,0.000,-30.000,1.033,0.000,0.326,-30.445,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:29.546253,3504,126.62249740,45.80076090,-26.016,-1.173,10.775,0.055,3.775,-0.297,311.820,1.200,0.000,-30.000,1.164,0.000,0.299,-30.445,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:29.656352,2916,126.62249680,45.80076100,-26.069,-0.482,10.786,0.055,3.729,-0.301,311.760,1.200,0.000,-30.000,1.299,0.000,0.302,-30.445,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:29.766484,2215,126.62249610,45.80076100,-26.135,-0.600,10.786,0.060,3.674,-0.299,311.670,1.200,0.000,-30.000,1.434,0.000,0.304,-30.445,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:29.876697,1724,126.62249560,45.80076110,-26.175,-0.364,10.797,-0.002,3.636,-0.324,311.560,1.200,0.000,-30.000,1.568,0.000,0.312,-30.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:29.986652,1223,126.62249510,45.80076110,-26.286,-1.009,10.797,0.008,3.597,-0.317,311.420,1.200,0.000,-30.000,1.701,0.000,0.315,-30.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:30.096770,720,126.62249460,45.80076120,-26.488,-1.836,10.808,0.074,3.558,-0.341,311.150,1.200,0.000,-30.000,1.834,0.000,0.330,-30.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:30.216888,248,126.62249410,45.80076130,-26.846,-2.983,10.819,0.069,3.519,-0.362,310.960,1.200,0.000,-30.000,1.965,0.000,0.345,-30.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:30.326990,9656,126.62249350,45.80076140,-27.287,-4.009,10.830,0.113,3.473,-0.351,310.720,1.200,0.000,-30.000,2.093,0.000,0.362,-30.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:30.437095,9153,126.62249300,45.80076140,-27.651,-3.279,10.830,0.048,3.434,-0.345,310.450,1.200,0.000,-29.997,2.219,0.000,0.362,-30.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:30.547217,8650,126.62249250,45.80076140,-27.801,-1.364,10.830,0.096,3.395,-0.295,310.110,1.200,0.000,-29.976,2.344,0.000,0.342,-30.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:30.657323,8146,126.62249200,45.80076130,-27.843,-0.382,10.819,0.083,3.357,-0.279,309.760,1.200,0.000,-30.000,2.473,0.000,0.317,-30.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:30.767421,7742,126.62249160,45.80076130,-27.905,-0.564,10.819,0.106,3.326,-0.282,309.360,1.200,0.000,-30.000,2.605,0.000,0.301,-30.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:30.877513,7258,126.62249110,45.80076140,-28.198,-2.664,10.830,0.169,3.287,-0.373,308.910,1.200,0.000,-30.000,2.740,0.000,0.334,-30.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:30.987624,6773,126.62249060,45.80076160,-28.711,-4.664,10.853,0.172,3.248,-0.373,308.440,1.200,0.000,-30.000,2.870,0.000,0.374,-30.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:31.097747,6210,126.62249000,45.80076190,-29.481,-7.000,10.886,0.268,3.202,-0.355,307.870,1.200,0.000,-30.000,2.994,0.000,0.422,-30.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:31.207935,5819,126.62248960,45.80076200,-30.258,-7.064,10.897,0.244,3.171,-0.341,306.780,1.200,0.000,-30.000,3.111,0.000,0.425,-30.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:31.317933,5341,126.62248910,45.80076220,-31.224,-8.782,10.919,0.286,3.132,-0.425,305.970,1.200,0.000,-30.000,3.227,0.000,0.459,-30.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:31.428056,4853,126.62248860,45.80076240,-32.123,-8.173,10.942,0.249,3.093,-0.449,305.190,1.200,0.000,-30.000,3.338,0.000,0.482,-30.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:31.538144,4267,126.62248800,45.80076250,-33.184,-9.559,10.953,0.343,3.047,-0.447,304.280,1.200,0.000,-30.000,3.446,0.000,0.530,-30.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:31.648255,3777,126.62248750,45.80076260,-34.183,-9.082,10.964,0.322,3.008,-0.443,303.290,1.200,0.000,-29.958,3.547,0.000,0.542,-30.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:31.758356,3186,126.62248690,45.80076270,-35.092,-8.264,10.975,0.310,2.961,-0.428,302.130,1.200,0.000,-29.966,3.645,0.000,0.547,-30.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:31.868489,2732,126.62248640,45.80076310,-36.275,-10.755,11.019,0.403,2.923,-0.335,-28.720,1.200,0.000,-30.000,3.743,0.000,0.533,-28.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:31.978659,2200,126.62248580,45.80076380,-34.140,19.411,11.097,0.521,2.876,-0.462,-28.530,1.200,0.000,-3.944,3.843,0.000,0.583,-28.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:32.088755,1661,126.62248520,45.80076440,-35.076,-8.511,11.164,0.562,2.829,-0.499,-28.340,1.200,0.000,3.036,3.936,0.000,0.657,-28.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:35:32.198782,1222,126.62248470,45.80076500,-35.881,-7.316,11.231,0.541,2.791,-0.454,-28.100,1.200,0.000,4.103,4.017,0.000,0.718,-28.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
