时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 15:42:35.021108,3836,126.62315370,45.80080130,-25.643,0.318,15.267,-0.055,54.652,-0.238,0.000,0.000,0.000,0.000,0.000,0.000,0.218,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:35.133980,3436,126.62315330,45.80080130,-25.755,-0.930,15.267,-0.055,54.621,-0.231,0.000,0.000,0.000,0.000,0.000,0.000,0.229,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:35.244079,3126,126.62315300,45.80080120,-25.871,-1.058,15.256,-0.071,54.598,-0.229,0.000,0.000,0.000,0.000,0.000,0.000,0.240,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:35.354188,2826,126.62315270,45.80080120,-25.971,-0.897,15.256,-0.063,54.574,-0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.237,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:35.464286,2526,126.62315240,45.80080120,-26.144,-1.571,15.256,-0.026,54.551,-0.237,0.000,0.000,0.000,0.000,0.000,0.000,0.237,-2.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:35.574402,2236,126.62315210,45.80080130,-26.336,-1.745,15.267,-0.036,54.528,-0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.242,-2.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:35.684586,1936,126.62315180,45.80080130,-26.473,-1.244,15.267,-0.052,54.505,-0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.240,-2.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:35.794603,1536,126.62315140,45.80080130,-26.602,-1.173,15.267,-0.051,54.474,-0.208,0.000,0.000,0.000,0.000,0.000,0.000,0.232,-2.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:35.904695,1236,126.62315110,45.80080130,-26.705,-0.944,15.267,-0.054,54.450,-0.229,0.000,0.000,0.000,0.000,0.000,0.000,0.226,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:36.014821,926,126.62315080,45.80080120,-26.811,-0.960,15.256,-0.071,54.427,-0.214,0.000,0.000,0.000,0.000,0.000,0.000,0.225,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:36.124915,626,126.62315050,45.80080120,-26.888,-0.698,15.256,-0.083,54.404,-0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.234,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:36.235018,316,126.62315020,45.80080110,-26.977,-0.813,15.245,-0.088,54.380,-0.244,0.000,0.000,0.000,0.000,0.000,0.000,0.242,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:36.345123,9916,126.62314980,45.80080110,-27.085,-0.968,15.245,-0.074,54.349,-0.212,0.000,0.000,0.000,0.000,0.000,0.000,0.242,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:36.455218,9716,126.62314960,45.80080110,-27.237,-1.385,15.245,-0.044,54.334,-0.248,0.000,0.000,0.000,0.000,0.000,0.000,0.245,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:36.565336,9416,126.62314930,45.80080110,-27.362,-1.140,15.245,-0.052,54.311,-0.237,0.000,0.000,0.000,0.000,0.000,0.000,0.240,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:36.675440,9116,126.62314900,45.80080110,-27.457,-0.856,15.245,-0.047,54.287,-0.221,0.000,0.000,0.000,0.000,0.000,0.000,0.240,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:36.785560,8906,126.62314880,45.80080100,-27.498,-0.376,15.234,-0.066,54.272,-0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.233,-2.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:42:36.895650,8606,126.62314850,45.80080100,-27.532,-0.305,15.234,-0.063,54.249,-0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.238,-3.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
