时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 15:49:56.025336,4289,126.62289130,45.80082990,-14.648,-1.642,18.447,0.010,34.310,-0.353,0.000,0.000,0.000,0.000,0.000,0.000,0.335,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:49:56.138312,3889,126.62289090,45.80082980,-14.723,-0.141,18.436,-0.006,34.279,-0.364,0.000,0.000,0.000,0.000,0.000,0.000,0.355,-2.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:49:56.248393,2989,126.62289000,45.80082980,-14.757,-0.305,18.436,-0.017,34.210,-0.270,0.000,0.000,0.000,0.000,0.000,0.000,0.329,-2.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:49:56.358506,2576,126.62288960,45.80082970,-14.768,-0.098,18.425,-0.017,34.179,-0.237,0.000,0.000,0.000,0.000,0.000,0.000,0.291,-2.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:49:56.468612,2176,126.62288920,45.80082970,-14.759,0.076,18.425,-0.020,34.148,-0.327,0.000,0.000,0.000,0.000,0.000,0.000,0.279,-2.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:49:56.578714,1776,126.62288880,45.80082970,-14.743,0.153,18.425,-0.023,34.117,-0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.300,-2.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:49:56.688825,1369,126.62288840,45.80082960,-14.781,-0.349,18.414,-0.097,34.086,-0.372,0.000,0.000,0.000,0.000,0.000,0.000,0.349,-2.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:49:56.798908,869,126.62288790,45.80082960,-14.921,-1.271,18.414,0.015,34.047,-0.348,0.000,0.000,0.000,0.000,0.000,0.000,0.356,-2.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:49:56.909032,159,126.62288720,45.80082950,-15.202,-2.558,18.403,0.018,33.993,-0.367,0.000,0.000,0.000,0.000,0.000,0.000,0.367,-2.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:49:57.019139,9559,126.62288660,45.80082950,-15.477,-2.476,18.403,0.064,33.946,-0.308,0.000,0.000,0.000,0.000,0.000,0.000,0.343,-2.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:49:57.129239,9049,126.62288610,45.80082940,-15.680,-1.844,18.392,0.057,33.907,-0.254,0.000,0.000,0.000,0.000,0.000,0.000,0.314,-2.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
