时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 15:59:50.061040,1436,126.62301400,45.80107430,18.910,-4.381,45.623,-0.061,43.822,-0.245,0.000,0.000,0.000,0.000,0.000,0.000,0.227,-3.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:59:50.171117,1336,126.62301390,45.80107430,18.491,-3.773,45.623,-0.066,43.814,-0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.211,-3.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:59:50.281224,1123,126.62301370,45.80107420,17.962,-4.816,45.612,-0.054,43.799,-0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.186,-3.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:59:50.391322,923,126.62301350,45.80107420,17.460,-4.560,45.612,-0.081,43.783,-0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.152,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:59:50.501436,613,126.62301320,45.80107410,16.870,-5.362,45.601,-0.094,43.760,-0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.158,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:59:50.611535,413,126.62301300,45.80107410,16.384,-4.424,45.601,-0.079,43.745,-0.163,0.000,0.000,0.000,0.000,0.000,0.000,0.166,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:59:50.721636,203,126.62301280,45.80107400,15.901,-4.385,45.590,-0.105,43.729,-0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.184,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:59:50.831740,9896,126.62301250,45.80107390,15.545,-3.235,45.579,-0.117,43.706,-0.197,0.000,0.000,0.000,0.000,0.000,0.000,0.205,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:59:50.941832,9686,126.62301230,45.80107380,15.179,-3.327,45.568,-0.108,43.690,-0.193,0.000,0.000,0.000,0.000,0.000,0.000,0.218,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 15:59:51.051962,9486,126.62301210,45.80107380,14.788,-3.556,45.568,-0.092,43.675,-0.221,0.000,0.000,0.000,0.000,0.000,0.000,0.230,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
