时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 16:06:53.020610,8562,126.62292840,45.80110150,-11.543,0.069,48.648,0.328,37.186,-0.209,0.000,0.000,0.000,0.000,0.000,0.000,0.430,-1.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:06:53.130698,7432,126.62292720,45.80110230,-11.456,0.791,48.737,0.330,37.093,-0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.412,-1.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:06:53.240791,6589,126.62292630,45.80110290,-11.434,0.207,48.803,0.295,37.024,-0.219,0.000,0.000,0.000,0.000,0.000,0.000,0.386,-1.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:06:53.350916,5669,126.62292530,45.80110360,-11.502,-0.622,48.881,0.298,36.946,-0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.382,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:06:53.461008,4919,126.62292450,45.80110410,-11.627,-1.135,48.937,0.319,36.884,-0.229,0.000,0.000,0.000,0.000,0.000,0.000,0.380,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:06:53.571115,4089,126.62292360,45.80110480,-11.773,-1.314,49.015,0.333,36.814,-0.245,0.000,0.000,0.000,0.000,0.000,0.000,0.395,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:06:53.681215,3342,126.62292280,45.80110530,-11.779,-0.055,49.070,0.328,36.752,-0.270,0.000,0.000,0.000,0.000,0.000,0.000,0.410,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:06:53.791321,2692,126.62292210,45.80110580,-11.794,-0.142,49.126,0.270,36.698,-0.242,0.000,0.000,0.000,0.000,0.000,0.000,0.400,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:06:53.901424,2119,126.62292150,45.80110610,-11.753,0.376,49.159,0.239,36.652,-0.267,0.000,0.000,0.000,0.000,0.000,0.000,0.382,-0.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:06:54.011539,1459,126.62292080,45.80110650,-11.699,0.491,49.204,0.266,36.597,-0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.347,-0.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
