时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 16:18:55.077784,1116,126.62245240,45.80088710,91.844,0.000,24.808,-0.090,0.287,-0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.266,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:55.187255,906,126.62245220,45.80088700,91.798,-0.213,24.796,-0.116,0.271,-0.192,0.000,0.000,0.000,0.000,0.000,0.000,0.245,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:55.297294,696,126.62245200,45.80088690,91.670,-0.529,24.785,-0.079,0.256,-0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.219,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:55.407387,583,126.62245190,45.80088680,91.541,-0.918,24.774,-0.085,0.248,-0.156,0.000,0.000,0.000,0.000,0.000,0.000,0.190,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:55.517486,376,126.62245170,45.80088670,91.437,-1.093,24.763,-0.155,0.233,-0.276,0.000,0.000,0.000,0.000,0.000,0.000,0.221,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:55.627595,166,126.62245150,45.80088660,91.398,-0.824,24.752,-0.157,0.217,-0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.279,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:55.737691,9856,126.62245120,45.80088650,91.386,-0.471,24.741,-0.101,0.194,-0.173,0.000,0.000,0.000,0.000,0.000,0.000,0.286,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:55.847902,9646,126.62245100,45.80088640,91.355,-0.249,24.730,-0.085,0.178,-0.153,0.000,0.000,0.000,0.000,0.000,0.000,0.239,-3.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:55.957903,9333,126.62245070,45.80088630,91.255,-0.433,24.719,-0.077,0.155,-0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.175,-3.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:56.068006,9123,126.62245050,45.80088620,91.121,-0.804,24.708,-0.073,0.140,-0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.159,-3.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:56.178121,8826,126.62245020,45.80088620,91.283,-0.221,24.708,-0.150,0.116,-0.258,0.000,0.000,0.000,0.000,0.000,0.000,0.200,-3.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:56.288213,8506,126.62244990,45.80088600,91.223,-0.101,24.685,-0.109,0.093,-0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.220,-3.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:56.398326,8196,126.62244960,45.80088590,91.176,0.163,24.674,-0.117,0.070,-0.183,0.000,0.000,0.000,0.000,0.000,0.000,0.241,-3.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:56.508482,7873,126.62244930,45.80088570,91.115,-0.511,24.652,-0.081,0.047,-0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.186,-3.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:56.618551,7663,126.62244910,45.80088560,91.052,-0.520,24.641,-0.059,0.031,-0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.153,-3.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:56.728651,7353,126.62244880,45.80088550,90.965,-0.640,24.630,-0.127,0.008,-0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.166,-3.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:56.838745,7143,126.62244860,45.80088540,90.875,-0.725,24.619,-0.094,-0.008,-0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.186,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:56.948868,6836,126.62244830,45.80088530,90.769,-0.858,24.607,-0.118,-0.031,-0.194,0.000,0.000,0.000,0.000,0.000,0.000,0.225,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:57.059043,6516,126.62244800,45.80088510,90.688,-0.840,24.585,-0.126,-0.054,-0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.221,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:57.169071,6106,126.62244760,45.80088500,90.629,-0.745,24.574,-0.117,-0.085,-0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.219,-3.222,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:57.279162,6096,126.62244760,45.80088490,90.616,-0.463,24.563,-0.122,-0.085,-0.199,0.000,0.000,0.000,0.000,0.000,0.000,0.221,-3.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:57.389283,5986,126.62244750,45.80088480,90.613,-0.227,24.552,-0.116,-0.093,-0.199,0.000,0.000,0.000,0.000,0.000,0.000,0.216,-3.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:57.509394,5886,126.62244740,45.80088480,90.571,-0.167,24.552,-0.099,-0.101,-0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.219,-3.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:57.629617,5776,126.62244730,45.80088470,90.428,-0.521,24.541,-0.118,-0.109,-0.187,0.000,0.000,0.000,0.000,0.000,0.000,0.215,-3.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:57.749619,5556,126.62244710,45.80088450,90.271,-0.948,24.518,-0.097,-0.124,-0.178,0.000,0.000,0.000,0.000,0.000,0.000,0.206,-3.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:18:57.869744,5346,126.62244690,45.80088440,90.163,-1.132,24.507,-0.153,-0.140,-0.196,0.000,0.000,0.000,0.000,0.000,0.000,0.224,-3.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
