时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 16:22:29.086174,3476,126.62277120,45.80112270,60.082,0.000,51.005,-0.055,25.000,-0.265,0.000,0.000,0.000,0.000,0.000,0.000,0.271,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:29.195612,3176,126.62277090,45.80112270,60.337,1.159,51.005,-0.056,24.977,-0.266,0.000,0.000,0.000,0.000,0.000,0.000,0.271,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:29.305688,2866,126.62277060,45.80112260,60.560,1.451,50.994,-0.055,24.954,-0.259,0.000,0.000,0.000,0.000,0.000,0.000,0.269,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:29.415820,2466,126.62277020,45.80112260,60.830,2.269,50.994,-0.057,24.923,-0.249,0.000,0.000,0.000,0.000,0.000,0.000,0.264,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:29.525902,2056,126.62276980,45.80112250,61.097,2.305,50.983,-0.058,24.892,-0.267,0.000,0.000,0.000,0.000,0.000,0.000,0.264,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:29.636023,1656,126.62276940,45.80112250,61.435,2.651,50.983,-0.020,24.861,-0.258,0.000,0.000,0.000,0.000,0.000,0.000,0.262,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:29.746126,1256,126.62276900,45.80112250,61.734,2.730,50.983,-0.020,24.830,-0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.267,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:29.856236,736,126.62276850,45.80112240,62.055,2.894,50.972,-0.027,24.791,-0.276,0.000,0.000,0.000,0.000,0.000,0.000,0.268,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:29.966370,436,126.62276820,45.80112240,62.305,2.626,50.972,0.020,24.768,-0.231,0.000,0.000,0.000,0.000,0.000,0.000,0.259,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:30.076440,136,126.62276790,45.80112240,62.568,2.527,50.972,-0.038,24.744,-0.258,0.000,0.000,0.000,0.000,0.000,0.000,0.257,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:30.186550,9936,126.62276770,45.80112240,62.816,2.305,50.972,-0.037,24.729,-0.269,0.000,0.000,0.000,0.000,0.000,0.000,0.255,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:30.296660,9656,126.62276740,45.80112250,63.149,2.560,50.983,-0.025,24.706,-0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.250,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:30.406767,9356,126.62276710,45.80112250,63.463,2.711,50.983,-0.036,24.682,-0.213,0.000,0.000,0.000,0.000,0.000,0.000,0.235,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:30.516864,9056,126.62276680,45.80112250,63.791,2.956,50.983,0.002,24.659,-0.288,0.000,0.000,0.000,0.000,0.000,0.000,0.240,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:30.627004,8736,126.62276650,45.80112240,64.048,2.722,50.972,-0.015,24.636,-0.279,0.000,0.000,0.000,0.000,0.000,0.000,0.261,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:22:30.737117,8336,126.62276610,45.80112240,64.369,2.738,50.972,-0.008,24.605,-0.316,0.000,0.000,0.000,0.000,0.000,0.000,0.295,-0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
