时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 16:39:11.086818,8519,126.62266150,45.80077010,0.888,0.000,11.798,0.318,16.496,-0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.384,-3.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:39:11.196234,8329,126.62266130,45.80077020,0.892,0.019,11.809,0.334,16.481,-0.238,0.000,0.000,0.000,0.000,0.000,0.000,0.397,-3.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:39:11.306302,8149,126.62266110,45.80077040,0.828,-0.180,11.831,0.260,16.465,-0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.366,-3.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:39:11.416568,7869,126.62266080,45.80077060,0.619,-0.815,11.853,0.300,16.442,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.351,-3.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:39:11.526522,7589,126.62266050,45.80077080,0.388,-1.527,11.876,0.289,16.419,-0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.325,-3.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:39:11.636635,7409,126.62266030,45.80077100,0.198,-1.909,11.898,0.261,16.403,-0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.342,-3.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:39:11.746749,7209,126.62266010,45.80077100,0.105,-1.557,11.898,0.216,16.388,-0.249,0.000,0.000,0.000,0.000,0.000,0.000,0.338,-3.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:39:11.856828,6919,126.62265980,45.80077110,0.068,-0.969,11.909,0.193,16.365,-0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.302,-3.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:39:11.966931,6626,126.62265950,45.80077120,0.009,-0.573,11.920,0.212,16.341,-0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.268,-3.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:39:12.077210,6336,126.62265920,45.80077130,-0.144,-0.751,11.931,0.312,16.318,-0.246,0.000,0.000,0.000,0.000,0.000,0.000,0.291,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
