时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 16:48:29.078794,3869,126.62255480,45.80079060,128.887,0.000,14.077,-0.175,8.225,-0.330,0.000,0.000,0.000,0.000,0.000,0.000,0.374,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:48:29.188160,3239,126.62255420,45.80079030,128.687,-0.912,14.044,-0.167,8.178,-0.342,0.000,0.000,0.000,0.000,0.000,0.000,0.377,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:48:29.298250,2699,126.62255370,45.80078990,128.580,-0.930,13.999,-0.119,8.140,-0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.326,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:48:29.408485,2466,126.62255350,45.80078960,128.690,-0.598,13.966,-0.079,8.124,-0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.275,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:48:29.518469,2146,126.62255320,45.80078940,128.976,0.878,13.944,-0.040,8.101,-0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.213,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:48:29.628571,1936,126.62255300,45.80078930,129.225,1.952,13.933,-0.100,8.085,-0.267,0.000,0.000,0.000,0.000,0.000,0.000,0.233,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:48:29.738673,1716,126.62255280,45.80078910,129.400,2.151,13.910,-0.085,8.070,-0.291,0.000,0.000,0.000,0.000,0.000,0.000,0.261,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:48:29.848909,1399,126.62255250,45.80078890,129.471,1.499,13.888,-0.105,8.047,-0.315,0.000,0.000,0.000,0.000,0.000,0.000,0.307,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:48:29.958897,969,126.62255210,45.80078860,129.541,0.958,13.855,-0.111,8.016,-0.289,0.000,0.000,0.000,0.000,0.000,0.000,0.315,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:48:30.068996,539,126.62255170,45.80078830,129.622,0.675,13.822,-0.114,7.985,-0.312,0.000,0.000,0.000,0.000,0.000,0.000,0.325,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:48:30.179150,9,126.62255120,45.80078800,129.711,0.724,13.788,-0.111,7.946,-0.318,0.000,0.000,0.000,0.000,0.000,0.000,0.326,-3.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
