时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-08 16:51:51.088086,6125,126.62289150,45.80084610,-76.010,0.000,20.249,0.117,34.326,-1.566,0.000,0.000,0.000,0.000,0.000,0.000,1.570,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:51:51.197508,3595,126.62288890,45.80084680,-76.883,-3.972,20.326,0.125,34.124,-1.582,0.000,0.000,0.000,0.000,0.000,0.000,1.579,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:51:51.307607,1165,126.62288640,45.80084750,-77.769,-5.332,20.404,0.157,33.931,-1.555,0.000,0.000,0.000,0.000,0.000,0.000,1.573,-2.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:51:51.417751,9025,126.62288420,45.80084810,-78.440,-7.364,20.471,0.184,33.760,-1.565,0.000,0.000,0.000,0.000,0.000,0.000,1.575,-2.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:51:51.527823,6585,126.62288170,45.80084870,-79.044,-6.548,20.538,0.144,33.566,-1.649,0.000,0.000,0.000,0.000,0.000,0.000,1.598,-2.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:51:51.637931,4338,126.62287940,45.80084920,-79.446,-5.082,20.593,0.184,33.388,-1.728,0.000,0.000,0.000,0.000,0.000,0.000,1.656,-2.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:51:51.748046,1601,126.62287660,45.80084980,-79.902,-4.430,20.660,0.199,33.171,-1.838,0.000,0.000,0.000,0.000,0.000,0.000,1.747,-2.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:51:51.858189,9411,126.62287440,45.80085000,-80.376,-4.023,20.682,-0.014,33.000,-1.670,0.000,0.000,0.000,0.000,0.000,0.000,1.752,-1.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:51:51.968265,6811,126.62287180,45.80085000,-80.943,-4.523,20.682,-0.038,32.799,-1.741,0.000,0.000,0.000,0.000,0.000,0.000,1.753,-1.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:51:52.078459,4605,126.62286960,45.80085000,-81.413,-4.567,20.682,0.076,32.628,-1.244,0.000,0.000,0.000,0.000,0.000,0.000,1.553,-1.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:51:52.188496,2102,126.62286710,45.80085000,-81.914,-4.662,20.682,0.098,32.434,-1.258,0.000,0.000,0.000,0.000,0.000,0.000,1.417,-1.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:51:52.298567,16,126.62286500,45.80085010,-82.334,-4.214,20.693,0.029,32.272,-1.171,0.000,0.000,0.000,0.000,0.000,0.000,1.226,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:51:52.408681,7726,126.62286270,45.80085020,-82.850,-4.353,20.704,0.044,32.093,-1.234,0.000,0.000,0.000,0.000,0.000,0.000,1.223,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:51:52.518779,5526,126.62286050,45.80085020,-83.450,-4.654,20.704,-0.030,31.923,-1.230,0.000,0.000,0.000,0.000,0.000,0.000,1.212,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-08 16:51:52.628877,3136,126.62285810,45.80085030,-84.256,-5.826,20.716,-0.029,31.737,-1.293,0.000,0.000,0.000,0.000,0.000,0.000,1.253,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
