时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 12:35:49.077622,803,126.62234930,45.80091500,146.521,0.000,27.910,0.001,-7.706,-0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.144,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:49.187129,493,126.62234900,45.80091490,146.657,0.618,27.899,0.008,-7.729,-0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.122,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:49.297209,293,126.62234880,45.80091490,146.720,0.603,27.899,0.023,-7.744,-0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.101,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:49.407382,93,126.62234860,45.80091490,146.958,1.324,27.899,-0.024,-7.760,-0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.102,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:49.517376,9793,126.62234830,45.80091490,147.066,1.239,27.899,-0.086,-7.783,-0.269,0.000,0.000,0.000,0.000,0.000,0.000,0.162,-0.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:49.627544,9386,126.62234790,45.80091480,147.281,1.700,27.888,-0.086,-7.814,-0.312,0.000,0.000,0.000,0.000,0.000,0.000,0.251,-0.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:49.737607,9076,126.62234760,45.80091470,147.500,1.641,27.877,0.037,-7.837,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.257,-0.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:49.847722,8676,126.62234720,45.80091470,147.673,1.839,27.877,0.035,-7.868,-0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.207,-0.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:49.957796,8463,126.62234700,45.80091460,147.683,1.218,27.865,-0.044,-7.884,-0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.144,-1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:50.067914,8153,126.62234670,45.80091450,147.605,0.319,27.854,-0.071,-7.907,-0.208,0.000,0.000,0.000,0.000,0.000,0.000,0.163,-1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:50.178024,7953,126.62234650,45.80091450,147.608,-0.198,27.854,-0.058,-7.923,-0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.197,-1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:50.288123,7646,126.62234620,45.80091440,147.787,0.309,27.843,-0.036,-7.946,-0.254,0.000,0.000,0.000,0.000,0.000,0.000,0.237,-1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:50.398226,7446,126.62234600,45.80091440,147.998,1.185,27.843,-0.030,-7.961,-0.244,0.000,0.000,0.000,0.000,0.000,0.000,0.246,-1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:50.508343,7146,126.62234570,45.80091440,148.158,1.664,27.843,-0.031,-7.985,-0.206,0.000,0.000,0.000,0.000,0.000,0.000,0.237,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:50.618442,7036,126.62234560,45.80091430,148.216,1.301,27.832,-0.043,-7.992,-0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.216,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:50.728547,6836,126.62234540,45.80091430,148.227,0.695,27.832,-0.074,-8.008,-0.234,0.000,0.000,0.000,0.000,0.000,0.000,0.216,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:50.838650,6526,126.62234510,45.80091420,148.258,0.301,27.821,-0.074,-8.031,-0.281,0.000,0.000,0.000,0.000,0.000,0.000,0.244,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:50.948751,6226,126.62234480,45.80091420,148.329,0.343,27.821,-0.019,-8.054,-0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.234,-1.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:51.058885,5913,126.62234450,45.80091410,148.403,0.533,27.810,-0.007,-8.078,-0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.195,-1.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:51.168959,5713,126.62234430,45.80091410,148.435,0.536,27.810,-0.028,-8.093,-0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.126,-1.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:51.279158,5510,126.62234410,45.80091410,148.440,0.335,27.810,-0.026,-8.109,-0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.085,-1.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:51.389174,5410,126.62234400,45.80091410,148.392,-0.032,27.810,-0.020,-8.116,-0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.054,-1.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:51.499262,5103,126.62234370,45.80091400,148.521,0.264,27.799,-0.074,-8.140,-0.267,0.000,0.000,0.000,0.000,0.000,0.000,0.118,-0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:51.619393,4706,126.62234330,45.80091400,148.662,0.638,27.799,-0.077,-8.171,-0.309,0.000,0.000,0.000,0.000,0.000,0.000,0.211,-0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:51.739514,4196,126.62234280,45.80091390,148.719,0.942,27.788,-0.024,-8.209,-0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.241,-0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:51.859627,3673,126.62234230,45.80091380,148.587,0.182,27.776,-0.046,-8.248,-0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.183,-0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:51.979716,3273,126.62234190,45.80091370,148.438,-0.621,27.765,-0.063,-8.279,-0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.127,-1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:52.099842,2873,126.62234150,45.80091370,148.444,-0.765,27.765,-0.062,-8.310,-0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.145,-1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:52.220332,2563,126.62234120,45.80091360,148.610,0.060,27.754,-0.035,-8.333,-0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.169,-1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:52.340448,2263,126.62234090,45.80091360,148.841,1.115,27.754,-0.022,-8.357,-0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.179,-1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:52.460542,1863,126.62234050,45.80091360,149.010,1.569,27.754,-0.005,-8.388,-0.202,0.000,0.000,0.000,0.000,0.000,0.000,0.186,-0.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:52.580635,1663,126.62234030,45.80091360,148.987,1.048,27.754,-0.038,-8.403,-0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.185,-0.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:35:52.690769,1363,126.62234000,45.80091360,148.832,-0.063,27.754,-0.065,-8.426,-0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.185,-0.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
