时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 12:46:29.021991,1513,126.62256670,45.80104810,110.398,0.496,42.710,-0.070,9.147,-0.178,0.000,0.000,0.000,0.000,0.000,0.000,0.185,-0.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:46:29.138971,1306,126.62256650,45.80104800,110.524,0.433,42.699,-0.069,9.132,-0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.205,-0.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:46:29.249057,1003,126.62256620,45.80104800,110.698,0.824,42.699,-0.091,9.109,-0.141,0.000,0.000,0.000,0.000,0.000,0.000,0.187,-0.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:46:29.359168,803,126.62256600,45.80104800,110.771,0.793,42.699,-0.087,9.093,-0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.174,-0.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:46:29.469278,603,126.62256580,45.80104800,110.765,0.728,42.699,-0.093,9.078,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.168,-0.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:46:29.589387,393,126.62256560,45.80104790,110.750,0.157,42.688,-0.081,9.062,-0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.174,-0.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:46:29.709497,193,126.62256540,45.80104790,110.778,0.016,42.688,-0.076,9.047,-0.184,0.000,0.000,0.000,0.000,0.000,0.000,0.190,-0.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:46:29.829610,9883,126.62256510,45.80104780,110.863,0.273,42.677,-0.111,9.023,-0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.196,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:46:29.949733,9573,126.62256480,45.80104770,110.997,0.687,42.665,-0.105,9.000,-0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.200,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:46:30.069858,9253,126.62256450,45.80104750,111.142,1.011,42.643,-0.073,8.977,-0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.191,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:46:30.189963,8943,126.62256420,45.80104740,111.279,1.156,42.632,-0.060,8.954,-0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.183,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:46:30.310061,8733,126.62256400,45.80104730,111.358,1.004,42.621,-0.062,8.938,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.175,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:46:30.430194,8423,126.62256370,45.80104720,111.351,0.582,42.610,-0.139,8.915,-0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.195,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:46:30.550383,8116,126.62256340,45.80104710,111.321,0.116,42.599,-0.135,8.892,-0.194,0.000,0.000,0.000,0.000,0.000,0.000,0.214,-0.556,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
