时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 12:49:50.082936,6083,126.62311060,45.80085480,122.158,0.000,21.216,-0.045,51.311,-0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.176,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:49:50.192425,5773,126.62311030,45.80085470,121.939,-0.996,21.205,-0.153,51.287,-0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.192,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:49:50.302390,5553,126.62311010,45.80085450,121.710,-1.360,21.183,-0.162,51.272,-0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.199,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:49:50.412533,5346,126.62310990,45.80085440,121.594,-1.709,21.172,-0.108,51.256,-0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.209,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:49:50.522592,5036,126.62310960,45.80085430,121.687,-0.764,21.160,-0.078,51.233,-0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.213,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:49:50.632746,4723,126.62310930,45.80085420,121.922,0.642,21.149,-0.036,51.210,-0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.190,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:49:50.742789,4423,126.62310900,45.80085420,122.097,1.522,21.149,-0.033,51.187,-0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.165,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:49:50.852923,4113,126.62310870,45.80085410,122.099,1.248,21.138,-0.074,51.163,-0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.138,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:49:50.963013,3903,126.62310850,45.80085400,121.917,-0.015,21.127,-0.087,51.148,-0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.134,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:49:51.073113,3693,126.62310830,45.80085390,121.770,-0.987,21.116,-0.093,51.132,-0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.137,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:49:51.183232,3483,126.62310810,45.80085380,121.662,-1.320,21.105,-0.166,51.117,-0.194,0.000,0.000,0.000,0.000,0.000,0.000,0.177,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 12:49:51.293318,3166,126.62310780,45.80085360,121.720,-0.592,21.083,-0.125,51.094,-0.188,0.000,0.000,0.000,0.000,0.000,0.000,0.208,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
