时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 13:03:46.089731,9852,126.62266360,45.80076240,-81.619,0.000,10.942,0.119,16.659,-0.420,0.000,0.000,0.000,0.000,0.000,0.000,0.437,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:46.209159,9262,126.62266300,45.80076250,-81.726,-0.446,10.953,0.119,16.613,-0.436,0.000,0.000,0.000,0.000,0.000,0.000,0.444,0.555,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:46.319285,8562,126.62266230,45.80076250,-81.742,-0.346,10.953,0.103,16.558,-0.449,0.000,0.000,0.000,0.000,0.000,0.000,0.450,0.555,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:46.439402,7972,126.62266170,45.80076260,-81.755,-0.382,10.964,0.103,16.512,-0.464,0.000,0.000,0.000,0.000,0.000,0.000,0.463,0.555,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:46.559516,7282,126.62266100,45.80076270,-81.850,-0.348,10.975,0.063,16.458,-0.419,0.000,0.000,0.000,0.000,0.000,0.000,0.453,0.555,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:46.679626,6482,126.62266020,45.80076270,-82.114,-1.033,10.975,0.049,16.396,-0.416,0.000,0.000,0.000,0.000,0.000,0.000,0.439,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:46.799753,5892,126.62265960,45.80076280,-82.365,-1.694,10.986,0.048,16.349,-0.411,0.000,0.000,0.000,0.000,0.000,0.000,0.419,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:46.919875,5192,126.62265890,45.80076280,-82.512,-1.839,10.986,0.113,16.295,-0.453,0.000,0.000,0.000,0.000,0.000,0.000,0.433,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:47.039962,4502,126.62265820,45.80076290,-82.535,-1.169,10.997,0.113,16.241,-0.453,0.000,0.000,0.000,0.000,0.000,0.000,0.449,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:47.160089,3902,126.62265760,45.80076290,-82.595,-0.639,10.997,0.104,16.194,-0.462,0.000,0.000,0.000,0.000,0.000,0.000,0.469,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:47.280257,3212,126.62265690,45.80076300,-82.645,-0.368,11.008,0.059,16.140,-0.378,0.000,0.000,0.000,0.000,0.000,0.000,0.441,0.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:47.400316,2712,126.62265640,45.80076300,-82.761,-0.627,11.008,0.057,16.101,-0.387,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:47.510428,2109,126.62265580,45.80076300,-82.906,-0.899,11.008,0.095,16.054,-0.393,0.000,0.000,0.000,0.000,0.000,0.000,0.393,0.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:47.620526,1609,126.62265530,45.80076300,-83.033,-1.146,11.008,0.083,16.016,-0.382,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:47.730628,1109,126.62265480,45.80076300,-83.124,-1.100,11.008,0.096,15.977,-0.378,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.944,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:47.840737,609,126.62265430,45.80076300,-83.200,-0.891,11.008,0.095,15.938,-0.374,0.000,0.000,0.000,0.000,0.000,0.000,0.389,0.944,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:47.950841,119,126.62265380,45.80076310,-83.206,-0.524,11.019,0.052,15.899,-0.418,0.000,0.000,0.000,0.000,0.000,0.000,0.399,0.944,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:48.060943,9622,126.62265330,45.80076310,-83.173,-0.148,11.019,0.051,15.861,-0.433,0.000,0.000,0.000,0.000,0.000,0.000,0.414,0.944,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:48.171052,9122,126.62265280,45.80076310,-83.169,0.094,11.019,0.045,15.822,-0.447,-90.000,0.700,0.000,0.000,0.000,0.000,0.435,0.944,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:03:48.281138,8522,126.62265220,45.80076310,-83.240,-0.101,11.019,0.013,15.775,-0.375,-90.000,0.700,0.000,-30.000,0.045,-0.000,0.420,0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
