时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 13:06:12.076074,7556,126.62274060,45.80096950,170.533,0.000,33.970,-0.140,22.628,-0.213,0.000,0.000,0.000,0.000,0.000,0.000,0.255,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:06:12.185362,7246,126.62274030,45.80096940,170.809,1.255,33.959,-0.118,22.605,-0.223,0.000,0.000,0.000,0.000,0.000,0.000,0.254,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:06:12.295458,6936,126.62274000,45.80096930,171.052,1.573,33.948,-0.121,22.582,-0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.248,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:06:12.405555,6626,126.62273970,45.80096920,171.096,1.706,33.937,-0.077,22.558,-0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.211,-1.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:06:12.515751,6516,126.62273960,45.80096910,170.933,0.376,33.926,-0.206,22.551,-0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.215,-1.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:06:12.625785,6306,126.62273940,45.80096900,170.653,-1.209,33.914,-0.215,22.535,-0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.225,-1.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:06:12.735881,6096,126.62273920,45.80096890,170.473,-1.888,33.903,-0.105,22.520,-0.156,0.000,0.000,0.000,0.000,0.000,0.000,0.240,-1.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:06:12.845987,5896,126.62273900,45.80096890,170.411,-1.582,33.903,-0.127,22.504,-0.207,0.000,0.000,0.000,0.000,0.000,0.000,0.233,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:06:12.956086,5686,126.62273880,45.80096880,170.479,-0.527,33.892,-0.108,22.489,-0.209,0.000,0.000,0.000,0.000,0.000,0.000,0.222,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:06:13.066201,5476,126.62273860,45.80096870,170.680,0.622,33.881,-0.107,22.473,-0.221,0.000,0.000,0.000,0.000,0.000,0.000,0.241,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
