时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 13:24:15.089444,3215,126.62265720,45.80086000,151.723,0.000,21.794,-0.555,16.163,0.208,0.000,0.000,0.000,0.000,0.000,0.000,0.593,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:24:15.208863,3278,126.62265730,45.80085960,151.754,0.130,21.750,-0.588,16.171,0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.601,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:24:15.318966,3418,126.62265750,45.80085910,151.781,0.169,21.694,-0.575,16.186,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.602,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:24:15.429103,3578,126.62265770,45.80085860,151.745,0.061,21.639,-0.618,16.202,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.617,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:24:15.539214,3628,126.62265780,45.80085810,151.680,-0.223,21.583,-0.635,16.209,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.632,-2.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:24:15.649274,3778,126.62265800,45.80085760,151.599,-0.551,21.527,-0.636,16.225,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.648,-2.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:24:15.769403,3828,126.62265810,45.80085710,151.573,-0.515,21.472,-0.539,16.233,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.621,-2.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:24:15.889515,3875,126.62265820,45.80085660,151.490,-0.548,21.416,-0.524,16.241,0.155,0.000,0.000,0.000,0.000,0.000,0.000,0.585,-2.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:24:16.009638,3925,126.62265830,45.80085610,151.424,-0.486,21.361,-0.550,16.248,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.554,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:24:16.129743,3975,126.62265840,45.80085560,151.422,-0.419,21.305,-0.557,16.256,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.558,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
