时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 13:30:12.083487,5403,126.62245330,45.80082100,137.587,0.000,17.458,-0.129,0.357,-0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.176,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:12.192975,5193,126.62245310,45.80082090,137.648,0.280,17.446,-0.056,0.341,-0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.146,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:12.303002,4993,126.62245290,45.80082090,137.770,0.556,17.446,-0.031,0.326,-0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.132,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:12.413067,4793,126.62245270,45.80082090,137.861,0.832,17.446,-0.021,0.310,-0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.107,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:12.523161,4593,126.62245250,45.80082090,137.796,0.450,17.446,-0.125,0.295,-0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.130,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:12.633275,4373,126.62245230,45.80082070,137.554,-0.653,17.424,-0.144,0.279,-0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.156,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:12.743383,4153,126.62245210,45.80082050,137.345,-1.562,17.402,-0.149,0.264,-0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.184,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:12.853487,3833,126.62245180,45.80082030,137.276,-1.576,17.380,-0.085,0.240,-0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.159,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:12.963698,3713,126.62245170,45.80082020,137.377,-0.536,17.369,-0.059,0.233,-0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.131,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:13.073700,3503,126.62245150,45.80082000,137.559,0.648,17.346,-0.077,0.217,-0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.117,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:13.183796,3293,126.62245130,45.80081990,137.641,1.106,17.335,-0.080,0.202,-0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.130,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:13.293902,2983,126.62245100,45.80081980,137.611,0.709,17.324,-0.143,0.178,-0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.172,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:13.403999,2776,126.62245080,45.80081970,137.503,-0.170,17.313,-0.151,0.163,-0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.200,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:13.514108,2553,126.62245060,45.80081960,137.398,-0.733,17.302,-0.081,0.147,-0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.190,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:13.624253,2453,126.62245050,45.80081950,137.339,-0.821,17.291,-0.103,0.140,-0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.165,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:13.734321,2443,126.62245050,45.80081940,137.396,-0.321,17.280,-0.092,0.140,-0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.136,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:13.844411,2333,126.62245040,45.80081930,137.520,0.370,17.269,-0.124,0.132,-0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:13.954532,2123,126.62245020,45.80081920,137.636,0.900,17.257,-0.137,0.116,-0.153,0.000,0.000,0.000,0.000,0.000,0.000,0.174,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:14.064636,2003,126.62245010,45.80081900,137.646,0.758,17.235,-0.127,0.109,-0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.185,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:14.174737,1793,126.62244990,45.80081890,137.556,0.109,17.224,-0.113,0.093,-0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.177,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:14.284848,1683,126.62244980,45.80081880,137.460,-0.533,17.213,-0.109,0.085,-0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.152,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:14.394942,1573,126.62244970,45.80081870,137.431,-0.652,17.202,-0.100,0.078,-0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.136,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:14.505044,1463,126.62244960,45.80081860,137.453,-0.312,17.191,-0.102,0.070,-0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.130,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:14.615170,1243,126.62244940,45.80081840,137.492,0.096,17.168,-0.099,0.054,-0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.136,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:14.725269,1023,126.62244920,45.80081820,137.519,0.266,17.146,-0.101,0.039,-0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.148,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:14.835349,813,126.62244900,45.80081810,137.510,0.172,17.135,-0.099,0.023,-0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.147,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:14.945482,593,126.62244880,45.80081790,137.466,-0.079,17.113,-0.082,0.008,-0.085,0.000,0.000,0.000,0.000,0.000,0.000,0.137,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:15.055579,383,126.62244860,45.80081780,137.429,-0.273,17.102,-0.100,-0.008,-0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.135,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:15.175709,173,126.62244840,45.80081770,137.410,-0.298,17.091,-0.107,-0.023,-0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.145,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:15.285801,9963,126.62244820,45.80081760,137.416,-0.147,17.080,-0.139,-0.039,-0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.163,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:15.395892,9743,126.62244800,45.80081740,137.424,-0.010,17.057,-0.137,-0.054,-0.106,0.000,0.000,0.000,0.000,0.000,0.000,0.170,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:15.505992,9533,126.62244780,45.80081730,137.579,0.512,17.046,-0.122,-0.070,-0.104,90.000,1.300,0.000,0.000,0.000,0.000,0.169,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:15.616120,9433,126.62244770,45.80081730,137.526,0.335,17.046,-0.081,-0.078,-0.085,90.000,1.300,0.000,-30.000,0.194,-0.000,0.150,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:15.726201,9423,126.62244770,45.80081720,137.470,0.141,17.035,-0.071,-0.078,-0.084,90.000,1.300,0.000,-30.000,0.391,-0.001,0.129,-0.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:30:15.836301,9323,126.62244760,45.80081720,137.392,-0.565,17.035,-0.111,-0.085,-0.107,90.000,1.300,0.000,-30.000,0.592,-0.002,0.127,-16.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.999,-0.000
2025-07-09 13:30:15.946417,9313,126.62244760,45.80081710,137.350,-0.533,17.024,-0.109,-0.085,-0.130,90.000,1.300,0.000,-30.000,0.793,-0.002,0.145,-16.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-09 13:30:16.056529,9203,126.62244750,45.80081700,137.342,-0.388,17.013,-0.141,-0.093,-0.128,90.000,1.300,0.000,-30.000,0.991,-0.003,0.171,-16.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.998,-0.001
2025-07-09 13:30:16.166631,9093,126.62244740,45.80081690,137.257,-0.409,17.002,-0.143,-0.101,-0.129,90.000,1.300,0.000,-30.000,1.184,-0.003,0.184,-16.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-09 13:30:16.276741,8883,126.62244720,45.80081680,137.105,-0.742,16.991,-0.112,-0.116,-0.080,90.000,1.300,0.000,-30.000,1.375,-0.004,0.174,-16.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-09 13:30:16.386837,8873,126.62244720,45.80081670,136.972,-1.121,16.979,-0.103,-0.116,-0.070,90.000,1.300,0.000,-30.000,1.568,-0.004,0.152,-29.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.997,-0.002
