时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 13:41:24.086617,8266,126.62241660,45.80081660,0.982,0.000,16.968,1.215,-2.488,-0.156,0.000,0.000,0.000,0.000,0.000,0.000,1.225,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:41:24.196067,8006,126.62241620,45.80081800,1.405,1.940,17.124,1.221,-2.519,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,1.228,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:41:24.306163,7826,126.62241590,45.80081920,1.829,2.567,17.257,1.231,-2.543,-0.206,0.000,0.000,0.000,0.000,0.000,0.000,1.235,5.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:41:24.416354,7476,126.62241540,45.80082070,2.333,4.094,17.424,1.268,-2.581,-0.239,0.000,0.000,0.000,0.000,0.000,0.000,1.257,5.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:41:24.526437,7126,126.62241490,45.80082220,2.981,4.764,17.591,1.249,-2.620,-0.208,0.000,0.000,0.000,0.000,0.000,0.000,1.268,5.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:41:24.636534,7196,126.62241480,45.80082390,3.350,4.609,17.780,1.164,-2.628,-0.133,0.000,0.000,0.000,0.000,0.000,0.000,1.243,5.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:41:24.746735,7146,126.62241450,45.80082640,3.733,4.242,18.058,1.220,-2.651,-0.137,0.000,0.000,0.000,0.000,0.000,0.000,1.222,5.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:41:24.856688,7243,126.62241440,45.80082840,4.105,3.406,18.280,0.930,-2.659,-0.095,0.000,0.000,0.000,0.000,0.000,0.000,1.111,-0.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:41:24.966856,7160,126.62241410,45.80083060,4.585,3.742,18.525,0.931,-2.682,-0.122,0.000,0.000,0.000,0.000,0.000,0.000,1.034,-0.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:41:25.076918,7167,126.62241390,45.80083240,4.962,3.724,18.725,0.996,-2.698,-0.178,0.000,0.000,0.000,0.000,0.000,0.000,0.962,-0.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
