时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 13:46:52.083453,803,126.62248130,45.80089500,149.513,0.000,25.686,-0.109,2.527,-0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:52.192805,593,126.62248110,45.80089490,149.358,-0.711,25.675,-0.105,2.512,-0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.166,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:52.303006,373,126.62248090,45.80089470,149.228,-0.868,25.653,-0.100,2.496,-0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.179,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:52.413046,163,126.62248070,45.80089460,149.163,-1.065,25.642,-0.099,2.481,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.186,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:52.523155,9953,126.62248050,45.80089450,149.110,-0.750,25.630,-0.097,2.465,-0.163,0.000,0.000,0.000,0.000,0.000,0.000,0.194,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:52.633255,9743,126.62248030,45.80089440,149.027,-0.608,25.619,-0.115,2.450,-0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.187,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:52.743345,9433,126.62248000,45.80089430,148.918,-0.741,25.608,-0.113,2.426,-0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.189,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:52.853570,9223,126.62247980,45.80089420,148.875,-0.712,25.597,-0.107,2.411,-0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.194,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:52.963568,8903,126.62247950,45.80089400,148.876,-0.458,25.575,-0.106,2.388,-0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.194,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:53.073681,8693,126.62247930,45.80089390,148.805,-0.342,25.564,-0.099,2.372,-0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.179,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:53.183826,8483,126.62247910,45.80089380,148.594,-0.852,25.553,-0.096,2.357,-0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.153,-0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:53.293917,8363,126.62247900,45.80089360,148.386,-1.485,25.530,-0.120,2.349,-0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.149,-0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:53.403985,8153,126.62247880,45.80089350,148.261,-1.648,25.519,-0.108,2.333,-0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.161,-0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:53.514150,7943,126.62247860,45.80089340,148.251,-1.039,25.508,-0.111,2.318,-0.214,0.000,0.000,0.000,0.000,0.000,0.000,0.199,-0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:53.624317,7633,126.62247830,45.80089330,148.239,-0.445,25.497,-0.082,2.295,-0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.190,-0.611,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:53.734327,7423,126.62247810,45.80089320,148.155,-0.321,25.486,-0.078,2.279,-0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.169,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:53.844396,7213,126.62247790,45.80089310,148.034,-0.658,25.475,-0.069,2.264,-0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:53.954521,7003,126.62247770,45.80089300,147.792,-1.355,25.464,-0.097,2.248,-0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.135,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:54.064625,6783,126.62247750,45.80089280,147.637,-1.570,25.441,-0.126,2.233,-0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.170,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:54.174737,6476,126.62247720,45.80089270,147.501,-1.615,25.430,-0.128,2.209,-0.202,0.000,0.000,0.000,0.000,0.000,0.000,0.214,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 13:46:54.284819,6266,126.62247700,45.80089260,147.442,-1.061,25.419,-0.108,2.194,-0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.214,-0.722,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
