时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 14:02:41.086386,859,126.62260520,45.80095650,88.490,0.000,32.525,0.047,12.132,1.308,0.000,0.000,0.000,0.000,0.000,0.000,1.309,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:41.195839,3059,126.62260740,45.80095650,89.107,2.830,32.525,0.042,12.302,1.306,0.000,0.000,0.000,0.000,0.000,0.000,1.308,5.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:41.305951,5259,126.62260960,45.80095650,89.676,3.611,32.525,0.076,12.473,1.400,0.000,0.000,0.000,0.000,0.000,0.000,1.339,5.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:41.416119,7369,126.62261170,45.80095660,90.042,3.540,32.536,0.127,12.636,1.414,0.000,0.000,0.000,0.000,0.000,0.000,1.376,5.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:41.526255,9299,126.62261360,45.80095690,90.452,3.571,32.569,0.042,12.783,1.274,0.000,0.000,0.000,0.000,0.000,0.000,1.365,5.778,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:41.636256,1419,126.62261570,45.80095710,90.802,3.506,32.591,0.076,12.946,1.363,0.000,0.000,0.000,0.000,0.000,0.000,1.353,-2.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:41.746367,3249,126.62261750,45.80095740,91.071,3.355,32.625,0.091,13.085,1.407,0.000,0.000,0.000,0.000,0.000,0.000,1.350,-2.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:41.856489,5582,126.62261980,45.80095770,91.412,3.323,32.658,0.117,13.264,1.464,0.000,0.000,0.000,0.000,0.000,0.000,1.415,-2.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:41.966652,7396,126.62262160,45.80095790,91.653,3.197,32.680,-0.004,13.403,0.947,0.000,0.000,0.000,0.000,0.000,0.000,1.275,-2.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:42.076751,9510,126.62262370,45.80095820,91.840,3.047,32.714,-0.009,13.566,0.875,0.000,0.000,0.000,0.000,0.000,0.000,1.097,-2.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:42.186764,1257,126.62262540,45.80095830,92.007,3.199,32.725,0.008,13.698,0.898,0.000,0.000,0.000,0.000,0.000,0.000,0.907,-2.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:42.296909,3384,126.62262750,45.80095860,92.237,2.842,32.758,0.006,13.861,0.921,0.000,0.000,0.000,0.000,0.000,0.000,0.898,-2.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:42.407008,5094,126.62262920,45.80095880,92.584,2.640,32.780,0.009,13.992,0.833,0.000,0.000,0.000,0.000,0.000,0.000,0.884,-2.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:42.517106,5394,126.62262950,45.80095870,92.820,2.520,32.769,0.014,14.016,0.788,0.000,0.000,0.000,0.000,0.000,0.000,0.847,-2.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:42.627199,5784,126.62262990,45.80095860,93.055,2.364,32.758,0.018,14.047,0.790,0.000,0.000,0.000,0.000,0.000,0.000,0.804,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:42.737324,6171,126.62263030,45.80095850,93.343,2.308,32.747,-0.043,14.078,0.768,0.000,0.000,0.000,0.000,0.000,0.000,0.783,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:42.847431,6661,126.62263080,45.80095840,93.589,2.287,32.736,-0.024,14.116,0.781,0.000,0.000,0.000,0.000,0.000,0.000,0.780,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:42.957533,7361,126.62263150,45.80095840,93.936,2.293,32.736,-0.005,14.171,0.726,0.000,0.000,0.000,0.000,0.000,0.000,0.759,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:43.067637,7951,126.62263210,45.80095830,94.239,2.349,32.725,-0.002,14.217,0.747,0.000,0.000,0.000,0.000,0.000,0.000,0.751,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:43.177716,8751,126.62263290,45.80095830,94.480,2.398,32.725,-0.019,14.279,0.687,0.000,0.000,0.000,0.000,0.000,0.000,0.720,-2.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:43.287855,9551,126.62263370,45.80095830,94.667,2.416,32.725,-0.006,14.341,0.695,0.000,0.000,0.000,0.000,0.000,0.000,0.710,-2.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:43.397950,348,126.62263450,45.80095830,94.945,2.460,32.725,-0.007,14.403,0.666,0.000,0.000,0.000,0.000,0.000,0.000,0.683,-2.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:43.508058,828,126.62263500,45.80095820,95.107,2.292,32.714,-0.031,14.442,0.583,0.000,0.000,0.000,0.000,0.000,0.000,0.648,-2.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:43.618246,1428,126.62263560,45.80095810,95.182,2.147,32.702,-0.018,14.489,0.590,0.000,0.000,0.000,0.000,0.000,0.000,0.613,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:43.728304,2015,126.62263620,45.80095800,95.270,2.013,32.691,-0.058,14.535,0.549,0.000,0.000,0.000,0.000,0.000,0.000,0.575,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:43.838375,2505,126.62263670,45.80095790,95.374,1.846,32.680,-0.048,14.574,0.559,0.000,0.000,0.000,0.000,0.000,0.000,0.568,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:43.948471,3095,126.62263730,45.80095780,95.487,1.725,32.669,-0.014,14.620,0.579,0.000,0.000,0.000,0.000,0.000,0.000,0.564,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:44.058571,3695,126.62263790,45.80095780,95.590,1.503,32.669,-0.001,14.667,0.577,0.000,0.000,0.000,0.000,0.000,0.000,0.572,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:44.178723,4385,126.62263860,45.80095770,95.728,1.343,32.658,-0.116,14.721,0.471,0.000,0.000,0.000,0.000,0.000,0.000,0.547,-2.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:44.288799,5065,126.62263930,45.80095760,95.872,1.254,32.647,-0.122,14.775,0.466,0.000,0.000,0.000,0.000,0.000,0.000,0.515,-2.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:44.398900,5662,126.62263990,45.80095760,95.767,0.989,32.647,-0.117,14.822,0.475,0.000,0.000,0.000,0.000,0.000,0.000,0.485,-2.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:44.509004,6162,126.62264040,45.80095750,95.809,0.774,32.636,-0.119,14.861,0.441,0.000,0.000,0.000,0.000,0.000,0.000,0.476,-2.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:44.619091,6552,126.62264080,45.80095740,95.859,0.673,32.625,-0.106,14.892,0.431,0.000,0.000,0.000,0.000,0.000,0.000,0.463,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:44.729204,7042,126.62264130,45.80095730,95.917,0.657,32.613,-0.061,14.930,0.471,0.000,0.000,0.000,0.000,0.000,0.000,0.459,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:44.849327,7432,126.62264170,45.80095720,95.973,0.624,32.602,-0.058,14.961,0.474,0.000,0.000,0.000,0.000,0.000,0.000,0.465,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:02:44.969465,8022,126.62264230,45.80095710,96.024,0.572,32.591,-0.100,15.008,0.426,0.000,0.000,0.000,0.000,0.000,0.000,0.463,-1.945,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
