时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 14:15:22.072984,22,126.62253770,45.80092310,52.199,0.000,28.811,0.446,6.899,0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.480,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:15:22.182424,242,126.62253790,45.80092330,52.551,1.600,28.833,0.292,6.915,0.181,0.000,0.000,0.000,0.000,0.000,0.000,0.412,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:15:22.292458,449,126.62253810,45.80092340,53.013,2.467,28.844,0.297,6.930,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.390,-0.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:15:22.402561,559,126.62253820,45.80092350,53.424,2.784,28.855,0.383,6.938,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.370,-0.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:15:22.512665,789,126.62253840,45.80092380,53.858,3.016,28.888,0.399,6.954,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.400,-0.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:15:22.622780,1009,126.62253860,45.80092400,54.304,3.189,28.911,0.310,6.969,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.396,-0.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:15:22.732883,1229,126.62253880,45.80092420,54.733,3.291,28.933,0.310,6.985,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.368,-0.833,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:15:22.842975,1359,126.62253890,45.80092450,55.241,3.457,28.966,0.264,6.992,0.153,0.000,0.000,0.000,0.000,0.000,0.000,0.325,-1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:15:22.953099,1579,126.62253910,45.80092470,55.654,3.486,28.989,0.272,7.008,0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.319,-1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 14:15:23.063199,1809,126.62253930,45.80092500,56.104,3.547,29.022,0.283,7.023,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.317,-1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
