时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 15:06:24.072228,2592,126.62286590,45.80096680,54.406,0.000,33.670,0.232,32.341,0.432,0.000,0.000,0.000,0.000,0.000,0.000,0.490,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:06:24.181710,2922,126.62286620,45.80096710,54.231,-0.795,33.703,0.242,32.365,0.438,0.000,0.000,0.000,0.000,0.000,0.000,0.495,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:06:24.291839,3442,126.62286670,45.80096730,54.043,-1.100,33.725,0.289,32.403,0.380,0.000,0.000,0.000,0.000,0.000,0.000,0.489,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:06:24.401918,3862,126.62286710,45.80096750,53.817,-1.339,33.748,0.302,32.434,0.367,0.000,0.000,0.000,0.000,0.000,0.000,0.484,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:06:24.512017,4292,126.62286750,45.80096780,53.633,-1.405,33.781,0.244,32.466,0.378,0.000,0.000,0.000,0.000,0.000,0.000,0.468,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:06:24.622102,4812,126.62286800,45.80096800,53.497,-1.375,33.803,0.234,32.504,0.367,0.000,0.000,0.000,0.000,0.000,0.000,0.453,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:06:24.732220,5242,126.62286840,45.80096830,53.348,-1.372,33.837,0.263,32.535,0.315,0.000,0.000,0.000,0.000,0.000,0.000,0.432,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:06:24.842329,5662,126.62286880,45.80096850,53.164,-1.410,33.859,0.257,32.566,0.309,0.000,0.000,0.000,0.000,0.000,0.000,0.416,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:06:24.952433,6082,126.62286920,45.80096870,53.025,-1.394,33.881,0.236,32.597,0.339,0.000,0.000,0.000,0.000,0.000,0.000,0.408,-0.167,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:06:25.062523,6612,126.62286970,45.80096900,52.842,-1.421,33.914,0.237,32.636,0.330,0.000,0.000,0.000,0.000,0.000,0.000,0.407,-0.333,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
