时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 15:22:26.088302,4666,126.62263510,45.80079560,163.040,0.000,14.633,-0.213,14.450,-0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.251,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:22:26.197583,4356,126.62263480,45.80079550,162.930,-0.500,14.622,-0.202,14.427,-0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.244,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:22:26.307714,4046,126.62263450,45.80079540,162.688,-1.067,14.611,-0.195,14.403,-0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.240,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:22:26.417849,3636,126.62263410,45.80079530,162.405,-1.443,14.600,-0.228,14.372,-0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.258,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:22:26.527948,3316,126.62263380,45.80079510,162.142,-1.633,14.578,-0.239,14.349,-0.212,0.000,0.000,0.000,0.000,0.000,0.000,0.286,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:22:26.638054,2896,126.62263340,45.80079490,161.887,-1.747,14.555,-0.154,14.318,-0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.279,-0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:22:26.748110,2586,126.62263310,45.80079480,161.730,-1.699,14.544,-0.151,14.295,-0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.246,0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:22:26.858368,2166,126.62263270,45.80079460,161.633,-1.597,14.522,-0.257,14.264,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:22:26.968343,1946,126.62263250,45.80079440,161.626,-1.427,14.500,-0.233,14.248,-0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.261,0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:22:27.078503,1726,126.62263230,45.80079420,161.677,-1.238,14.478,-0.183,14.233,-0.193,0.000,0.000,0.000,0.000,0.000,0.000,0.282,0.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
