时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 15:30:06.089451,2609,126.62279490,45.80087700,-31.022,0.000,23.685,-0.013,26.838,-0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.301,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:30:06.208893,2009,126.62279430,45.80087700,-30.787,0.987,23.685,-0.019,26.791,-0.306,0.000,0.000,0.000,0.000,0.000,0.000,0.304,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:30:06.319023,1406,126.62279370,45.80087700,-30.502,1.522,23.685,0.026,26.745,-0.253,0.000,0.000,0.000,0.000,0.000,0.000,0.287,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:30:06.429126,806,126.62279310,45.80087700,-30.150,1.934,23.685,0.031,26.698,-0.253,0.000,0.000,0.000,0.000,0.000,0.000,0.272,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:30:06.539180,306,126.62279260,45.80087700,-29.871,2.055,23.685,0.000,26.659,-0.288,0.000,0.000,0.000,0.000,0.000,0.000,0.266,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:30:06.649333,9806,126.62279210,45.80087700,-29.684,1.996,23.685,-0.034,26.620,-0.259,0.000,0.000,0.000,0.000,0.000,0.000,0.268,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:30:06.769430,9306,126.62279160,45.80087700,-29.656,1.744,23.685,-0.039,26.582,-0.265,0.000,0.000,0.000,0.000,0.000,0.000,0.272,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:30:06.889562,8606,126.62279090,45.80087700,-29.627,1.556,23.685,-0.046,26.527,-0.231,0.000,0.000,0.000,0.000,0.000,0.000,0.255,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:30:07.009662,8206,126.62279050,45.80087700,-29.383,1.609,23.685,0.076,26.496,-0.241,0.000,0.000,0.000,0.000,0.000,0.000,0.252,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 15:30:07.129777,7916,126.62279020,45.80087710,-28.915,1.838,23.696,-0.015,26.473,-0.294,0.000,0.000,0.000,0.000,0.000,0.000,0.261,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
