时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 16:13:06.015046,9826,126.62305820,45.80111630,147.294,0.644,50.293,-0.115,47.249,-0.184,0.000,0.000,0.000,0.000,0.000,0.000,0.204,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:13:06.128148,9626,126.62305800,45.80111620,147.388,0.555,50.282,-0.110,47.233,-0.188,0.000,0.000,0.000,0.000,0.000,0.000,0.211,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:13:06.238243,9306,126.62305770,45.80111600,147.419,0.444,50.260,-0.131,47.210,-0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.216,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:13:06.348339,9096,126.62305750,45.80111590,147.380,0.331,50.249,-0.131,47.194,-0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.216,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:13:06.458449,8886,126.62305730,45.80111580,147.335,0.282,50.238,-0.172,47.179,-0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.225,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:13:06.568555,8666,126.62305710,45.80111570,147.381,0.354,50.227,-0.166,47.163,-0.184,0.000,0.000,0.000,0.000,0.000,0.000,0.236,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:13:06.678655,8366,126.62305680,45.80111560,147.548,0.510,50.216,-0.104,47.140,-0.161,0.000,0.000,0.000,0.000,0.000,0.000,0.228,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:13:06.788833,8156,126.62305660,45.80111550,147.728,0.613,50.205,-0.090,47.125,-0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.207,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:13:06.898850,7843,126.62305630,45.80111540,147.990,0.767,50.193,-0.080,47.101,-0.153,0.000,0.000,0.000,0.000,0.000,0.000,0.182,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:13:07.008967,7636,126.62305610,45.80111530,148.016,0.681,50.182,-0.167,47.086,-0.191,180.000,1.000,0.000,0.000,0.000,0.000,0.203,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:13:07.119077,7406,126.62305590,45.80111510,147.969,0.541,50.160,-0.176,47.070,-0.199,180.000,1.000,0.000,30.000,0.137,0.000,0.231,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:13:07.229164,7196,126.62305570,45.80111490,147.931,0.494,50.138,-0.154,47.055,-0.191,180.000,1.000,0.000,30.000,0.269,0.001,0.255,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:13:07.349293,6876,126.62305540,45.80111470,147.978,0.505,50.116,-0.149,47.032,-0.199,180.000,1.000,0.000,30.000,0.396,0.001,0.253,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,-0.000
2025-07-09 16:13:07.469402,6666,126.62305520,45.80111460,148.137,0.673,50.104,-0.100,47.016,-0.143,180.000,1.000,0.000,30.000,0.524,0.001,0.223,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,-0.000
2025-07-09 16:13:07.589527,6353,126.62305490,45.80111450,148.321,0.867,50.093,-0.080,46.993,-0.144,180.000,1.000,0.000,30.000,0.657,0.002,0.196,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-09 16:13:07.709635,6133,126.62305470,45.80111430,148.456,0.938,50.071,-0.096,46.977,-0.181,180.000,1.000,0.000,30.000,0.795,0.002,0.181,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-09 16:13:07.829761,5823,126.62305440,45.80111420,148.524,0.843,50.060,-0.103,46.954,-0.186,180.000,1.000,0.000,30.000,0.936,0.003,0.194,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-09 16:13:07.949867,5616,126.62305420,45.80111410,148.592,0.736,50.049,-0.135,46.939,-0.156,180.000,1.000,0.000,30.000,1.074,0.003,0.208,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-09 16:13:08.069986,5396,126.62305400,45.80111390,148.665,0.558,50.027,-0.131,46.923,-0.156,180.000,1.000,0.000,30.000,1.209,0.003,0.208,3.444,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
