时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 16:19:00.083401,1133,126.62334450,45.80096630,106.003,0.000,33.614,-0.086,69.443,-0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.157,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:00.192737,903,126.62334430,45.80096610,105.875,-0.582,33.592,-0.094,69.427,-0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.157,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:00.302883,703,126.62334410,45.80096600,105.738,-0.804,33.581,-0.118,69.412,-0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:00.412958,583,126.62334400,45.80096580,105.636,-0.835,33.559,-0.106,69.404,-0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.146,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:00.522997,373,126.62334380,45.80096570,105.593,-0.746,33.548,-0.085,69.388,-0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.131,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:00.633109,163,126.62334360,45.80096560,105.561,-0.670,33.536,-0.120,69.373,-0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.147,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:00.743215,9943,126.62334340,45.80096550,105.512,-0.637,33.525,-0.107,69.357,-0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.170,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:00.853290,9746,126.62334320,45.80096550,105.395,-0.691,33.525,-0.139,69.342,-0.153,0.000,0.000,0.000,0.000,0.000,0.000,0.202,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:00.963421,9536,126.62334300,45.80096530,105.246,-0.765,33.503,-0.162,69.326,-0.151,0.000,0.000,0.000,0.000,0.000,0.000,0.210,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:01.073557,9326,126.62334280,45.80096520,105.068,-0.850,33.492,-0.124,69.311,-0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.201,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:01.183642,9113,126.62334260,45.80096510,104.953,-0.954,33.481,-0.114,69.295,-0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.187,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:01.293745,8783,126.62334230,45.80096490,104.908,-0.879,33.459,-0.083,69.272,-0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.176,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:01.403872,8583,126.62334210,45.80096490,104.926,-0.738,33.459,-0.055,69.257,-0.183,0.000,0.000,0.000,0.000,0.000,0.000,0.181,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:01.513948,8383,126.62334190,45.80096480,104.987,-0.589,33.447,-0.046,69.241,-0.185,0.000,0.000,0.000,0.000,0.000,0.000,0.190,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:01.624056,8173,126.62334170,45.80096470,104.908,-0.622,33.436,-0.093,69.226,-0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.187,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:01.734153,7863,126.62334140,45.80096460,104.750,-0.736,33.425,-0.142,69.202,-0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.190,-2.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:01.844245,7643,126.62334120,45.80096440,104.610,-0.819,33.403,-0.114,69.187,-0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.186,-2.667,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:01.954357,7423,126.62334100,45.80096430,104.541,-0.775,33.392,-0.103,69.171,-0.151,0.000,0.000,0.000,0.000,0.000,0.000,0.188,-2.667,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:02.064474,7113,126.62334070,45.80096410,104.481,-0.694,33.370,-0.060,69.148,-0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.162,-2.667,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:02.174582,6903,126.62334050,45.80096400,104.407,-0.599,33.358,-0.049,69.133,-0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.141,-2.667,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:02.284686,6593,126.62334020,45.80096390,104.268,-0.622,33.347,-0.116,69.109,-0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.131,-2.667,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:02.394768,6483,126.62334010,45.80096380,104.107,-0.727,33.336,-0.112,69.102,-0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.136,-2.445,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:02.504897,6263,126.62333990,45.80096370,103.922,-0.911,33.325,-0.111,69.086,-0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.144,-2.445,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:02.615000,6063,126.62333970,45.80096360,103.793,-1.084,33.314,-0.172,69.071,-0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.169,-2.445,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:02.725105,5833,126.62333950,45.80096330,103.698,-1.098,33.281,-0.145,69.055,-0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.193,-2.445,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:02.835276,5716,126.62333940,45.80096310,103.647,-1.002,33.258,-0.111,69.047,-0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.203,-2.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:02.945303,5503,126.62333920,45.80096300,103.604,-0.914,33.247,-0.100,69.032,-0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.179,-2.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:03.055408,5292,126.62333900,45.80096280,103.556,-0.895,33.225,-0.095,69.016,-0.169,227.980,1.200,0.000,0.000,0.000,0.000,0.172,-2.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:03.175549,5164,126.62333890,45.80096260,147.818,-0.884,33.203,-0.089,69.009,-0.159,228.100,1.200,0.000,30.000,0.176,0.000,0.177,-2.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:03.285660,4954,126.62333870,45.80096250,147.659,-0.961,33.192,-0.105,68.993,-0.164,228.100,1.200,0.000,29.760,0.352,0.000,0.190,-2.278,0.000,0.000,1.428,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:19:03.395760,4735,126.62333850,45.80096230,147.594,-0.894,33.169,-0.093,68.978,-0.188,228.230,1.200,0.000,30.000,0.525,0.000,0.196,12.278,0.000,0.000,0.755,-0.679,0.000,1.000,0.000,0.000,0.999,-0.000
2025-07-09 16:19:03.505844,4529,126.62333830,45.80096220,147.725,-0.628,33.158,-0.087,68.962,-0.203,228.300,1.200,0.000,30.000,0.697,0.000,0.208,12.278,0.000,0.000,0.715,-0.718,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-09 16:19:03.615951,4320,126.62333810,45.80096210,147.709,-0.475,33.147,-0.072,68.947,-0.192,228.420,1.200,0.000,30.000,0.867,0.000,0.212,12.278,0.000,0.000,0.718,-0.715,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-09 16:19:03.726049,4017,126.62333780,45.80096210,147.698,-0.368,33.147,-0.088,68.923,-0.139,228.490,1.200,0.000,30.000,1.036,0.000,0.197,12.278,0.000,0.000,0.716,-0.717,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-09 16:19:03.836163,3708,126.62333750,45.80096200,147.588,-0.381,33.136,-0.123,68.900,-0.114,228.550,1.200,0.000,30.000,1.208,0.000,0.179,29.333,0.000,0.000,0.716,-0.717,0.000,1.000,0.000,0.000,0.998,-0.001
2025-07-09 16:19:03.946250,3498,126.62333730,45.80096190,147.410,-0.497,33.125,-0.134,68.885,-0.117,228.550,1.200,0.000,30.000,1.383,0.000,0.170,29.333,0.000,0.000,0.715,-0.718,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-09 16:19:04.056379,3289,126.62333710,45.80096180,147.181,-0.666,33.114,-0.142,68.869,-0.129,228.610,1.200,0.000,30.000,1.559,0.000,0.179,29.333,0.000,0.000,0.714,-0.719,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-09 16:19:04.166553,2979,126.62333680,45.80096170,147.053,-0.738,33.103,-0.113,68.846,-0.147,228.670,1.200,0.000,30.000,1.734,0.000,0.185,29.333,0.000,0.000,0.713,-0.720,0.000,1.000,0.000,0.000,0.997,-0.002
2025-07-09 16:19:04.276596,2670,126.62333650,45.80096160,147.034,-0.712,33.092,-0.112,68.823,-0.131,228.740,1.200,0.000,30.000,1.908,0.000,0.183,29.333,0.000,0.000,0.714,-0.719,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-09 16:19:04.386710,2471,126.62333630,45.80096160,147.083,-0.523,33.092,-0.089,68.807,-0.130,228.800,1.200,0.000,30.000,2.082,0.000,0.172,29.500,0.000,0.000,0.716,-0.717,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-09 16:19:04.496793,2171,126.62333600,45.80096160,147.119,-0.431,33.092,-0.073,68.784,-0.131,228.860,1.200,0.000,30.000,2.259,0.000,0.160,29.500,0.000,0.000,0.717,-0.716,0.000,1.000,0.000,0.000,0.996,-0.003
