时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 16:35:49.086214,5603,126.62277140,45.80104200,152.685,0.000,42.032,-0.038,25.016,-0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.176,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:35:49.195661,5293,126.62277110,45.80104190,153.466,3.550,42.021,-0.048,24.993,-0.193,0.000,0.000,0.000,0.000,0.000,0.000,0.188,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:35:49.305826,4893,126.62277070,45.80104190,154.313,4.933,42.021,-0.028,24.962,-0.201,0.000,0.000,0.000,0.000,0.000,0.000,0.193,-2.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:35:49.415887,4493,126.62277030,45.80104190,155.201,5.718,42.021,-0.036,24.931,-0.187,0.000,0.000,0.000,0.000,0.000,0.000,0.197,-2.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:35:49.525932,4183,126.62277000,45.80104180,155.758,5.587,42.009,-0.063,24.907,-0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.190,-2.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:35:49.636046,4183,126.62277000,45.80104180,156.112,5.192,42.009,-0.068,24.907,-0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.185,-2.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:35:49.746183,4073,126.62276990,45.80104170,156.294,4.685,41.998,-0.088,24.900,-0.197,0.000,0.000,0.000,0.000,0.000,0.000,0.194,-2.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:35:49.856308,3976,126.62276980,45.80104170,156.486,4.317,41.998,-0.134,24.892,-0.181,0.000,0.000,0.000,0.000,0.000,0.000,0.210,-2.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:35:49.966347,3766,126.62276960,45.80104160,156.761,4.116,41.987,-0.125,24.876,-0.214,0.000,0.000,0.000,0.000,0.000,0.000,0.230,-2.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:35:50.076638,3546,126.62276940,45.80104150,157.297,4.191,41.976,-0.019,24.861,-0.163,0.000,0.000,0.000,0.000,0.000,0.000,0.212,-2.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:35:50.186650,3243,126.62276910,45.80104150,157.937,4.773,41.976,0.005,24.838,-0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.190,-2.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:35:50.296693,3043,126.62276890,45.80104150,158.720,4.775,41.976,0.013,24.822,-0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.154,-2.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:35:50.406767,2843,126.62276870,45.80104150,159.316,4.547,41.976,0.025,24.806,-0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.140,-2.278,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
