时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-09 16:39:05.082448,6638,126.62247130,45.80085320,-80.601,0.000,21.038,-0.038,1.752,-0.696,0.000,0.000,0.000,0.000,0.000,0.000,0.697,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:39:05.191898,5748,126.62247040,45.80085330,-80.278,1.482,21.049,-0.040,1.682,-0.692,0.000,0.000,0.000,0.000,0.000,0.000,0.695,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:39:05.302000,4948,126.62246960,45.80085330,-79.998,1.836,21.049,0.024,1.620,-0.662,0.000,0.000,0.000,0.000,0.000,0.000,0.684,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:39:05.412134,4248,126.62246890,45.80085330,-79.700,2.048,21.049,0.017,1.566,-0.624,0.000,0.000,0.000,0.000,0.000,0.000,0.660,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:39:05.522201,3648,126.62246830,45.80085330,-79.437,2.117,21.049,0.020,1.519,-0.629,0.000,0.000,0.000,0.000,0.000,0.000,0.639,-2.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:39:05.632344,2848,126.62246750,45.80085330,-79.110,2.260,21.049,0.052,1.457,-0.618,0.000,0.000,0.000,0.000,0.000,0.000,0.625,-2.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:39:05.742423,2158,126.62246680,45.80085340,-78.800,2.339,21.060,0.027,1.403,-0.584,0.000,0.000,0.000,0.000,0.000,0.000,0.611,-2.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:39:05.852637,1355,126.62246600,45.80085340,-78.447,2.448,21.060,0.032,1.341,-0.575,0.000,0.000,0.000,0.000,0.000,0.000,0.594,-2.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:39:05.962627,565,126.62246520,45.80085350,-78.109,2.517,21.071,0.033,1.279,-0.573,0.000,0.000,0.000,0.000,0.000,0.000,0.578,-2.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:39:06.072713,9865,126.62246450,45.80085350,-77.803,2.544,21.071,0.027,1.225,-0.560,0.000,0.000,0.000,0.000,0.000,0.000,0.570,-2.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-09 16:39:06.182838,9165,126.62246380,45.80085350,-77.366,2.941,21.071,0.017,1.171,-0.545,0.000,0.000,0.000,0.000,0.000,0.000,0.560,-2.889,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
