时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-10 13:07:41.090140,5790,126.62317940,45.80126390,76.065,0.000,66.706,0.013,56.644,-0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:41.209632,6010,126.62317960,45.80126410,76.035,-0.125,66.728,0.129,56.660,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:41.329602,6233,126.62317980,45.80126430,76.003,-0.171,66.750,0.138,56.675,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.107,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:41.450234,6463,126.62318000,45.80126460,75.973,-0.191,66.784,0.146,56.691,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.155,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:41.569954,6673,126.62318020,45.80126470,75.956,-0.181,66.795,0.124,56.706,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.149,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:41.689988,6883,126.62318040,45.80126480,75.957,-0.150,66.806,0.132,56.722,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.143,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:41.810104,7103,126.62318060,45.80126500,75.967,-0.117,66.828,0.097,56.737,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.133,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:41.930184,7313,126.62318080,45.80126510,75.966,-0.103,66.839,0.106,56.753,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.133,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:42.050313,7433,126.62318090,45.80126530,75.948,-0.108,66.862,0.134,56.760,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.138,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:42.160417,7643,126.62318110,45.80126540,75.924,-0.119,66.873,0.114,56.776,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.141,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:42.270523,7763,126.62318120,45.80126560,75.900,-0.141,66.895,0.124,56.784,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.144,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:42.380630,7873,126.62318130,45.80126570,75.879,-0.135,66.906,0.133,56.791,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.141,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:42.490739,7993,126.62318140,45.80126590,75.921,-0.071,66.928,0.106,56.799,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.135,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:42.600923,8093,126.62318150,45.80126590,75.933,-0.034,66.928,0.119,56.807,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.130,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:42.710943,8303,126.62318170,45.80126600,75.945,-0.010,66.939,0.125,56.822,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.124,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:42.821041,8403,126.62318180,45.80126600,75.948,-0.008,66.939,0.119,56.830,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.128,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:42.931158,8513,126.62318190,45.80126610,75.948,-0.016,66.950,0.114,56.838,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.130,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:43.041260,8523,126.62318190,45.80126620,75.936,-0.026,66.962,0.123,56.838,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.133,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:43.151369,8623,126.62318200,45.80126620,75.912,-0.032,66.962,0.116,56.846,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.134,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:43.261450,8743,126.62318210,45.80126640,75.891,-0.030,66.984,0.125,56.853,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.136,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:43.371575,8843,126.62318220,45.80126650,75.876,-0.022,66.995,0.131,56.861,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.136,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:43.481675,8863,126.62318220,45.80126660,75.870,-0.008,67.006,0.106,56.861,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.133,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:43.591793,9073,126.62318240,45.80126670,75.873,-0.043,67.017,0.102,56.877,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.127,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:43.701906,9183,126.62318250,45.80126680,75.880,-0.048,67.028,0.105,56.884,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.120,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:43.812010,9393,126.62318270,45.80126690,75.874,-0.065,67.039,0.126,56.900,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.126,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:43.922109,9503,126.62318280,45.80126700,75.863,-0.078,67.051,0.135,56.908,0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.135,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:44.032219,9603,126.62318290,45.80126710,75.862,-0.078,67.062,0.152,56.915,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.149,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:44.142406,9733,126.62318300,45.80126730,75.867,-0.063,67.084,0.103,56.923,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.141,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:44.252433,9843,126.62318310,45.80126740,75.873,-0.036,67.095,0.112,56.931,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.133,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:44.362532,9853,126.62318310,45.80126750,75.877,-0.013,67.106,0.118,56.931,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.122,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:44.472642,9963,126.62318320,45.80126770,75.804,-0.065,67.128,0.100,56.939,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.118,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:44.582752,83,126.62318330,45.80126780,75.790,-0.072,67.139,0.113,56.946,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.122,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:44.692946,183,126.62318340,45.80126780,75.788,-0.078,67.139,0.122,56.954,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.125,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:44.802969,293,126.62318350,45.80126790,75.793,-0.079,67.151,0.103,56.962,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.129,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:44.913054,303,126.62318350,45.80126800,75.792,-0.074,67.162,0.113,56.962,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.125,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 13:07:45.023181,423,126.62318360,45.80126820,75.794,-0.062,67.184,0.116,56.970,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.124,3.889,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
