时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-10 14:08:01.083814,785,126.62268180,45.80088970,-71.859,0.000,25.097,-0.164,18.070,-1.540,0.000,0.000,0.000,0.000,0.000,0.000,1.549,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:08:01.193143,8275,126.62267930,45.80088960,-72.199,-1.546,25.086,-0.170,17.876,-1.530,0.000,0.000,0.000,0.000,0.000,0.000,1.544,1.778,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:08:01.303266,5975,126.62267700,45.80088960,-72.499,-1.939,25.086,-0.161,17.698,-1.561,0.000,0.000,0.000,0.000,0.000,0.000,1.552,1.778,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:08:01.413419,3355,126.62267440,45.80088950,-72.851,-2.254,25.074,-0.215,17.496,-1.526,0.000,0.000,0.000,0.000,0.000,0.000,1.550,1.778,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:08:01.523490,755,126.62267180,45.80088940,-73.193,-2.425,25.063,-0.217,17.295,-1.592,0.000,0.000,0.000,0.000,0.000,0.000,1.572,1.778,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:08:01.633590,8248,126.62266930,45.80088930,-73.502,-2.489,25.052,-0.241,17.101,-1.678,0.000,0.000,0.000,0.000,0.000,0.000,1.614,1.778,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:08:01.743680,5898,126.62266700,45.80088880,-73.864,-2.604,24.997,-0.355,16.923,-1.657,0.000,0.000,0.000,0.000,0.000,0.000,1.666,1.778,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:08:01.853802,3641,126.62266480,45.80088830,-74.144,-2.596,24.941,-0.367,16.752,-1.731,0.000,0.000,0.000,0.000,0.000,0.000,1.720,1.778,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:08:01.963909,1195,126.62266240,45.80088780,-74.422,-2.589,24.885,-0.201,16.566,-1.190,0.000,0.000,0.000,0.000,0.000,0.000,1.557,1.778,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:08:02.074100,8952,126.62266020,45.80088740,-74.672,-2.555,24.841,-0.214,16.396,-1.242,0.000,0.000,0.000,0.000,0.000,0.000,1.412,1.778,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:08:02.184097,6493,126.62265780,45.80088690,-74.963,-2.820,24.785,-0.242,16.209,-1.082,0.000,0.000,0.000,0.000,0.000,0.000,1.192,2.611,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:08:02.294223,4353,126.62265570,45.80088650,-75.188,-2.715,24.741,-0.243,16.047,-1.112,0.000,0.000,0.000,0.000,0.000,0.000,1.169,2.611,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:08:02.404340,2013,126.62265340,45.80088610,-75.377,-2.614,24.696,-0.178,15.868,-1.042,0.000,0.000,0.000,0.000,0.000,0.000,1.101,2.611,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:08:02.514532,9880,126.62265130,45.80088580,-75.512,-2.417,24.663,-0.178,15.706,-1.068,0.000,0.000,0.000,0.000,0.000,0.000,1.093,2.611,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
