时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-10 14:12:21.079755,22,126.62277400,45.80086010,-118.457,0.000,21.805,-1.391,25.217,-0.485,0.000,0.000,0.000,0.000,0.000,0.000,1.473,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:21.199099,9452,126.62277360,45.80085850,-118.973,-2.152,21.627,-1.383,25.186,-0.492,0.000,0.000,0.000,0.000,0.000,0.000,1.471,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:21.309172,8805,126.62277310,45.80085690,-119.509,-3.058,21.450,-1.519,25.148,-0.405,0.000,0.000,0.000,0.000,0.000,0.000,1.504,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:21.419287,8145,126.62277260,45.80085530,-120.038,-3.496,21.272,-1.442,25.109,-0.377,0.000,0.000,0.000,0.000,0.000,0.000,1.510,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:21.539392,7375,126.62277200,45.80085360,-120.522,-3.604,21.083,-1.530,25.062,-0.393,0.000,0.000,0.000,0.000,0.000,0.000,1.547,2.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:21.659535,6705,126.62277150,45.80085190,-120.970,-3.625,20.894,-1.404,25.024,-0.308,0.000,0.000,0.000,0.000,0.000,0.000,1.503,2.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:21.779634,5935,126.62277090,45.80085020,-121.358,-3.569,20.704,-1.470,24.977,-0.322,0.000,0.000,0.000,0.000,0.000,0.000,1.507,2.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:21.899748,5142,126.62277030,45.80084830,-121.718,-3.498,20.493,-1.510,24.931,-0.331,0.000,0.000,0.000,0.000,0.000,0.000,1.496,2.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:22.019845,4359,126.62276970,45.80084650,-122.041,-3.408,20.293,-1.072,24.884,-0.194,0.000,0.000,0.000,0.000,0.000,0.000,1.380,2.278,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:22.140059,3476,126.62276900,45.80084470,-122.393,-3.361,20.093,-1.088,24.830,-0.200,0.000,0.000,0.000,0.000,0.000,0.000,1.247,2.278,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:22.260103,2810,126.62276850,45.80084310,-122.678,-3.597,19.915,-1.014,24.791,-0.209,0.000,0.000,0.000,0.000,0.000,0.000,1.077,2.278,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:22.380212,2060,126.62276790,45.80084160,-122.933,-3.379,19.748,-1.015,24.744,-0.212,0.000,0.000,0.000,0.000,0.000,0.000,1.059,2.278,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:22.500311,1420,126.62276740,45.80084020,-123.159,-3.080,19.593,-0.997,24.706,-0.212,0.000,0.000,0.000,0.000,0.000,0.000,1.031,2.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:22.610445,797,126.62276690,45.80083870,-123.368,-2.789,19.426,-0.914,24.667,-0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.995,2.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:22.720538,267,126.62276650,45.80083740,-123.588,-2.585,19.281,-0.922,24.636,-0.171,0.000,0.000,0.000,0.000,0.000,0.000,0.962,2.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:22.830638,9747,126.62276610,45.80083620,-123.792,-2.398,19.148,-0.932,24.605,-0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.938,2.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:22.940742,9327,126.62276580,45.80083500,-124.026,-2.287,19.014,-0.895,24.582,-0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.930,2.055,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:23.050863,9687,126.62276620,45.80083460,-124.267,-2.206,18.970,-0.882,24.613,-0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.915,2.055,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:23.160962,9954,126.62276650,45.80083430,-124.496,-2.145,18.936,-0.889,24.636,-0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.898,2.055,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:23.271080,304,126.62276690,45.80083380,-124.778,-2.108,18.881,-0.841,24.667,-0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.881,2.055,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:23.381177,454,126.62276710,45.80083330,-125.001,-2.073,18.825,-0.839,24.682,-0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.867,2.055,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:23.491274,594,126.62276730,45.80083270,-125.220,-2.060,18.759,-0.770,24.698,-0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.826,2.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:23.601410,741,126.62276750,45.80083220,-125.382,-2.019,18.703,-0.758,24.713,-0.095,0.000,0.000,0.000,0.000,0.000,0.000,0.797,2.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:23.711508,881,126.62276770,45.80083160,-125.544,-1.977,18.636,-0.759,24.729,-0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.769,2.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:23.821609,921,126.62276780,45.80083100,-125.679,-1.900,18.570,-0.755,24.737,-0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.764,2.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:23.931747,961,126.62276790,45.80083050,-125.692,-1.725,18.514,-0.688,24.744,-0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.741,2.222,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:24.041879,1031,126.62276800,45.80083010,-125.831,-1.639,18.469,-0.715,24.752,-0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.726,2.222,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:24.152327,1091,126.62276810,45.80082970,125.974,-1.546,18.425,-0.708,24.760,-0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.709,2.222,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:24.262388,1041,126.62276810,45.80082920,125.790,-1.505,18.369,-0.670,24.760,-0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.703,2.222,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:24.372499,1098,126.62276820,45.80082880,125.589,-1.431,18.325,-0.660,24.768,-0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.684,2.222,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:24.482576,1048,126.62276820,45.80082830,125.420,-1.384,18.269,-0.683,24.768,-0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.676,2.167,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-10 14:12:24.592693,1098,126.62276830,45.80082780,125.211,-1.375,18.214,-0.663,24.775,-0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.673,2.167,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
