时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-14 13:03:38.084666,6962,126.62286630,45.80090650,-88.880,0.000,26.965,-0.030,32.372,-1.464,0.000,0.000,0.000,0.000,0.000,0.000,1.464,1.076,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:38.194182,4562,126.62286390,45.80090650,-89.156,-1.255,26.965,-0.025,32.186,-1.501,0.000,0.000,0.000,0.000,0.000,0.000,1.483,1.076,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:38.304284,2465,126.62286180,45.80090650,-89.436,-1.685,26.965,-0.021,32.024,-1.554,0.000,0.000,0.000,0.000,0.000,0.000,1.507,1.076,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:38.414393,265,126.62285960,45.80090650,-89.852,-2.209,26.965,-0.018,31.853,-1.449,0.000,0.000,0.000,0.000,0.000,0.000,1.501,1.076,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:38.524644,8375,126.62285770,45.80090660,-90.291,-2.565,26.976,-0.032,31.706,-1.530,0.000,0.000,0.000,0.000,0.000,0.000,1.511,1.076,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:38.634622,6072,126.62285540,45.80090660,-90.788,-2.891,26.976,0.005,31.528,-1.295,0.000,0.000,0.000,0.000,0.000,0.000,1.425,0.708,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:38.744775,4069,126.62285340,45.80090660,-91.149,-2.947,26.976,0.007,31.372,-1.330,0.000,0.000,0.000,0.000,0.000,0.000,1.385,0.708,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:38.854804,1666,126.62285100,45.80090660,-91.467,-2.940,26.976,-0.007,31.186,-1.211,0.000,0.000,0.000,0.000,0.000,0.000,1.279,0.708,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:38.964902,9666,126.62284900,45.80090660,-91.709,-2.858,26.976,-0.004,31.031,-1.232,0.000,0.000,0.000,0.000,0.000,0.000,1.258,0.708,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:39.075007,7363,126.62284670,45.80090660,-91.987,-2.825,26.976,-0.017,30.853,-1.142,0.000,0.000,0.000,0.000,0.000,0.000,1.195,0.497,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:39.185111,5373,126.62284470,45.80090670,-92.184,-3.002,26.987,-0.011,30.698,-1.157,0.000,0.000,0.000,0.000,0.000,0.000,1.177,0.497,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:39.295224,3173,126.62284250,45.80090670,-92.112,-2.686,26.987,0.002,30.527,-1.180,0.000,0.000,0.000,0.000,0.000,0.000,1.160,0.497,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:39.405419,1873,126.62284120,45.80090670,-92.222,-2.531,26.987,-0.069,30.427,-1.102,0.000,0.000,0.000,0.000,0.000,0.000,1.147,0.497,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:39.515531,773,126.62284010,45.80090670,-92.285,-2.210,26.987,-0.071,30.341,-1.116,0.000,0.000,0.000,0.000,0.000,0.000,1.134,0.497,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:39.625512,9773,126.62283910,45.80090670,-92.311,-1.835,26.987,-0.058,30.264,-1.094,0.000,0.000,0.000,0.000,0.000,0.000,1.106,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:39.735634,8473,126.62283780,45.80090670,-92.379,-1.445,26.987,-0.055,30.163,-1.124,0.000,0.000,0.000,0.000,0.000,0.000,1.113,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:39.845759,7160,126.62283650,45.80090660,-92.428,-1.161,26.976,-0.060,30.062,-1.069,0.000,0.000,0.000,0.000,0.000,0.000,1.097,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:39.955854,5960,126.62283530,45.80090660,-92.390,-0.837,26.976,-0.064,29.969,-1.098,0.000,0.000,0.000,0.000,0.000,0.000,1.099,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:40.066211,4460,126.62283380,45.80090660,-92.255,-0.496,26.976,-0.061,29.853,-1.008,0.000,0.000,0.000,0.000,0.000,0.000,1.060,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:40.176060,3150,126.62283250,45.80090650,-92.076,-0.079,26.965,-0.062,29.752,-1.038,0.000,0.000,0.000,0.000,0.000,0.000,1.050,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:40.286171,1550,126.62283090,45.80090650,-91.888,0.268,26.965,-0.055,29.628,-1.078,0.000,0.000,0.000,0.000,0.000,0.000,1.043,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:40.396265,567,126.62282990,45.80090640,-91.783,0.298,26.954,-0.065,29.551,-0.863,0.000,0.000,0.000,0.000,0.000,0.000,0.995,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:40.506374,9657,126.62282900,45.80090630,-91.739,0.438,26.943,-0.068,29.481,-0.899,-90.000,1.300,0.000,0.000,0.000,0.000,0.949,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:40.616476,8844,126.62282820,45.80090620,-91.747,0.488,26.931,-0.055,29.419,-0.865,-90.000,1.300,0.000,10.086,0.060,0.000,0.878,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:40.726584,7734,126.62282710,45.80090610,-91.742,0.516,26.920,-0.070,29.334,-0.881,-90.000,1.300,0.000,3.174,0.133,0.000,0.884,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:03:40.836783,6804,126.62282620,45.80090590,-91.696,0.620,26.898,-0.056,29.264,-0.820,-90.000,1.300,0.000,3.117,0.204,0.000,0.857,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,-0.000
2025-07-14 13:03:40.946802,5704,126.62282510,45.80090580,-91.609,0.743,26.887,-0.046,29.179,-0.842,-90.000,1.300,0.000,2.886,0.280,0.000,0.850,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,-0.000
2025-07-14 13:03:41.056876,4694,126.62282410,45.80090570,-91.478,0.828,26.876,-0.058,29.101,-0.794,-90.000,1.300,0.000,2.580,0.357,0.000,0.820,4.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,-0.000
2025-07-14 13:03:41.177020,3494,126.62282290,45.80090570,-91.288,0.865,26.876,-0.057,29.008,-0.806,-90.000,1.300,0.000,2.209,0.439,0.000,0.816,4.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,-0.000
2025-07-14 13:03:41.287119,2274,126.62282170,45.80090550,-91.275,0.712,26.854,-0.063,28.915,-0.822,-90.000,1.300,0.000,1.653,0.522,0.000,0.810,4.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,-0.000
2025-07-14 13:03:41.397232,1374,126.62282080,45.80090550,-91.181,0.628,26.854,-0.030,28.845,-0.785,-90.000,1.300,0.000,2.248,0.606,0.000,0.806,4.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,-0.000
2025-07-14 13:03:41.507325,761,126.62282020,45.80090540,-91.023,0.676,26.842,-0.030,28.799,-0.787,-90.000,1.300,0.000,1.784,0.691,0.000,0.799,4.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.999,-0.000
2025-07-14 13:03:41.617438,9961,126.62281940,45.80090540,-90.765,0.871,26.842,-0.047,28.737,-0.749,-90.000,1.300,0.000,1.267,0.777,0.000,0.775,4.865,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-14 13:03:41.727538,9241,126.62281870,45.80090530,-90.571,1.055,26.831,-0.056,28.683,-0.778,-90.000,1.300,0.000,0.440,0.867,0.000,0.773,4.865,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-14 13:03:41.837657,8241,126.62281770,45.80090530,-90.426,1.182,26.831,-0.068,28.605,-0.710,-90.000,1.300,0.000,0.323,0.957,0.000,0.748,4.865,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-14 13:03:41.947743,7441,126.62281690,45.80090520,-90.307,1.248,26.820,-0.057,28.543,-0.722,-90.000,1.300,0.000,0.240,1.052,0.000,0.739,4.865,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-14 13:03:42.057899,6441,126.62281590,45.80090520,-90.152,1.310,26.820,-0.086,28.465,-0.734,-90.000,1.300,0.000,0.121,1.148,0.000,0.726,3.287,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-14 13:03:42.167952,5531,126.62281500,45.80090510,-89.971,1.355,26.809,-0.103,28.396,-0.744,-90.000,1.300,0.000,-0.290,1.246,0.000,0.738,3.287,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-14 13:03:42.278058,4421,126.62281390,45.80090500,-89.763,1.386,26.798,-0.118,28.310,-0.761,-90.000,1.300,0.000,-0.710,1.343,0.000,0.753,3.287,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-14 13:03:42.388161,3621,126.62281310,45.80090500,-89.624,1.500,26.798,-0.078,28.248,-0.716,-90.000,1.300,0.000,-1.183,1.436,0.000,0.747,3.287,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-14 13:03:42.498276,2811,126.62281230,45.80090490,-89.454,1.569,26.787,-0.017,28.186,-0.682,-90.000,1.300,0.000,-1.182,1.531,0.000,0.724,3.287,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-14 13:03:42.608432,2098,126.62281160,45.80090480,-89.266,1.596,26.776,-0.075,28.132,-0.637,-90.000,1.300,0.000,-1.600,1.630,0.000,0.681,3.287,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.999,-0.001
2025-07-14 13:03:42.718467,1298,126.62281080,45.80090480,-89.018,1.587,26.776,-0.086,28.070,-0.625,-90.000,1.300,0.000,-2.004,1.736,0.000,0.652,3.287,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-14 13:03:42.828577,578,126.62281010,45.80090470,-88.765,1.641,26.765,-0.042,28.016,-0.667,-90.000,1.300,0.000,-2.669,1.847,0.000,0.647,3.287,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-14 13:03:42.938777,9678,126.62280920,45.80090460,-88.448,1.797,26.753,-0.037,27.946,-0.694,-90.000,1.300,0.000,-3.142,1.959,0.000,0.665,3.287,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-14 13:03:43.048802,8778,126.62280830,45.80090460,-88.144,1.965,26.753,-0.055,27.876,-0.656,-90.000,1.300,0.000,-3.944,2.068,0.000,0.674,-0.345,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-14 13:03:43.158887,7968,126.62280750,45.80090450,-87.943,2.007,26.742,-0.056,27.814,-0.654,-90.000,1.300,0.000,-4.446,2.175,0.000,0.670,-0.345,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-14 13:03:43.269007,7068,126.62280660,45.80090450,-87.774,1.996,26.742,-0.066,27.745,-0.646,-90.000,1.300,0.000,-4.433,2.283,0.000,0.655,-0.345,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-14 13:03:43.379204,6258,126.62280580,45.80090440,-87.704,1.870,26.731,-0.076,27.682,-0.631,-90.000,1.300,0.000,-4.621,2.394,0.000,0.647,-0.345,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-14 13:03:43.499212,5448,126.62280500,45.80090430,-87.428,1.975,26.720,-0.047,27.620,-0.638,-90.000,1.300,0.000,-4.387,2.506,0.000,0.642,-0.345,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.998,-0.002
2025-07-14 13:03:43.619309,4748,126.62280430,45.80090430,-87.103,2.091,26.720,-0.037,27.566,-0.647,-90.000,1.300,0.000,-5.549,2.618,0.000,0.641,0.234,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.997,-0.002
2025-07-14 13:03:43.739410,3938,126.62280350,45.80090420,-86.808,2.166,26.709,-0.030,27.504,-0.640,-90.000,1.300,0.000,-6.297,2.731,-0.000,0.643,0.234,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-14 13:03:43.859538,3118,126.62280270,45.80090410,-86.593,2.120,26.698,-0.059,27.442,-0.670,-90.000,1.300,0.000,-6.728,2.844,-0.000,0.654,0.234,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-14 13:03:43.979651,2318,126.62280190,45.80090410,-86.405,2.046,26.698,-0.061,27.380,-0.651,-90.000,1.300,0.000,-6.849,2.955,-0.000,0.656,0.234,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-14 13:03:44.099803,1318,126.62280090,45.80090400,-86.279,1.863,26.687,-0.022,27.303,-0.721,-90.000,1.300,0.000,-7.097,3.065,-0.000,0.683,-4.766,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-14 13:03:44.219887,518,126.62280010,45.80090400,-86.231,1.627,26.687,-0.024,27.241,-0.704,-90.000,1.300,0.000,-7.117,3.171,-0.000,0.693,-4.766,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-14 13:03:44.339993,9711,126.62279930,45.80090390,-86.275,1.408,26.676,-0.006,27.179,-0.733,-90.000,1.300,0.000,-6.944,3.275,-0.000,0.720,-4.766,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-14 13:03:44.460211,8511,126.62279810,45.80090390,-86.447,1.112,26.676,-0.035,27.086,-0.815,-90.000,1.300,0.000,-6.559,3.374,-0.000,0.751,-4.766,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-14 13:03:44.580217,7211,126.62279680,45.80090390,-86.696,0.841,26.676,-0.033,26.985,-0.815,-90.000,1.300,0.000,-5.824,3.468,-0.000,0.788,-4.766,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.997,-0.003
2025-07-14 13:03:44.690330,6024,126.62279560,45.80090400,-86.934,0.395,26.687,0.046,26.892,-0.860,-90.000,1.300,0.000,-5.117,3.556,-0.000,0.831,-4.766,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.003
2025-07-14 13:03:44.800438,4924,126.62279450,45.80090400,-87.132,-0.056,26.687,-0.010,26.807,-0.883,-90.000,1.300,0.000,-4.655,3.636,-0.000,0.853,-4.766,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.003
2025-07-14 13:03:44.910542,3724,126.62279330,45.80090400,-87.426,-0.569,26.687,-0.006,26.713,-0.874,-90.000,1.300,0.000,-4.444,3.713,-0.000,0.873,-4.766,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.003
2025-07-14 13:03:45.020638,2724,126.62279230,45.80090410,-87.742,-1.036,26.698,-0.009,26.636,-0.904,-90.000,1.300,0.000,-3.565,3.786,-0.000,0.887,-4.766,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:45.130734,1524,126.62279110,45.80090410,-88.135,-1.549,26.698,-0.004,26.543,-0.885,-90.000,1.300,0.000,-2.917,3.857,-0.000,0.888,-4.766,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:45.240851,524,126.62279010,45.80090410,-88.490,-1.977,26.698,-0.003,26.465,-0.879,-90.000,1.300,0.000,-1.930,3.927,-0.001,0.889,-4.766,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:45.350966,9244,126.62278880,45.80090420,-88.974,-2.457,26.709,0.038,26.365,-0.933,-90.000,1.300,0.000,-1.429,3.998,-0.001,0.899,-4.766,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:45.461100,7847,126.62278740,45.80090420,-89.456,-2.859,26.709,0.075,26.256,-0.983,-90.000,1.300,0.000,-0.089,4.066,-0.001,0.933,-4.766,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:45.571143,6257,126.62278580,45.80090430,-90.044,-3.246,26.720,0.083,26.132,-0.953,-90.000,1.300,0.000,0.771,4.129,-0.001,0.959,-1.556,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:45.681266,4867,126.62278440,45.80090440,-90.546,-3.495,26.731,0.082,26.024,-1.040,-90.000,1.300,0.000,2.214,4.188,-0.001,0.995,-1.556,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:45.791413,3350,126.62278290,45.80090450,-91.122,-3.802,26.742,0.106,25.907,-1.004,-90.000,1.300,0.000,2.807,4.240,-0.001,1.003,-1.556,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:45.901480,1960,126.62278150,45.80090460,-91.650,-4.102,26.753,0.062,25.799,-1.062,-90.000,1.300,0.000,4.111,4.291,-0.001,1.039,-1.556,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:46.011624,660,126.62278020,45.80090470,-92.047,-4.196,26.765,-0.032,25.698,-1.145,-90.000,1.300,0.000,4.888,4.336,-0.001,1.073,-1.556,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:46.121689,9283,126.62277880,45.80090480,-92.353,-4.187,26.776,-0.019,25.589,-1.117,-90.000,1.300,0.000,5.126,4.375,-0.000,1.109,3.023,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:46.231797,8093,126.62277760,45.80090490,-92.530,-3.991,26.787,0.001,25.496,-1.098,-90.000,1.300,0.000,5.347,4.407,-0.000,1.120,3.023,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:46.341899,6613,126.62277610,45.80090510,-92.378,-3.530,26.809,0.005,25.380,-1.155,-90.000,1.300,0.000,5.197,4.438,-0.000,1.123,3.023,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:46.451997,4703,126.62277420,45.80090500,-92.323,-3.040,26.798,-0.048,25.233,-1.200,-90.000,1.300,0.000,3.728,4.468,-0.000,1.151,3.023,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:46.562086,2603,126.62277210,45.80090500,-92.193,-2.483,26.798,-0.045,25.070,-1.188,-90.000,1.300,0.000,3.981,4.494,-0.000,1.182,4.865,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:46.672211,793,126.62277030,45.80090490,-92.020,-1.798,26.787,-0.082,24.931,-1.173,-90.000,1.300,0.000,3.475,4.514,-0.000,1.189,4.865,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:46.782323,8793,126.62276830,45.80090490,-91.696,-1.047,26.787,-0.077,24.775,-1.167,-90.000,1.300,0.000,3.007,4.533,-0.000,1.178,4.865,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:46.892496,7083,126.62276660,45.80090480,-91.355,-0.213,26.776,-0.089,24.644,-1.200,-90.000,1.300,0.000,1.875,4.554,-0.000,1.183,4.865,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:47.002522,5063,126.62276460,45.80090470,-90.992,0.597,26.765,-0.109,24.489,-1.192,-90.000,1.300,0.000,1.201,4.574,-0.000,1.190,4.865,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:47.112614,3363,126.62276290,45.80090470,-90.692,1.230,26.765,-0.114,24.357,-1.183,-90.000,1.300,0.000,0.466,4.593,-0.000,1.196,4.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:47.222736,1463,126.62276100,45.80090460,-90.296,1.869,26.753,-0.109,24.210,-1.167,-90.000,1.300,0.000,0.205,4.611,-0.000,1.186,4.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:47.332836,9753,126.62275930,45.80090450,-89.862,2.424,26.742,-0.099,24.078,-1.215,-90.000,1.300,0.000,-0.978,4.630,-0.000,1.193,4.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:47.442924,7733,126.62275730,45.80090430,-89.281,2.814,26.720,-0.108,23.923,-1.199,-90.000,1.300,0.000,-1.825,4.649,-0.000,1.198,4.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:47.553024,5926,126.62275550,45.80090420,-88.795,3.206,26.709,-0.111,23.783,-1.211,-90.000,1.300,0.000,-3.406,4.666,-0.000,1.213,3.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:47.663136,3906,126.62275350,45.80090400,-88.384,3.458,26.687,-0.087,23.628,-1.236,-90.000,1.300,0.000,-3.935,4.681,-0.000,1.220,3.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:47.773247,2086,126.62275170,45.80090380,-88.243,3.430,26.665,-0.102,23.489,-1.260,-90.000,1.300,0.000,-4.401,4.695,-0.000,1.240,3.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:47.883352,9966,126.62274960,45.80090360,-88.289,3.094,26.642,-0.065,23.326,-1.274,-90.000,1.300,0.000,-3.676,4.705,-0.000,1.260,3.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:47.993463,7846,126.62274750,45.80090340,-88.450,2.638,26.620,-0.008,23.163,-1.275,-90.000,1.300,0.000,-2.913,4.712,-0.000,1.272,3.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:48.103561,6036,126.62274570,45.80090330,-88.573,2.196,26.609,-0.002,23.024,-1.273,-90.000,1.300,0.000,-2.206,4.717,-0.000,1.275,-1.240,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:48.213692,4016,126.62274370,45.80090310,-88.697,1.810,26.587,-0.010,22.868,-1.267,-90.000,1.300,0.000,-2.122,4.721,-0.000,1.272,-1.240,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:48.323774,2186,126.62274190,45.80090290,-88.893,1.272,26.564,-0.020,22.729,-1.264,-90.000,1.300,0.000,-1.895,4.726,-0.000,1.268,-1.240,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:48.433888,186,126.62273990,45.80090290,-89.154,0.640,26.564,0.039,22.574,-1.343,-90.000,1.300,0.000,-1.281,4.732,-0.000,1.292,-1.240,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:48.543978,8409,126.62273810,45.80090300,-89.450,-0.157,26.576,0.046,22.434,-1.345,-90.000,1.300,0.000,-0.575,4.733,-0.000,1.318,-1.503,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:48.654097,6409,126.62273610,45.80090300,-89.787,-0.902,26.576,0.029,22.279,-1.403,-90.000,1.300,0.000,0.085,4.730,-0.000,1.364,-1.503,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:48.764198,4609,126.62273430,45.80090300,-90.078,-1.537,26.576,0.036,22.140,-1.418,-90.000,1.300,0.000,0.840,4.719,-0.000,1.389,-1.503,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:48.874285,2519,126.62273220,45.80090310,-90.522,-2.069,26.587,-0.000,21.977,-1.338,-90.000,1.300,0.000,1.198,4.704,-0.000,1.387,-1.503,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:48.984465,719,126.62273040,45.80090310,-90.944,-2.411,26.587,0.006,21.837,-1.335,-90.000,1.300,0.000,2.553,4.689,-0.000,1.364,-1.503,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:49.094514,8729,126.62272840,45.80090320,-91.391,-2.671,26.598,0.038,21.682,-1.416,-90.000,1.300,0.000,3.231,4.678,-0.000,1.363,-0.924,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:49.204617,6829,126.62272650,45.80090320,-91.796,-2.927,26.598,0.041,21.535,-1.424,-90.000,1.300,0.000,4.128,4.667,-0.000,1.392,-0.924,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
2025-07-14 13:03:49.314711,4742,126.62272440,45.80090330,-92.251,-3.228,26.609,0.048,21.372,-1.430,-90.000,1.300,0.000,4.704,4.651,-0.000,1.424,-0.924,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,0.996,-0.004
