时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-14 13:11:35.085651,1256,126.62296110,45.80110150,63.878,0.000,48.648,0.073,39.721,0.198,0.000,0.000,0.000,0.000,0.000,0.000,0.211,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:35.195026,1466,126.62296130,45.80110160,64.079,0.922,48.659,0.067,39.737,0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.206,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:35.305221,1766,126.62296160,45.80110170,64.246,1.116,48.670,0.115,39.760,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.207,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:35.415319,1983,126.62296180,45.80110180,64.334,1.037,48.681,0.079,39.776,0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.199,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:35.525412,2203,126.62296200,45.80110200,64.366,0.888,48.703,0.076,39.791,0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.193,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:35.635442,2323,126.62296210,45.80110220,64.467,0.893,48.726,0.100,39.799,0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.194,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:35.745547,2523,126.62296230,45.80110230,64.614,0.956,48.737,0.088,39.814,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:35.855647,2743,126.62296250,45.80110240,64.789,1.036,48.748,0.091,39.830,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.197,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:35.965765,2863,126.62296260,45.80110260,64.904,1.037,48.770,0.074,39.838,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.176,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:36.075906,3073,126.62296280,45.80110270,65.056,1.071,48.781,0.064,39.853,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.165,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:36.186118,3283,126.62296300,45.80110280,65.198,1.200,48.792,0.052,39.869,0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.151,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:36.296113,3383,126.62296310,45.80110290,65.318,1.125,48.803,0.105,39.876,0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.159,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:36.406184,3503,126.62296320,45.80110300,65.396,1.045,48.815,0.113,39.884,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.163,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:36.516283,3713,126.62296340,45.80110310,65.448,1.012,48.826,0.092,39.900,0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.176,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:36.626390,3823,126.62296350,45.80110320,65.533,1.060,48.837,0.020,39.907,0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.170,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:36.736493,4023,126.62296370,45.80110320,65.671,1.094,48.837,0.010,39.923,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.158,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:36.846606,4133,126.62296380,45.80110330,65.867,1.138,48.848,0.012,39.931,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.138,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:11:36.956706,4233,126.62296390,45.80110330,66.077,1.170,48.848,0.078,39.938,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.133,0.444,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
