时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-14 13:23:54.078828,5678,126.62288240,45.80113270,-179.770,0.000,52.117,-1.648,33.621,0.065,0.000,0.000,0.000,0.000,0.000,0.000,1.649,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:54.188254,5538,126.62288240,45.80113120,-179.260,2.318,51.950,-1.575,33.621,0.061,0.000,0.000,0.000,0.000,0.000,0.000,1.613,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:54.298522,5368,126.62288240,45.80112950,-178.783,2.991,51.761,-1.656,33.621,0.120,0.000,0.000,0.000,0.000,0.000,0.000,1.629,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:54.408448,5305,126.62288250,45.80112790,-178.327,3.280,51.583,-1.552,33.628,-0.022,0.000,0.000,0.000,0.000,0.000,0.000,1.596,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:54.518555,5228,126.62288260,45.80112610,-177.735,3.700,51.383,-1.655,33.636,-0.009,0.000,0.000,0.000,0.000,0.000,0.000,1.623,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:54.628671,5228,126.62288280,45.80112410,-177.128,4.003,51.161,-1.766,33.652,-0.014,0.000,0.000,0.000,0.000,0.000,0.000,1.658,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:54.738762,5051,126.62288280,45.80112230,-176.587,4.134,50.961,-1.852,33.652,-0.003,0.000,0.000,0.000,0.000,0.000,0.000,1.758,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:54.848886,4934,126.62288290,45.80112010,-175.972,4.316,50.716,-1.947,33.659,0.034,0.000,0.000,0.000,0.000,0.000,0.000,1.855,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:54.958969,4727,126.62288290,45.80111800,-175.471,4.342,50.482,-2.013,33.659,0.063,0.000,0.000,0.000,0.000,0.000,0.000,1.916,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:55.069094,4538,126.62288290,45.80111620,-174.889,4.437,50.282,-1.092,33.659,-0.013,0.000,0.000,0.000,0.000,0.000,0.000,1.662,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:55.179191,4459,126.62288300,45.80111450,-174.357,4.917,50.093,-0.961,33.667,-0.084,0.000,0.000,0.000,0.000,0.000,0.000,1.335,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:55.289300,4270,126.62288300,45.80111270,-173.823,4.938,49.893,-1.008,33.667,-0.084,0.000,0.000,0.000,0.000,0.000,0.000,1.023,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:55.409391,4147,126.62288300,45.80111120,-173.467,4.801,49.726,-0.956,33.667,-0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.978,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:55.529538,3977,126.62288300,45.80110950,-173.113,4.682,49.537,-0.989,33.667,-0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.987,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:55.649663,3777,126.62288300,45.80110750,-172.641,4.537,49.315,-1.016,33.667,-0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.988,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:55.769746,3547,126.62288290,45.80110620,-172.038,4.488,49.170,-0.928,33.659,-0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.979,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:55.889890,3257,126.62288270,45.80110530,-171.247,4.655,49.070,-0.837,33.644,-0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.931,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:56.010072,2864,126.62288240,45.80110440,-170.445,4.764,48.970,-0.830,33.621,-0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.871,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:56.130109,2574,126.62288220,45.80110350,-169.821,4.825,48.870,-0.879,33.605,-0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.856,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:56.250221,2164,126.62288190,45.80110240,-169.370,4.671,48.748,-0.872,33.582,-0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.865,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:56.370320,1864,126.62288170,45.80110140,-169.101,4.416,48.637,-0.902,33.566,-0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.888,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:56.480430,1654,126.62288160,45.80110030,-168.712,4.284,48.514,-0.803,33.559,-0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.864,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:56.590542,1354,126.62288140,45.80109930,-168.042,4.597,48.403,-0.800,33.543,-0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.842,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:56.700646,1164,126.62288130,45.80109840,-167.466,4.825,48.303,-0.828,33.535,-0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.819,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:56.810787,791,126.62288100,45.80109770,-166.772,5.063,48.225,-0.669,33.512,-0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.773,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:56.920841,521,126.62288080,45.80109700,-166.283,5.005,48.147,-0.699,33.497,-0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.739,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:57.030963,148,126.62288050,45.80109630,-165.824,4.763,48.070,-0.664,33.473,-0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.689,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:57.141447,9868,126.62288030,45.80109560,-165.465,4.418,47.992,-0.668,33.458,-0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.693,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:23:57.251538,9498,126.62288000,45.80109480,-165.095,4.239,47.903,-0.648,33.435,-0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.683,3.655,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
