时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-14 13:28:35.082646,2836,126.62290610,45.80096730,-87.962,0.000,33.725,-0.030,35.458,-1.299,0.000,0.000,0.000,0.000,0.000,0.000,1.299,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:28:35.192023,1129,126.62290440,45.80096720,-87.961,0.005,33.714,-0.024,35.326,-1.320,0.000,0.000,0.000,0.000,0.000,0.000,1.310,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:28:35.302140,9119,126.62290240,45.80096710,-87.961,0.003,33.703,-0.074,35.171,-1.378,0.000,0.000,0.000,0.000,0.000,0.000,1.333,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:28:35.412747,7309,126.62290060,45.80096700,-87.933,0.066,33.692,-0.091,35.031,-1.419,0.000,0.000,0.000,0.000,0.000,0.000,1.374,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:28:35.522711,5099,126.62289840,45.80096690,-87.831,0.238,33.681,-0.100,34.861,-1.297,0.000,0.000,0.000,0.000,0.000,0.000,1.368,2.076,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:28:35.632795,3189,126.62289650,45.80096680,-87.751,0.320,33.670,-0.102,34.714,-1.348,0.000,0.000,0.000,0.000,0.000,0.000,1.358,2.076,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:28:35.742914,869,126.62289420,45.80096670,-87.769,0.251,33.659,-0.101,34.535,-1.410,0.000,0.000,0.000,0.000,0.000,0.000,1.355,2.076,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:28:35.853017,9366,126.62289270,45.80096670,-87.700,0.298,33.659,-0.064,34.419,-1.086,0.000,0.000,0.000,0.000,0.000,0.000,1.284,2.076,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:28:35.963136,7763,126.62289110,45.80096670,-87.536,0.429,33.659,-0.068,34.295,-1.094,0.000,0.000,0.000,0.000,0.000,0.000,1.199,1.918,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:28:36.073236,6360,126.62288970,45.80096670,-87.353,0.552,33.659,-0.062,34.186,-1.026,0.000,0.000,0.000,0.000,0.000,0.000,1.071,1.918,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:28:36.183471,4860,126.62288820,45.80096670,-87.095,0.787,33.659,-0.070,34.070,-1.035,0.000,0.000,0.000,0.000,0.000,0.000,1.054,1.918,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:28:36.293450,3260,126.62288660,45.80096670,-86.787,1.066,33.659,-0.025,33.946,-1.014,0.000,0.000,0.000,0.000,0.000,0.000,1.027,1.918,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
