时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-14 13:38:31.090261,4399,126.62327040,45.80123990,76.895,0.000,64.037,-0.314,63.698,-0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.325,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:38:31.209607,4269,126.62327030,45.80123960,76.870,-0.102,64.004,-0.322,63.691,-0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.334,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:38:31.329772,4139,126.62327020,45.80123930,76.936,0.113,63.970,-0.257,63.683,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.312,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:38:31.449851,4006,126.62327010,45.80123900,76.938,0.089,63.937,-0.258,63.675,-0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.292,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:38:31.569965,3876,126.62327000,45.80123870,76.853,-0.070,63.904,-0.248,63.667,-0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.265,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:38:31.690065,3746,126.62326990,45.80123840,76.758,-0.190,63.870,-0.280,63.660,-0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.276,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:38:31.810277,3516,126.62326970,45.80123810,76.724,-0.203,63.837,-0.281,63.644,-0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.293,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:38:31.930310,3289,126.62326950,45.80123780,76.764,-0.136,63.804,-0.288,63.629,-0.166,0.000,0.000,0.000,0.000,0.000,0.000,0.316,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:38:32.040413,3059,126.62326930,45.80123750,76.837,-0.047,63.770,-0.244,63.613,-0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.314,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:38:32.150544,2826,126.62326910,45.80123730,76.902,0.017,63.748,-0.205,63.598,-0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.293,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
