时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-14 13:43:07.046944,7863,126.62322180,45.80146060,94.191,-0.794,88.578,-0.194,59.931,-0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.199,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:07.156965,7756,126.62322170,45.80146050,94.104,-0.773,88.567,-0.180,59.923,-0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.206,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:07.267069,7436,126.62322140,45.80146030,94.020,-0.720,88.545,-0.164,59.900,-0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.208,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:07.377169,7526,126.62322150,45.80146020,93.932,-0.583,88.533,-0.197,59.908,-0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.207,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:07.487273,7606,126.62322160,45.80146000,93.803,-0.614,88.511,-0.189,59.915,-0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.205,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:07.597397,7696,126.62322170,45.80145990,93.687,-0.670,88.500,-0.219,59.923,-0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.216,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:07.707533,7686,126.62322170,45.80145980,93.568,-0.728,88.489,-0.223,59.923,-0.095,0.000,0.000,0.000,0.000,0.000,0.000,0.226,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:07.817602,7666,126.62322170,45.80145960,93.426,-0.793,88.467,-0.222,59.923,-0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.239,2.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:07.927691,7656,126.62322170,45.80145950,93.260,-0.838,88.456,-0.225,59.923,-0.106,0.000,0.000,0.000,0.000,0.000,0.000,0.244,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:08.037809,7636,126.62322170,45.80145930,93.069,-0.898,88.433,-0.180,59.923,-0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.230,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:08.147909,7516,126.62322160,45.80145920,92.958,-1.120,88.422,-0.160,59.915,-0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.213,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:08.258035,7403,126.62322150,45.80145900,92.922,-1.073,88.400,-0.140,59.908,-0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.189,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:08.368123,7283,126.62322140,45.80145880,92.889,-1.027,88.378,-0.169,59.900,-0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.183,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:08.478204,7253,126.62322140,45.80145860,92.812,-1.018,88.355,-0.178,59.900,-0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.185,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:08.588323,7146,126.62322130,45.80145840,92.687,-1.014,88.333,-0.212,59.892,-0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.203,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:08.698432,6916,126.62322110,45.80145810,92.500,-1.079,88.300,-0.213,59.877,-0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.223,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:08.808540,6796,126.62322100,45.80145790,92.326,-1.128,88.278,-0.188,59.869,-0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.222,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:08.918633,6676,126.62322090,45.80145770,92.166,-1.145,88.255,-0.169,59.861,-0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.202,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:09.028750,6553,126.62322080,45.80145750,92.068,-1.083,88.233,-0.179,59.853,-0.058,0.000,0.000,0.000,0.000,0.000,0.000,0.184,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:09.138851,6333,126.62322060,45.80145730,91.971,-0.998,88.211,-0.176,59.838,-0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.183,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:09.248956,6213,126.62322050,45.80145710,91.852,-1.005,88.189,-0.185,59.830,-0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.193,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:09.359061,6093,126.62322040,45.80145690,91.674,-1.134,88.166,-0.194,59.822,-0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.200,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:09.469152,6076,126.62322040,45.80145670,91.508,-1.254,88.144,-0.184,59.822,-0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.203,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:09.579271,5956,126.62322030,45.80145650,91.359,-1.319,88.122,-0.189,59.815,-0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.204,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:09.699386,5836,126.62322020,45.80145630,91.293,-1.261,88.100,-0.171,59.807,-0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.200,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:09.819516,5616,126.62322000,45.80145610,91.231,-1.143,88.078,-0.219,59.791,-0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.216,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:09.939605,5386,126.62321980,45.80145580,91.144,-1.058,88.044,-0.233,59.776,-0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.238,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:10.059735,5266,126.62321970,45.80145560,91.024,-1.011,88.022,-0.182,59.768,-0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.238,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:10.180211,5046,126.62321950,45.80145540,90.891,-1.033,88.000,-0.166,59.753,-0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.217,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:10.299995,4826,126.62321930,45.80145520,90.791,-1.028,87.977,-0.205,59.737,-0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.200,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:10.420096,4696,126.62321920,45.80145490,90.626,-1.056,87.944,-0.205,59.729,-0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.207,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:10.540195,4676,126.62321920,45.80145470,90.461,-1.032,87.922,-0.203,59.729,-0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.218,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:10.660323,4646,126.62321920,45.80145440,90.308,-1.010,87.888,-0.177,59.729,-0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.207,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:10.770423,4526,126.62321910,45.80145420,90.197,-0.975,87.866,-0.205,59.722,-0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.209,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:10.880532,4406,126.62321900,45.80145400,90.129,-0.983,87.844,-0.197,59.714,-0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.210,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:10.990631,4186,126.62321880,45.80145380,90.078,-0.977,87.822,-0.200,59.698,-0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.222,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:11.100738,4066,126.62321870,45.80145360,89.969,-1.003,87.800,-0.207,59.691,-0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.226,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:11.210851,3846,126.62321850,45.80145340,89.811,-1.047,87.777,-0.207,59.675,-0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.229,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:11.320947,3726,126.62321840,45.80145320,89.604,-1.125,87.755,-0.197,59.667,-0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.225,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:11.431068,3706,126.62321840,45.80145300,89.431,-1.198,87.733,-0.206,59.667,-0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.221,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:11.541160,3586,126.62321830,45.80145280,89.333,-1.150,87.711,-0.195,59.660,-0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.216,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:11.651266,3466,126.62321820,45.80145260,89.263,-1.077,87.688,-0.206,59.652,-0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.223,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:11.761364,3346,126.62321810,45.80145240,89.199,-1.007,87.666,-0.212,59.644,-0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.226,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:11.871475,3126,126.62321790,45.80145220,89.085,-1.010,87.644,-0.213,59.629,-0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.230,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:11.981565,3006,126.62321780,45.80145200,88.964,-1.057,87.622,-0.227,59.621,-0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.231,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:12.091695,2786,126.62321760,45.80145180,88.845,-1.120,87.599,-0.234,59.605,-0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.240,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:12.201806,2566,126.62321740,45.80145160,88.775,-1.085,87.577,-0.229,59.590,-0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.250,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:12.311913,2446,126.62321730,45.80145140,88.699,-1.010,87.555,-0.179,59.582,-0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.235,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 13:43:12.422083,2426,126.62321730,45.80145120,88.595,-0.916,87.533,-0.185,59.582,-0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.214,3.076,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
