时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-14 14:03:55.089575,1519,126.62238000,45.80081510,-22.358,0.000,16.802,0.199,-5.326,-0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.347,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:55.208946,1349,126.62237980,45.80081540,-22.378,-0.085,16.835,0.172,-5.341,-0.282,0.000,0.000,0.000,0.000,0.000,0.000,0.339,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:55.319077,959,126.62237940,45.80081550,-22.454,-0.286,16.846,0.098,-5.372,-0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.363,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:55.429106,569,126.62237900,45.80081560,-22.579,-0.497,16.857,0.216,-5.403,-0.326,0.000,0.000,0.000,0.000,0.000,0.000,0.378,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:55.539212,192,126.62237860,45.80081580,-22.697,-0.611,16.879,0.212,-5.434,-0.347,0.000,0.000,0.000,0.000,0.000,0.000,0.403,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:55.649377,9702,126.62237810,45.80081590,-22.717,-0.540,16.891,0.215,-5.473,-0.349,0.000,0.000,0.000,0.000,0.000,0.000,0.403,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:55.769449,9309,126.62237770,45.80081600,-22.657,-0.391,16.902,0.191,-5.504,-0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.371,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:55.889548,9019,126.62237740,45.80081610,-22.586,-0.268,16.913,0.143,-5.527,-0.229,0.000,0.000,0.000,0.000,0.000,0.000,0.325,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:56.009677,8736,126.62237710,45.80081630,-22.593,-0.245,16.935,0.150,-5.550,-0.219,0.000,0.000,0.000,0.000,0.000,0.000,0.277,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:56.129787,8449,126.62237680,45.80081640,-22.730,-0.335,16.946,0.162,-5.574,-0.349,0.000,0.000,0.000,0.000,0.000,0.000,0.307,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:56.249965,8169,126.62237650,45.80081660,-23.010,-0.568,16.968,0.174,-5.597,-0.317,0.000,0.000,0.000,0.000,0.000,0.000,0.337,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:56.370158,7789,126.62237610,45.80081680,-23.264,-0.761,16.991,0.167,-5.628,-0.314,0.000,0.000,0.000,0.000,0.000,0.000,0.367,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:56.490267,7399,126.62237570,45.80081690,-23.381,-0.789,17.002,0.132,-5.659,-0.291,0.000,0.000,0.000,0.000,0.000,0.000,0.346,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:56.610239,7009,126.62237530,45.80081700,-23.297,-0.607,17.013,0.091,-5.690,-0.284,0.000,0.000,0.000,0.000,0.000,0.000,0.324,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:56.720353,6609,126.62237490,45.80081700,-22.971,-0.203,17.013,0.077,-5.721,-0.287,0.000,0.000,0.000,0.000,0.000,0.000,0.305,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:56.830439,6106,126.62237440,45.80081700,-22.835,-0.061,17.013,0.141,-5.760,-0.245,0.000,0.000,0.000,0.000,0.000,0.000,0.293,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:56.940563,5716,126.62237400,45.80081710,-22.889,-0.160,17.024,0.182,-5.791,-0.253,0.000,0.000,0.000,0.000,0.000,0.000,0.297,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:57.050810,5239,126.62237350,45.80081730,-23.150,-0.457,17.046,0.212,-5.830,-0.263,0.000,0.000,0.000,0.000,0.000,0.000,0.311,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:57.160776,4859,126.62237310,45.80081750,-23.477,-0.749,17.068,0.211,-5.861,-0.235,0.000,0.000,0.000,0.000,0.000,0.000,0.322,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:57.270874,4579,126.62237280,45.80081770,-23.700,-0.837,17.091,0.121,-5.884,-0.289,0.000,0.000,0.000,0.000,0.000,0.000,0.322,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:57.380966,4299,126.62237250,45.80081790,-23.822,-0.715,17.113,0.089,-5.907,-0.290,0.000,0.000,0.000,0.000,0.000,0.000,0.311,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:57.491092,3919,126.62237210,45.80081810,-23.795,-0.480,17.135,0.118,-5.938,-0.327,0.000,0.000,0.000,0.000,0.000,0.000,0.321,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:57.601177,3639,126.62237180,45.80081830,-23.649,-0.251,17.157,0.096,-5.961,-0.341,0.000,0.000,0.000,0.000,0.000,0.000,0.335,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:57.711288,3249,126.62237140,45.80081840,-23.520,-0.203,17.168,0.093,-5.992,-0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.355,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:57.821407,2859,126.62237100,45.80081850,-23.459,-0.444,17.180,0.115,-6.023,-0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.325,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:57.931511,2456,126.62237060,45.80081850,-23.503,-0.608,17.180,0.125,-6.054,-0.219,0.000,0.000,0.000,0.000,0.000,0.000,0.291,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:58.041616,2056,126.62237020,45.80081850,-23.654,-0.696,17.180,0.162,-6.085,-0.269,0.000,0.000,0.000,0.000,0.000,0.000,0.274,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:58.152182,1666,126.62236980,45.80081860,-23.821,-0.610,17.191,0.182,-6.116,-0.251,0.000,0.000,0.000,0.000,0.000,0.000,0.292,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:58.262197,1279,126.62236940,45.80081870,-23.965,-0.442,17.202,0.160,-6.147,-0.246,0.000,0.000,0.000,0.000,0.000,0.000,0.306,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 14:03:58.372511,876,126.62236900,45.80081870,-24.040,-0.308,17.202,0.155,-6.178,-0.244,0.000,0.000,0.000,0.000,0.000,0.000,0.298,3.497,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
