时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-14 15:11:19.095620,8666,126.62306690,45.80091760,-45.778,-0.192,28.199,0.016,47.923,-0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.207,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:19.205694,8376,126.62306660,45.80091770,-45.916,-1.255,28.210,0.013,47.900,-0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.210,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:19.315890,8076,126.62306630,45.80091770,-46.073,-1.427,28.210,-0.018,47.877,-0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.223,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:19.425895,7776,126.62306600,45.80091770,-46.131,-0.527,28.210,-0.001,47.853,-0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.220,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:19.535995,7576,126.62306580,45.80091770,-46.103,0.255,28.210,0.028,47.838,-0.184,0.000,0.000,0.000,0.000,0.000,0.000,0.207,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:19.646122,7283,126.62306550,45.80091780,-46.066,0.333,28.221,0.036,47.815,-0.195,0.000,0.000,0.000,0.000,0.000,0.000,0.198,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:19.756205,6983,126.62306520,45.80091780,-46.069,-0.027,28.221,0.009,47.791,-0.201,0.000,0.000,0.000,0.000,0.000,0.000,0.195,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:19.866354,6696,126.62306490,45.80091790,-46.104,-0.318,28.232,0.008,47.768,-0.204,0.000,0.000,0.000,0.000,0.000,0.000,0.201,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:19.976475,6393,126.62306460,45.80091790,-46.137,-0.300,28.232,-0.004,47.745,-0.184,0.000,0.000,0.000,0.000,0.000,0.000,0.196,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:20.086533,6093,126.62306430,45.80091790,-46.192,-0.500,28.232,0.020,47.721,-0.183,0.000,0.000,0.000,0.000,0.000,0.000,0.191,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:20.196622,5793,126.62306400,45.80091790,-46.252,-0.545,28.232,0.006,47.698,-0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.186,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:20.306749,5493,126.62306370,45.80091790,-46.307,-0.500,28.232,0.009,47.675,-0.190,0.000,0.000,0.000,0.000,0.000,0.000,0.188,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:20.416840,5193,126.62306340,45.80091790,-46.358,-0.464,28.232,0.013,47.652,-0.203,0.000,0.000,0.000,0.000,0.000,0.000,0.194,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:20.526958,4993,126.62306320,45.80091790,-46.312,0.418,28.232,-0.008,47.636,-0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.190,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:20.637115,4803,126.62306300,45.80091800,-46.303,0.081,28.244,-0.018,47.621,-0.185,0.000,0.000,0.000,0.000,0.000,0.000,0.188,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:20.747157,4503,126.62306270,45.80091800,-46.345,-0.382,28.244,-0.037,47.597,-0.201,0.000,0.000,0.000,0.000,0.000,0.000,0.189,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:20.857252,4206,126.62306240,45.80091800,-46.396,-0.464,28.244,-0.048,47.574,-0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.202,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:20.967375,4006,126.62306220,45.80091800,-46.433,-0.336,28.244,0.010,47.559,-0.199,0.000,0.000,0.000,0.000,0.000,0.000,0.206,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:21.077449,3706,126.62306190,45.80091800,-46.448,-0.136,28.244,0.005,47.535,-0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.205,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:21.187579,3396,126.62306160,45.80091790,-46.481,-0.300,28.232,-0.007,47.512,-0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.203,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:11:21.297678,3096,126.62306130,45.80091790,-46.511,-0.273,28.232,-0.024,47.489,-0.207,0.000,0.000,0.000,0.000,0.000,0.000,0.206,3.865,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
