时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-14 15:15:40.059682,1739,126.62357680,45.80094930,-24.966,0.336,31.724,0.082,87.451,-0.296,0.000,0.000,0.000,0.000,0.000,0.000,0.330,2.813,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:15:40.179789,1249,126.62357630,45.80094940,-24.982,-0.133,31.735,0.095,87.412,-0.288,0.000,0.000,0.000,0.000,0.000,0.000,0.315,2.813,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:15:40.299900,749,126.62357580,45.80094940,-25.027,-0.375,31.735,0.049,87.373,-0.340,0.000,0.000,0.000,0.005,0.000,0.000,0.318,2.813,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:15:40.420017,159,126.62357520,45.80094950,-24.944,0.692,31.746,0.006,87.327,-0.347,0.000,0.540,-10.600,0.020,0.000,0.000,0.331,2.813,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:15:40.540157,9649,126.62357470,45.80094940,-24.711,1.926,31.735,-0.018,87.288,-0.365,0.000,0.510,-10.600,-0.431,0.036,0.000,0.352,2.865,0.000,0.000,1.000,0.000,0.000,1.001,0.000,0.000,1.000,0.000
2025-07-14 15:15:40.660240,9159,126.62357420,45.80094950,-24.460,2.092,31.746,0.038,87.249,-0.301,0.000,0.510,-10.600,-0.928,0.063,0.000,0.339,2.865,0.000,0.000,1.000,0.000,0.000,0.963,0.002,0.000,1.000,0.000
2025-07-14 15:15:40.770346,8569,126.62357360,45.80094960,-24.389,0.645,31.757,0.074,87.203,-0.297,0.000,0.520,-10.600,-1.431,0.092,0.000,0.325,2.865,0.000,0.000,1.000,0.000,0.000,0.947,-0.013,0.000,1.000,-0.000
2025-07-14 15:15:40.880469,8089,126.62357310,45.80094980,-24.514,-1.136,31.780,0.068,87.164,-0.304,0.000,0.550,-10.670,-1.877,0.126,0.000,0.307,2.865,0.000,0.000,1.000,0.000,0.000,0.971,0.011,0.000,1.000,-0.000
2025-07-14 15:15:40.990550,7699,126.62357270,45.80094990,-24.626,-1.018,31.791,0.046,87.133,-0.287,0.000,0.550,-10.670,-2.255,0.167,0.000,0.303,2.865,0.000,0.000,1.000,0.000,0.000,1.001,0.044,0.000,1.000,-0.000
2025-07-14 15:15:41.100658,7209,126.62357220,45.80095000,-24.589,0.336,31.802,0.017,87.094,-0.405,0.000,0.540,-10.710,-2.639,0.210,0.000,0.336,2.865,0.000,0.000,1.000,0.000,0.000,0.991,0.033,0.000,1.000,-0.000
2025-07-14 15:15:41.210771,6809,126.62357180,45.80095000,-24.422,1.518,31.802,-0.011,87.063,-0.433,0.000,0.540,-10.710,-3.076,0.245,0.000,0.376,2.865,0.000,0.000,1.000,0.000,0.000,0.958,0.000,0.000,1.000,-0.000
2025-07-14 15:15:41.320877,6209,126.62357120,45.80095000,-24.192,2.091,31.802,0.075,87.017,-0.337,0.000,0.510,-10.700,-3.558,0.273,0.000,0.395,2.865,0.000,0.000,1.000,0.000,0.000,0.924,-0.030,0.000,1.000,-0.000
2025-07-14 15:15:41.430985,5719,126.62357070,45.80095010,-24.038,1.400,31.813,0.088,86.978,-0.337,0.000,0.510,-10.700,-4.060,0.293,0.000,0.376,2.865,0.000,0.000,1.000,0.000,0.000,0.900,-0.052,0.000,1.000,-0.000
2025-07-14 15:15:41.541066,5119,126.62357010,45.80095010,-24.044,-0.055,31.813,0.107,86.931,-0.323,0.000,0.540,-10.660,-4.536,0.316,0.000,0.345,3.550,0.000,0.000,1.000,0.000,0.000,0.906,-0.045,0.000,1.000,-0.000
2025-07-14 15:15:41.651187,4829,126.62356980,45.80095020,-24.116,-0.649,31.824,0.042,86.908,-0.345,0.000,0.540,-10.660,-4.955,0.349,0.000,0.345,3.550,0.000,0.000,1.000,0.000,0.000,0.931,-0.020,0.000,1.000,-0.000
2025-07-14 15:15:41.761295,4529,126.62356950,45.80095030,-24.233,-1.064,31.835,0.029,86.885,-0.339,0.000,0.540,-10.710,-5.350,0.382,0.000,0.343,3.550,0.000,0.000,1.000,0.000,0.000,0.935,-0.015,0.000,1.000,-0.000
2025-07-14 15:15:41.871391,4129,126.62356910,45.80095030,-24.243,-0.091,31.835,0.081,86.854,-0.348,0.000,0.490,-10.700,-5.731,0.416,0.000,0.348,3.550,0.000,0.000,1.000,0.000,0.000,0.936,-0.014,0.000,1.000,-0.000
2025-07-14 15:15:41.981496,3849,126.62356880,45.80095040,-24.119,1.127,31.846,0.063,86.830,-0.364,0.000,0.490,-10.700,-6.148,0.441,0.000,0.356,0.023,0.000,0.000,1.000,0.000,0.000,0.911,-0.040,0.000,1.000,-0.000
2025-07-14 15:15:42.091627,3449,126.62356840,45.80095040,-23.950,1.536,31.846,0.070,86.799,-0.317,0.000,0.490,-10.700,-6.610,0.464,0.000,0.350,0.023,0.000,0.000,1.000,0.000,0.000,0.879,-0.069,0.000,1.000,-0.000
2025-07-14 15:15:42.201714,3049,126.62356800,45.80095040,-23.874,0.691,31.846,0.073,86.768,-0.317,0.000,0.490,-10.700,-7.086,0.488,0.000,0.340,0.023,0.000,0.000,1.000,0.000,0.000,0.861,-0.085,0.000,1.000,-0.000
2025-07-14 15:15:42.311831,2659,126.62356760,45.80095050,-23.897,-0.209,31.857,0.073,86.737,-0.303,0.000,0.550,-10.800,-7.531,0.513,0.000,0.321,0.023,0.000,0.000,1.000,0.000,0.000,0.872,-0.075,0.000,1.000,-0.000
2025-07-14 15:15:42.421928,2259,126.62356720,45.80095050,-23.944,-0.427,31.857,0.074,86.706,-0.290,0.000,0.550,-10.760,-7.946,0.553,0.000,0.312,0.023,0.000,0.000,1.000,0.000,0.000,0.884,-0.062,0.000,1.000,-0.000
2025-07-14 15:15:42.532027,1859,126.62356680,45.80095050,-23.966,-0.200,31.857,0.059,86.675,-0.291,0.000,0.550,-10.760,-8.350,0.593,0.000,0.303,-2.135,0.000,0.000,1.000,0.000,0.000,0.881,-0.064,0.000,1.000,-0.000
