时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-14 15:47:00.016605,4376,126.62443780,45.80096570,86.410,1.483,33.548,-0.259,154.196,-0.199,0.000,0.000,0.000,0.000,0.000,0.000,0.286,3.655,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:47:00.128907,4146,126.62443760,45.80096550,86.549,-3.240,33.525,-0.153,154.180,-0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.276,3.655,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:47:00.238987,3736,126.62443720,45.80096530,86.745,1.775,33.503,-0.211,154.149,-0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.253,3.655,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:47:00.349084,3516,126.62443700,45.80096510,86.862,1.069,33.481,-0.208,154.134,-0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.225,3.655,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:47:00.459205,3286,126.62443680,45.80096490,87.004,1.280,33.459,-0.199,154.118,-0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.241,3.655,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:47:00.569276,3086,126.62443660,45.80096480,87.142,1.247,33.447,-0.197,154.103,-0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.241,3.655,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:47:00.689418,2766,126.62443630,45.80096460,87.298,1.307,33.425,-0.179,154.079,-0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.240,3.655,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:47:00.809519,2546,126.62443610,45.80096440,87.485,1.558,33.403,-0.191,154.064,-0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.239,3.655,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:47:00.929646,2426,126.62443600,45.80096420,87.646,1.342,33.381,-0.177,154.056,-0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.232,3.655,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:47:01.049721,2206,126.62443580,45.80096400,87.746,0.828,33.358,-0.209,154.041,-0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.234,3.655,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:47:01.169864,2086,126.62443570,45.80096380,87.821,0.630,33.336,-0.218,154.033,-0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.243,3.655,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:47:01.290007,1856,126.62443550,45.80096350,87.972,1.254,33.303,-0.203,154.017,-0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.253,3.655,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:47:01.410100,1536,126.62443520,45.80096330,125.968,1.254,33.281,-0.195,153.994,-0.129,0.000,0.000,0.000,-0.050,0.000,0.000,0.248,3.655,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:47:01.530219,1316,126.62443500,45.80096310,126.264,2.467,33.258,-0.176,153.979,-0.139,0.000,0.440,-16.770,-0.100,0.000,0.000,0.236,3.655,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:47:01.650323,996,126.62443470,45.80096290,126.486,1.850,33.236,-0.169,153.955,-0.141,0.000,0.440,-16.770,-0.869,0.035,0.000,0.226,3.655,0.000,0.000,1.000,0.000,0.000,0.997,-0.003,0.000,1.000,0.000
2025-07-14 15:47:01.760438,776,126.62443450,45.80096270,126.691,1.864,33.214,-0.194,153.940,-0.127,0.000,0.450,15.650,-1.613,0.072,0.000,0.225,3.655,0.000,0.000,1.000,0.000,0.000,0.991,-0.004,0.000,1.000,0.000
2025-07-14 15:47:01.870523,656,126.62443440,45.80096250,126.861,1.545,33.192,-0.207,153.932,-0.145,0.000,0.450,15.650,-1.070,0.110,0.000,0.235,3.655,0.000,0.000,1.000,0.000,0.000,0.965,-0.031,0.000,1.000,-0.000
2025-07-14 15:47:01.980659,526,126.62443430,45.80096220,127.062,1.827,33.158,-0.190,153.924,-0.155,0.000,0.430,15.550,-0.513,0.147,0.000,0.243,3.655,0.000,0.000,1.000,0.000,0.000,0.942,0.000,0.000,1.000,-0.000
2025-07-14 15:47:02.090775,406,126.62443420,45.80096200,127.247,1.682,33.136,-0.187,153.917,-0.141,0.000,0.430,15.550,0.028,0.179,0.000,0.244,-0.924,0.000,0.000,1.000,0.000,0.000,0.936,-0.006,0.000,1.000,-0.000
2025-07-14 15:47:02.200856,186,126.62443400,45.80096180,127.447,1.818,33.114,-0.198,153.901,-0.154,0.000,0.430,15.540,0.574,0.211,0.000,0.243,-0.924,0.000,0.000,1.000,0.000,0.000,0.919,-0.024,0.000,1.000,-0.000
