时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-14 15:58:07.025196,2913,126.62392450,45.80098410,123.287,0.089,35.593,-0.075,114.404,-0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.190,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:07.133063,2703,126.62392430,45.80098400,123.273,0.102,35.582,-0.093,114.389,-0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.195,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:07.243182,2383,126.62392400,45.80098380,123.293,0.177,35.560,-0.067,114.366,-0.179,0.000,0.000,0.000,0.000,0.000,0.000,0.195,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:07.353259,2176,126.62392380,45.80098370,123.347,0.490,35.549,-0.054,114.350,-0.202,0.000,0.000,0.000,0.000,0.000,0.000,0.201,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:07.463368,1876,126.62392350,45.80098370,123.385,0.344,35.549,-0.053,114.327,-0.208,0.000,0.000,0.000,0.000,0.000,0.000,0.205,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:07.573471,1666,126.62392330,45.80098360,123.481,0.872,35.538,-0.051,114.311,-0.212,0.000,0.000,0.000,0.000,0.000,0.000,0.214,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:07.683581,1456,126.62392310,45.80098350,123.468,-0.115,35.527,-0.078,114.296,-0.163,0.000,0.000,0.000,0.000,0.000,0.000,0.204,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:07.793676,1143,126.62392280,45.80098340,123.460,-0.070,35.516,-0.057,114.273,-0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.188,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:07.903765,933,126.62392260,45.80098330,123.467,0.057,35.505,-0.087,114.257,-0.174,0.000,0.000,0.000,0.000,0.000,0.000,0.180,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:08.014012,733,126.62392240,45.80098330,123.479,0.108,35.505,-0.080,114.242,-0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.184,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:08.124003,523,126.62392220,45.80098320,123.477,-0.013,35.493,-0.069,114.226,-0.186,0.000,0.000,0.000,0.000,0.000,0.000,0.195,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:08.234100,313,126.62392200,45.80098310,123.465,-0.114,35.482,-0.063,114.211,-0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.195,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:08.344209,6,126.62392170,45.80098300,123.467,0.025,35.471,-0.094,114.187,-0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.201,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:08.454305,9806,126.62392150,45.80098300,123.491,0.216,35.471,-0.081,114.172,-0.193,0.000,0.000,0.000,0.000,0.000,0.000,0.204,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:08.564417,9496,126.62392120,45.80098290,123.520,0.261,35.460,-0.072,114.149,-0.199,0.000,0.000,0.000,0.000,0.000,0.000,0.211,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:08.674526,9286,126.62392100,45.80098280,123.522,0.019,35.449,-0.076,114.133,-0.197,0.000,0.000,0.000,0.000,0.000,0.000,0.211,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:08.784634,8976,126.62392070,45.80098270,123.496,-0.235,35.438,-0.072,114.110,-0.196,0.000,0.000,0.000,0.000,0.000,0.000,0.211,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:08.894711,8766,126.62392050,45.80098260,123.465,-0.286,35.427,-0.068,114.094,-0.174,0.000,0.000,0.000,0.000,0.000,0.000,0.202,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:09.004853,8453,126.62392020,45.80098250,123.435,-0.267,35.416,-0.063,114.071,-0.173,0.000,0.000,0.000,0.000,0.000,0.000,0.193,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:09.114951,8243,126.62392000,45.80098240,123.418,-0.159,35.404,-0.087,114.056,-0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.194,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:09.225051,8033,126.62391980,45.80098230,123.395,-0.204,35.393,-0.079,114.040,-0.186,0.000,0.000,0.000,0.000,0.000,0.000,0.199,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:09.335151,7726,126.62391950,45.80098220,123.362,-0.303,35.382,-0.091,114.017,-0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.201,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:09.445247,7513,126.62391930,45.80098210,123.323,-0.356,35.371,-0.074,114.001,-0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.193,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:09.555368,7313,126.62391910,45.80098210,123.250,-0.662,35.371,-0.061,113.986,-0.178,0.000,0.000,0.000,0.000,0.000,0.000,0.188,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:09.665462,7003,126.62391880,45.80098200,123.271,0.191,35.360,-0.093,113.963,-0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.191,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:09.775571,6683,126.62391850,45.80098180,123.301,0.274,35.338,-0.086,113.939,-0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:09.885663,6373,126.62391820,45.80098170,123.308,0.064,35.327,-0.059,113.916,-0.185,0.000,0.000,0.000,0.000,0.000,0.000,0.198,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:09.995775,6163,126.62391800,45.80098160,123.269,-0.356,35.316,-0.055,113.901,-0.173,0.000,0.000,0.000,0.000,0.000,0.000,0.192,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:10.105932,5853,126.62391770,45.80098150,123.191,-0.706,35.304,-0.089,113.877,-0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.186,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:10.226010,5543,126.62391740,45.80098140,123.127,-0.531,35.293,-0.071,113.854,-0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.180,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:10.336114,5343,126.62391720,45.80098140,123.126,-0.013,35.293,-0.078,113.839,-0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:10.446189,5026,126.62391690,45.80098130,123.167,0.375,35.282,-0.069,113.815,-0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.212,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:10.556330,4726,126.62391660,45.80098130,123.194,0.248,35.282,-0.071,113.792,-0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.233,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:10.666417,4516,126.62391640,45.80098110,123.162,-0.293,35.260,-0.104,113.777,-0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.226,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:10.776521,4206,126.62391610,45.80098100,123.094,-0.617,35.249,-0.089,113.753,-0.178,0.000,0.000,0.000,0.000,0.000,0.000,0.215,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-14 15:58:10.886619,3896,126.62391580,45.80098090,123.045,-0.452,35.238,-0.120,113.730,-0.171,0.000,0.000,0.000,0.000,0.000,0.000,0.205,0.234,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000
