时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-15 13:06:04.080315,366,126.62266590,45.80094460,82.148,0.000,31.201,-0.087,16.837,-0.197,0.000,0.000,0.000,0.000,0.000,0.000,0.215,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:06:04.199813,156,126.62266570,45.80094450,82.419,2.252,31.190,-0.062,16.822,-0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.224,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:06:04.319913,9756,126.62266530,45.80094450,82.823,3.366,31.190,-0.053,16.791,-0.243,0.000,0.000,0.000,0.000,0.000,0.000,0.232,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:06:04.439912,9446,126.62266500,45.80094440,83.144,2.678,31.179,-0.033,16.768,-0.265,0.000,0.000,0.000,0.000,0.000,0.000,0.250,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:06:04.560031,9046,126.62266460,45.80094440,83.507,3.027,31.179,-0.025,16.737,-0.198,0.000,0.000,0.000,0.000,0.000,0.000,0.238,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:06:04.680156,8746,126.62266430,45.80094440,83.840,2.748,31.179,-0.017,16.713,-0.188,0.000,0.000,0.000,0.000,0.000,0.000,0.218,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:06:04.800265,8346,126.62266390,45.80094440,84.122,2.351,31.179,-0.042,16.682,-0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.202,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:06:04.910373,8046,126.62266360,45.80094440,84.377,2.323,31.179,-0.051,16.659,-0.207,0.000,0.000,0.000,0.000,0.000,0.000,0.207,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:06:05.020470,7746,126.62266330,45.80094440,84.572,1.769,31.179,-0.019,16.636,-0.252,0.000,0.000,0.000,0.000,0.000,0.000,0.228,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:06:05.130636,7446,126.62266300,45.80094440,84.865,2.666,31.179,-0.003,16.613,-0.272,0.000,0.000,0.000,0.000,0.000,0.000,0.246,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
