时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-15 13:29:14.090613,2923,126.62259290,45.80110020,69.595,0.000,48.503,0.024,11.178,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.145,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:29:14.210005,3013,126.62259300,45.80110010,69.836,2.024,48.492,0.039,11.186,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.140,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:29:14.330203,3213,126.62259320,45.80110010,70.083,2.042,48.492,-0.046,11.202,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.152,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:29:14.450230,3403,126.62259340,45.80110000,70.316,1.942,48.481,-0.062,11.217,0.206,0.000,0.000,0.000,0.000,0.000,0.000,0.176,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:29:14.560333,3706,126.62259370,45.80110000,70.533,1.973,48.481,-0.078,11.240,0.237,0.000,0.000,0.000,0.000,0.000,0.000,0.214,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:29:14.670439,3786,126.62259380,45.80109990,70.678,1.317,48.470,-0.047,11.248,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.206,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:29:14.780600,3783,126.62259380,45.80109990,70.836,1.438,48.470,-0.004,11.248,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.164,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:29:14.890639,3683,126.62259370,45.80109990,71.022,1.693,48.470,-0.040,11.240,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.117,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:29:15.000811,3580,126.62259360,45.80109990,71.333,2.825,48.470,-0.038,11.233,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.099,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:29:15.110923,3580,126.62259360,45.80109990,71.647,2.857,48.470,-0.039,11.233,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.090,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:29:15.221037,3480,126.62259350,45.80109990,71.968,2.921,48.470,-0.059,11.225,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.081,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:29:15.331148,3480,126.62259350,45.80109990,72.172,1.835,48.470,-0.036,11.225,0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.073,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:29:15.441186,3480,126.62259350,45.80109980,72.339,1.515,48.459,-0.048,11.225,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.083,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:29:15.551295,3570,126.62259360,45.80109970,72.468,1.177,48.448,-0.045,11.233,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.093,1.389,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
