时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-15 13:37:34.075729,7096,126.62245700,45.80110090,55.190,0.000,48.581,0.232,0.643,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.251,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:34.185183,7206,126.62245710,45.80110100,55.143,-0.426,48.592,0.203,0.651,0.151,0.000,0.000,0.000,0.000,0.000,0.000,0.252,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:34.295200,7306,126.62245720,45.80110110,55.068,-0.681,48.603,0.203,0.659,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.254,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:34.405323,7436,126.62245730,45.80110130,55.016,-0.471,48.626,0.165,0.667,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.243,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:34.515467,7646,126.62245750,45.80110140,55.014,-0.025,48.637,0.158,0.682,0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.233,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:34.625518,7866,126.62245770,45.80110160,55.047,0.299,48.659,0.163,0.698,0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.221,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:34.735739,7866,126.62245770,45.80110170,55.201,1.406,48.670,0.227,0.698,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.228,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:34.845736,7796,126.62245760,45.80110190,55.180,-0.197,48.692,0.178,0.690,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.221,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:34.955851,7706,126.62245750,45.80110200,55.159,-0.185,48.703,0.179,0.682,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.212,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:35.065967,7623,126.62245740,45.80110220,55.159,0.000,48.726,0.168,0.674,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.196,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:35.176039,7543,126.62245730,45.80110240,55.172,0.115,48.748,0.162,0.667,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.194,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:35.286293,7553,126.62245730,45.80110250,55.178,0.057,48.759,0.187,0.667,0.095,0.000,0.000,0.000,0.000,0.000,0.000,0.199,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:35.396269,7573,126.62245730,45.80110270,55.139,-0.356,48.781,0.187,0.667,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.198,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:35.506452,7586,126.62245730,45.80110290,55.081,-0.528,48.803,0.200,0.667,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.203,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:35.616504,7616,126.62245730,45.80110310,55.038,-0.388,48.826,0.209,0.667,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.204,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:35.726587,7636,126.62245730,45.80110330,54.977,-0.560,48.848,0.182,0.667,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.202,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:35.836735,7643,126.62245730,45.80110340,54.883,-0.853,48.859,0.170,0.667,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.191,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:35.946806,7553,126.62245720,45.80110350,54.761,-1.107,48.870,0.169,0.659,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.177,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:36.056915,7573,126.62245720,45.80110370,54.607,-1.400,48.892,0.183,0.659,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.176,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:36.166985,7583,126.62245720,45.80110380,54.524,-0.751,48.904,0.189,0.659,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.182,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:36.277124,7503,126.62245710,45.80110400,54.512,-0.114,48.926,0.176,0.651,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.184,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:36.387223,7513,126.62245710,45.80110410,54.506,-0.057,48.937,0.158,0.651,-0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.176,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:36.497322,7533,126.62245710,45.80110430,54.461,-0.407,48.959,0.153,0.651,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.164,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:36.607411,7543,126.62245710,45.80110440,54.361,-0.904,48.970,0.157,0.651,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.156,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:36.717549,7563,126.62245710,45.80110460,54.233,-1.165,48.992,0.160,0.651,-0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.159,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:36.827753,7473,126.62245700,45.80110470,54.083,-1.362,49.004,0.159,0.643,-0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.161,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:36.937747,7283,126.62245680,45.80110480,53.977,-0.967,49.015,0.157,0.628,-0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.163,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:37.047829,7103,126.62245660,45.80110500,53.930,-0.426,49.037,0.171,0.612,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.165,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:37.167999,7013,126.62245650,45.80110510,53.865,-0.543,49.048,0.176,0.605,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.170,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:37.278074,6933,126.62245640,45.80110530,53.752,-1.031,49.070,0.165,0.597,-0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.172,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:37.388185,6843,126.62245630,45.80110540,53.647,-0.946,49.081,0.168,0.589,-0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.172,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:37.498281,6763,126.62245620,45.80110560,53.586,-0.547,49.104,0.170,0.581,-0.054,0.000,0.000,0.000,0.000,0.000,0.000,0.172,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:37.608378,6573,126.62245600,45.80110570,53.545,-0.375,49.115,0.167,0.566,-0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.177,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:37.718492,6493,126.62245590,45.80110590,53.504,-0.375,49.137,0.166,0.558,-0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.179,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:37.828614,6403,126.62245580,45.80110600,53.403,-0.916,49.148,0.182,0.550,-0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.180,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:37.938699,6423,126.62245580,45.80110620,53.260,-1.298,49.170,0.193,0.550,-0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.185,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:38.048821,6333,126.62245570,45.80110630,53.094,-1.508,49.182,0.149,0.543,-0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.177,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:38.159397,6353,126.62245570,45.80110650,52.982,-1.015,49.204,0.155,0.543,-0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.170,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:38.279084,6273,126.62245560,45.80110670,52.898,-0.700,49.226,0.156,0.535,-0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.163,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:38.389150,6193,126.62245550,45.80110690,52.864,-0.309,49.248,0.154,0.527,-0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.173,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:38.499280,6103,126.62245540,45.80110700,52.858,-0.057,49.259,0.146,0.519,-0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.180,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:38.619363,6013,126.62245530,45.80110710,52.825,-0.274,49.270,0.150,0.512,-0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.184,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:38.739561,5933,126.62245520,45.80110730,52.830,0.047,49.293,0.186,0.504,-0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.198,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:38.859587,5753,126.62245500,45.80110750,52.652,-1.487,49.315,0.162,0.488,-0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.196,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:38.979709,5573,126.62245480,45.80110770,52.482,-1.418,49.337,0.172,0.473,-0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.194,-0.056,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:39.099791,5373,126.62245460,45.80110780,52.354,-1.062,49.348,0.147,0.457,-0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.169,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:39.219941,5303,126.62245450,45.80110800,52.231,-1.027,49.371,0.117,0.450,-0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.166,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:39.340048,5223,126.62245440,45.80110820,52.114,-0.980,49.393,0.103,0.442,-0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.163,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
2025-07-15 13:37:39.460175,5033,126.62245420,45.80110830,51.995,-0.978,49.404,0.131,0.426,-0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.181,-0.111,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
