时间戳,数字标签,经度,纬度,艏向,角速度,x坐标,向北速度,y坐标,向东速度,期望艏向,期望速度,期望角速度,期望舵角,期望推进器电压,舵角积分补偿,航速,实际舵角,实际推进器电压,艏PG1,艏PG2,艏PG3,角PG1,角PG2,角PG3,速PG1,速PG2,速PG3
2025-07-15 14:43:32.080611,9658,126.62303240,45.80087250,-64.504,0.000,23.184,-0.025,45.249,-1.601,0.000,0.000,0.000,0.000,0.000,0.000,1.601,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 14:43:32.199966,7178,126.62302990,45.80087260,-64.888,-1.615,23.195,-0.001,45.055,-1.614,0.000,0.000,0.000,0.000,0.000,0.000,1.608,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 14:43:32.320086,4788,126.62302750,45.80087270,-65.232,-2.033,23.206,0.028,44.869,-1.633,0.000,0.000,0.000,0.000,0.000,0.000,1.616,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 14:43:32.440193,2298,126.62302500,45.80087280,-65.547,-2.901,23.218,0.038,44.675,-1.684,0.000,0.000,0.000,0.000,0.000,0.000,1.644,0.000,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 14:43:32.560287,9708,126.62302240,45.80087290,-65.836,-2.626,23.229,-0.013,44.473,-1.680,0.000,0.000,0.000,0.000,0.000,0.000,1.666,-1.167,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 14:43:32.670409,6621,126.62301930,45.80087300,-66.143,-2.600,23.240,-0.035,44.233,-1.798,0.000,0.000,0.000,0.000,0.000,0.000,1.721,-1.167,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 14:43:32.780535,4021,126.62301670,45.80087300,-66.368,-2.415,23.240,-0.029,44.032,-1.867,0.000,0.000,0.000,0.000,0.000,0.000,1.782,-1.167,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 14:43:32.890614,1024,126.62301370,45.80087310,-66.590,-2.287,23.251,-0.012,43.799,-1.918,0.000,0.000,0.000,0.000,0.000,0.000,1.861,-1.167,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 14:43:33.000761,8741,126.62301140,45.80087320,-66.760,-1.869,23.262,0.012,43.621,-1.360,0.000,0.000,0.000,0.000,0.000,0.000,1.715,-1.167,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 14:43:33.110825,7035,126.62300970,45.80087320,-66.903,-1.621,23.262,-0.025,43.489,-1.276,0.000,0.000,0.000,0.000,0.000,0.000,1.518,-1.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 14:43:33.220940,5539,126.62300820,45.80087330,-67.024,-1.313,23.273,-0.023,43.373,-1.332,0.000,0.000,0.000,0.000,0.000,0.000,1.323,-1.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
2025-07-15 14:43:33.331074,3736,126.62300640,45.80087330,-67.232,-1.432,23.273,-0.087,43.233,-1.235,0.000,0.000,0.000,0.000,0.000,0.000,1.282,-1.389,0.000,0.600,0.500,0.000,0.000,1.000,0.000,0.000,1.000,0.000
